event_id,事件,類型,類型來源,規則,k,實挑家數,揀到,相對籃子中位,相對大市超額中位,勝率
E21,2016-06 英國脫歐公投殺歐洲銀行,價格,spec 事前登記,a,2,2,BCS、LYG,-0.1196,0.2567,0.0
E21,2016-06 英國脫歐公投殺歐洲銀行,價格,spec 事前登記,b,2,2,ALL、TRV,-0.348,0.0283,0.0
E21,2016-06 英國脫歐公投殺歐洲銀行,價格,spec 事前登記,c,2,2,ALL、TRV,-0.348,0.0283,0.0
E21,2016-06 英國脫歐公投殺歐洲銀行,價格,spec 事前登記,d,2,2,ALL、TRV,-0.348,0.0283,0.0
E22,2021-07 中國監管風暴殺中概股,財務,spec 事前登記,a,2,2,BABA、NIO,-0.039,-0.4272,0.0
E22,2021-07 中國監管風暴殺中概股,財務,spec 事前登記,b,2,2,CAN、WB,-0.1901,-0.5783,0.0
E22,2021-07 中國監管風暴殺中概股,財務,spec 事前登記,c,2,1,YUMC,0.2553,-0.1329,1.0
E22,2021-07 中國監管風暴殺中概股,財務,spec 事前登記,d,2,2,YUMC、ZTO,0.3709,-0.0173,1.0
E23,2022-06 加密貨幣崩盤殺加密相關股,價格,spec 事前登記,a,2,2,RIOT、HOOD,0.5334,0.9113,0.5
E23,2022-06 加密貨幣崩盤殺加密相關股,價格,spec 事前登記,b,2,2,BTBT、HOOD,0.5617,0.9396,0.5
E23,2022-06 加密貨幣崩盤殺加密相關股,價格,spec 事前登記,c,2,2,MSTR、PYPL,-0.0102,0.3678,0.5
E23,2022-06 加密貨幣崩盤殺加密相關股,價格,spec 事前登記,d,2,2,COIN、PYPL,-0.2936,0.0844,0.0
E24,2022-10 對華晶片出口管制新規殺半導體與設備,財務,spec 事前登記,a,2,2,ASML、NVDA,0.9687,1.0753,1.0
E24,2022-10 對華晶片出口管制新規殺半導體與設備,財務,spec 事前登記,b,2,2,MU、AEHR,0.152,0.2587,0.5
E24,2022-10 對華晶片出口管制新規殺半導體與設備,財務,spec 事前登記,c,2,2,FORM、PDFS,0.0206,0.1272,1.0
E24,2022-10 對華晶片出口管制新規殺半導體與設備,財務,spec 事前登記,d,2,2,AEIS、SWKS,-0.0568,0.0498,0.0
E25,2023-09 美國汽車工會罷工殺汽車與零件商,財務,spec 事前登記,a,2,2,APTV、MGA,-0.1293,-0.4119,0.0
E25,2023-09 美國汽車工會罷工殺汽車與零件商,財務,spec 事前登記,b,2,2,TEN、CPS,-0.0142,-0.2968,0.0
E25,2023-09 美國汽車工會罷工殺汽車與零件商,財務,spec 事前登記,c,2,2,DAN、SMP,-0.0816,-0.3642,0.5
E25,2023-09 美國汽車工會罷工殺汽車與零件商,財務,spec 事前登記,d,2,2,GNTX、SMP,0.0244,-0.2582,1.0
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,財務,本票判(218 票面有 E17/E18),a,3,3,JPM、MET、STT,-0.0472,0.0128,0.0
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,財務,本票判(218 票面有 E17/E18),b,3,3,USB、CME、AXP,-0.0397,0.0203,0.3333
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,財務,本票判(218 票面有 E17/E18),c,3,3,ALL、TRV、PFG,0.0605,0.1205,0.6667
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,財務,本票判(218 票面有 E17/E18),d,3,3,GS、NTRS、TRV,-0.0334,0.0266,0.3333
E18,2024-08 日圓套息平倉殺半導體,價格,本票判(218 票面有 E17/E18),a,2,2,NVDA、ASML,0.2028,0.1276,0.5
E18,2024-08 日圓套息平倉殺半導體,價格,本票判(218 票面有 E17/E18),b,2,2,MRVL、MPWR,-0.1111,-0.1864,0.0
E18,2024-08 日圓套息平倉殺半導體,價格,本票判(218 票面有 E17/E18),c,2,2,AMAT、MPWR,-0.1115,-0.1868,0.0
E18,2024-08 日圓套息平倉殺半導體,價格,本票判(218 票面有 E17/E18),d,2,2,TXN、ADI,-0.0633,-0.1386,0.5
E19,2021-11 Omicron 殺旅遊休閒,財務,本票判,a,3,3,DAL、MAR、BKNG,0.0383,0.0722,1.0
E19,2021-11 Omicron 殺旅遊休閒,財務,本票判,b,3,3,MAR、HLT、H,0.1736,0.2075,1.0
E19,2021-11 Omicron 殺旅遊休閒,財務,本票判,c,3,3,BKNG、WH、BYD,0.0066,0.0405,0.6667
E19,2021-11 Omicron 殺旅遊休閒,財務,本票判,d,3,3,WH、CHH、IHG,-0.0066,0.0273,0.3333
E20,2022-05 通脹與庫存過剩殺零售,財務,本票判,a,1,1,WMT,0.1328,0.1219,1.0
E20,2022-05 通脹與庫存過剩殺零售,財務,本票判,b,1,1,TJX,0.2008,0.1899,1.0
E20,2022-05 通脹與庫存過剩殺零售,財務,本票判,c,1,1,DG,-0.0029,-0.0138,0.0
E20,2022-05 通脹與庫存過剩殺零售,財務,本票判,d,1,1,WMT,0.1328,0.1219,1.0
E01,2013-05 縮減恐慌殺債券替代品,價格,本票判,a,3,3,T、SPG、ED,-0.0063,-0.0998,0.3333
E01,2013-05 縮減恐慌殺債券替代品,價格,本票判,b,3,3,DLR、DUK、NEE,0.065,-0.0285,1.0
E01,2013-05 縮減恐慌殺債券替代品,價格,本票判,c,3,3,T、VZ、PSA,-0.0063,-0.0998,0.3333
E01,2013-05 縮減恐慌殺債券替代品,價格,本票判,d,3,3,ED、SO、NEE,-0.0268,-0.1203,0.3333
E06,2023-10 減肥藥殺食品與醫療器械,財務,本票判,a,3,3,KO、MDLZ、RMD,0.1284,0.0068,0.6667
E06,2023-10 減肥藥殺食品與醫療器械,財務,本票判,b,3,3,EW、GIS、CAG,-0.052,-0.1737,0.0
E06,2023-10 減肥藥殺食品與醫療器械,財務,本票判,c,3,3,KHC、DPZ、DVA,0.0381,-0.0836,0.6667
E06,2023-10 減肥藥殺食品與醫療器械,財務,本票判,d,3,3,PEP、KO、KHC,-0.0046,-0.1263,0.3333
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,價格,本票判,a,1,1,MU,2.334,2.7674,1.0
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,價格,本票判,b,1,1,SMCI,-0.8093,-0.3758,0.0
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,價格,本票判,c,1,1,ORCL,-0.5136,-0.0801,0.0
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,價格,本票判,d,1,1,MSFT,-0.5554,-0.122,0.0
E08,2025-04 對等關稅殺零售與電子硬件,財務,本票判,a,1,1,AAPL,-0.0369,0.035,0.0
E08,2025-04 對等關稅殺零售與電子硬件,財務,本票判,b,1,1,WMT,0.0369,0.1089,1.0
E08,2025-04 對等關稅殺零售與電子硬件,財務,本票判,c,1,1,HPQ,-0.4141,-0.3422,0.0
E08,2025-04 對等關稅殺零售與電子硬件,財務,本票判,d,1,1,WMT,0.0369,0.1089,1.0
E12,2019-05 華為實體清單殺半導體,財務,本票判,a,1,1,SWKS,0.1552,0.6122,1.0
E12,2019-05 華為實體清單殺半導體,財務,本票判,b,1,1,INTC,-0.1072,0.3499,0.0
E12,2019-05 華為實體清單殺半導體,財務,本票判,c,1,1,QCOM,-0.3235,0.1335,0.0
E12,2019-05 華為實體清單殺半導體,財務,本票判,d,1,1,INTC,-0.1072,0.3499,0.0
E13,2022-01 利率衝擊殺未獲利軟件股,價格,本票判,a,1,1,MSFT,0.2256,-0.1318,1.0
E13,2022-01 利率衝擊殺未獲利軟件股,價格,本票判,b,1,1,MSFT,0.2256,-0.1318,1.0
E13,2022-01 利率衝擊殺未獲利軟件股,價格,本票判,c,1,1,MSFT,0.2256,-0.1318,1.0
E13,2022-01 利率衝擊殺未獲利軟件股,價格,本票判,d,1,1,MSFT,0.2256,-0.1318,1.0
E14,2023-05 生成式 AI 殺教育科技,財務,本票判,a,1,1,DUOL,0.58,0.5653,1.0
E14,2023-05 生成式 AI 殺教育科技,財務,本票判,b,1,1,DUOL,0.58,0.5653,1.0
E14,2023-05 生成式 AI 殺教育科技,財務,本票判,c,1,1,CHGG,-0.58,-0.5947,0.0
E14,2023-05 生成式 AI 殺教育科技,財務,本票判,d,1,1,CHGG,-0.58,-0.5947,0.0
