選取,video_id,title,duration_sec,upload_date,channel,url,query
,Jos_paSjN2Q,3 大交易高手心得總結，紀律才是王道【我要做訪問 , #施傅 #施傅 #Eric Sir #阿業】高手心得,1063.0,NA|我要做富翁,https://www.youtube.com/watch?v=Jos_paSjN2Q,ytsearch20:施傅 交易 訪談
,6d3-2jV6wQ0,【Live 施傅投資直播】 匯控的將來：我的三個預言｜即將命中5月目標價＄25｜家得寶+47% 白銀+31%｜申洲國際/ Tesla,5501.0,NA,富翁電視MTTV,https://www.youtube.com/watch?v=6d3-2jV6wQ0,ytsearch20:施傅 交易 訪談
,qr83EXhhc8Q,失控後檢討1000次！谷底翻身變投資冠軍，煉成353%年回報｜J Law：投資照抄？個個發達啦！知得愈多輸得愈多？【我要做訪問 , #施傅 #JLaw】#投資心態 #新手投資 #美國投資錦標賽,2891.0,NA|我要做富翁,https://www.youtube.com/watch?v=qr83EXhhc8Q,ytsearch20:施傅 交易 訪談
,X_7_zaUmrVY,英藉「技術分析」導師追加：冬天縛好安全帶⛑！拜登勝出，科技股誓重創📉？ (英文訪問，有字幕)【我要做訪問 , #施傅 #MichaelHewson】#黃金🔥#債券💵 #股票📊 #現金💰,996.0,NA|我要做富翁,https://www.youtube.com/watch?v=X_7_zaUmrVY,ytsearch20:施傅 交易 訪談
,P3xD3sg1N4I,【Live 施傅投資直播】 熱炒疫苗面世！舊經濟股翻生？｜#大家樂 #稻香 #青島啤 #HD #MCD｜安踏/ NEE /小米,4996.0,NA,富翁電視MTTV,https://www.youtube.com/watch?v=P3xD3sg1N4I,ytsearch20:施傅 交易 訪談
,wMQTrmD0lhM,【Live 施傅投資直播】2021五窮月，股市5個炸彈！ #國際大事 #你必須知道的事,4567.0,NA,富翁電視MTTV,https://www.youtube.com/watch?v=wMQTrmD0lhM,ytsearch20:施傅 交易 訪談
,9jFwQdDMKDQ,高手交流！量化・即市，勢必水火不容？【我要做訪問 , #施傅 #Eric Sir #阿業】即市期指 量化交易 期權策略,1626.0,NA|我要做富翁,https://www.youtube.com/watch?v=9jFwQdDMKDQ,ytsearch20:施傅 交易 訪談
,Q551t9LzRdQ,80後24歲負債80萬，戶口70元：「投資看新聞永遠輸錢！」施傅黑歴史曝光（有字幕）【我要做訪問 , #施傅】#黑歷史 #窩輪 #投機,1481.0,NA|我要做富翁,https://www.youtube.com/watch?v=Q551t9LzRdQ,ytsearch20:施傅 交易 訪談
,4pyGQO5XPrA,【Live 施傅投資直播】美國再派錢！美匯破底，Bitcoin到$24000目標！｜#DXY #黃金 #石油 #BTC,5145.0,NA,富翁電視MTTV,https://www.youtube.com/watch?v=4pyGQO5XPrA,ytsearch20:施傅 交易 訪談
,v89dkulwGE8,【Live 施傅投資直播】透視四個信號，特朗普又冧莊？股災月會發生的五件事｜#美國大選 #美元 #黃金 #義烏指數,3431.0,NA,富翁電視MTTV,https://www.youtube.com/watch?v=v89dkulwGE8,ytsearch20:施傅 交易 訪談
,NV7kVIdqEfk,前外匯交易員心聲：靠Trade過活？07年輸錢都是一個「情」字【我要做訪問 , By 施傅&Team 】,992.0,NA|我要做富翁,https://www.youtube.com/watch?v=NV7kVIdqEfk,ytsearch20:施傅 交易 訪談
,UdUTB6Lb5dM,【Live 施傅投資直播】美股破頂，科網貴過爆破！乜嘢玩法？ #美股 #科網 #泡沬,3270.0,NA,富翁電視MTTV,https://www.youtube.com/watch?v=UdUTB6Lb5dM,ytsearch20:施傅 交易 訪談
,R5THZ7yFaik,我要做訪問 - 自動化程式交易普及：必須學懂的事情！(字幕)【我要做訪問 , By 施傅&Team】,503.0,NA|我要做富翁,https://www.youtube.com/watch?v=R5THZ7yFaik,ytsearch20:施傅 交易 訪談
,RhFbwtwejV8,MBTI性格測試：取決投資命運 (字幕)【施傅教學 , By 施傅】,1019.0,NA|我要做富翁,https://www.youtube.com/watch?v=RhFbwtwejV8,ytsearch20:施傅 交易 訪談
,g3277ukjvIs,現在投資股票，是否太遲？【施傅實戰｜#投資哲學 #投資應用】#太遲投資 #高追 #投資知識,1235.0,NA,我要做富翁,https://www.youtube.com/watch?v=g3277ukjvIs,ytsearch20:施傅 交易 訪談
,3LNFKjRXaI4,【Live 施傅投資直播】美國失業率預期20%！1929年大蕭條若重現，呢隻ETF可賺錢？｜CMG+61% 石油+85%｜康師傅/吉利德/迪士尼/黃金現機會,4377.0,NA,我要做富翁,https://www.youtube.com/watch?v=3LNFKjRXaI4,ytsearch20:施傅 交易 訪談
,Dv0h5OBNpr8,【Live 施傅投資直播】「K型經濟」貧富更懸殊，三種投資揀做「富」人 #貧富懸殊 #選股 #板塊,5333.0,NA,富翁電視MTTV,https://www.youtube.com/watch?v=Dv0h5OBNpr8,ytsearch20:施傅 交易 訪談
,csZ8VoqJ818,英藉「技術分析」導師，專教大戶短炒！大家一直用錯「圖表分析」😱(英文訪問，有字幕)【我要做訪問 , #施傅 #MichaelHewson】 #投資 #圖表分析 #技術分析,1251.0,NA|我要做富翁,https://www.youtube.com/watch?v=csZ8VoqJ818,ytsearch20:施傅 交易 訪談
,OrLN2r48rDU,神展開！資深炒家 Option Jack，玩期權是因為低潮期！【我要做訪問 , #施傅  #Option Jack】 #期權 #炒家 #哪有一天不交易,1614.0,NA|我要做富翁,https://www.youtube.com/watch?v=OrLN2r48rDU,ytsearch20:施傅 交易 訪談
,63YipQjHnVc,80後靠程式交易，「裸辭」全職環遊世界！（有字幕）【我要做訪問 , #施傅 #Dennis】#Algo #程式交易 #Day Trade #全職炒家 #炒家,1585.0,NA|我要做富翁,https://www.youtube.com/watch?v=63YipQjHnVc,ytsearch20:施傅 交易 訪談
,8aSBoCO2G8c,貿戰不再是焦點？Day Trade短線倉一季的 3 個總結【施傅投資直播 , By 施傅 】,4137.0,NA|我要做富翁,https://www.youtube.com/watch?v=8aSBoCO2G8c,ytsearch20:施傅 交易系統
,0gZvKfsxKuQ,幾多資金先可以投資？【施傅教學】#門檻 #有效組合 #股市入門 #投資新手,1418.0,NA,我要做富翁,https://www.youtube.com/watch?v=0gZvKfsxKuQ,ytsearch20:施傅 交易系統
,t_8Ipun4wMo,10萬港幣收息組合，竟有10厘回報？【施傅教學 , #理財 #紀律】 #港股倉 #美股倉,1255.0,NA|我要做富翁,https://www.youtube.com/watch?v=t_8Ipun4wMo,ytsearch20:施傅 交易系統
,M2Qzziz3VWs,投資101：技術分析分三大類別，20年經驗中伏位及優點 (字幕)【施傅教學 , By 施傅】(技術分析 , 理財),823.0|NA|我要做富翁,https://www.youtube.com/watch?v=M2Qzziz3VWs,ytsearch20:施傅 交易系統
,hOOuKyyxh-8,買股票由賺倒輸的5個原因【施傅實戰｜#投資哲學 #投資應用】#高追低溝 #風險管理 #基本面的重要性,1313.0,NA,我要做富翁,https://www.youtube.com/watch?v=hOOuKyyxh-8,ytsearch20:施傅 交易系統
,5K5kTrSTyrI,內地政策市打壓不斷，中國投資已死？【施傅教學實戰 ,#分析】 #政策市 #阿爺 #港股 #A股,852.0,NA|我要做富翁,https://www.youtube.com/watch?v=5K5kTrSTyrI,ytsearch20:施傅 交易系統
,a-SwV6jv2HU,10個經典「散戶病徵」：不治療，輸一世！【施傅教學】#哲學 #理財 #紀律,1229.0,NA,我要做富翁,https://www.youtube.com/watch?v=a-SwV6jv2HU,ytsearch20:施傅 交易系統
,KdwJr8E9ams,化繁為簡，投資平台的未來大趨勢【我要做訪問 , By 施傅】(美股 網上開戶 平台 手機交易 工具),1287.0,NA|我要做富翁,https://www.youtube.com/watch?v=KdwJr8E9ams,ytsearch20:施傅 交易系統
,Cruws3LSrSA,期權是公平遊戲，80後自創交易系統 【我要做訪問 , #施傅 #Johnny】#期權101 #引伸波幅,1306.0,NA|我要做富翁,https://www.youtube.com/watch?v=Cruws3LSrSA,ytsearch20:施傅 交易系統
,1CbZj1IEysM,我必看的4個經濟數據【施傅教學 , #理財】 #簡易經濟 #懶人經濟 #基本分析,1152.0,NA|我要做富翁,https://www.youtube.com/watch?v=1CbZj1IEysM,ytsearch20:施傅 交易系統
,SQBnBzrQ3hc,翻版俄希危機：土耳其不會牽連中港，土指貨幣望爆三成？【週末報告 , By 施傅&Team】,1720.0,NA|我要做富翁,https://www.youtube.com/watch?v=SQBnBzrQ3hc,ytsearch20:施傅 交易系統
,yI3Nf4L5u4o,全球通脹死灰復燃！美聯儲偷偷QE印錢救市，全民積蓄變砲灰？2019年Repo危機相似，Warsh第一刀，將改變美股投資邏輯！【施追擊】 #聯儲局 #縮表,1342.0,NA,我要做富翁,https://www.youtube.com/watch?v=yI3Nf4L5u4o,ytsearch20:施傅 交易系統
,2M9PqfPPnE0,海龜投資法優化，恆指標普回報齊升【街頭智慧 , By 施傅】 (量化分析 ),528.0,NA|我要做富翁,https://www.youtube.com/watch?v=2M9PqfPPnE0,ytsearch20:施傅 交易系統
,o0J21fno0JM,美元霸道背後的脆弱！金本位廢除，黃金更值錢？   【施傅教學】#金本位 #貨幣 #美金,892.0,NA,我要做富翁,https://www.youtube.com/watch?v=o0J21fno0JM,ytsearch20:施傅 交易系統
,l3V8krV0R-A,以商品價格挑戰商品指標：揭露CCI背後的真相【街頭智慧 , By 施傅】,465.0,NA|我要做富翁,https://www.youtube.com/watch?v=l3V8krV0R-A,ytsearch20:施傅 交易系統
,-mU1vDt7yhM,eBroker 香港證券交易系統雙重認證教學短片 - 廣東話版,307.0,NA,富昌金融集團,https://www.youtube.com/watch?v=-mU1vDt7yhM,ytsearch20:施傅 交易系統
,7gf_bApDZoQ,免費股市賺錢策略⚠️如何用AI寫策略，自動賺被動收入😍AI策略盲點？實例示範｜附試用程式碼 【施傅教學】#AI #Pine編輯器 #Tradingview #回測,841.0,NA,我要做富翁,https://www.youtube.com/watch?v=7gf_bApDZoQ,ytsearch20:施傅 交易系統
,ZkYnH_rzPgY,唯一我會借錢的四種投資 (字幕)【施傅教學 , By 施傅】,922.0,NA|我要做富翁,https://www.youtube.com/watch?v=ZkYnH_rzPgY,ytsearch20:施傅 投資 心法
,EWGTLiI7XiI,財務自由3個方案，最強加速法：投資回報！【施傅教學】 #fire #退休,896.0,NA,我要做富翁,https://www.youtube.com/watch?v=EWGTLiI7XiI,ytsearch20:施傅 投資 心法
,QcDTVOeX224,投資從紮馬開始：四個工具新手變老手！【施傅教學 , By 施傅】,801.0,NA|我要做富翁,https://www.youtube.com/watch?v=QcDTVOeX224,ytsearch20:施傅 投資 心法
,Ovw02gl84TI,做不到財務自由，主因不是錢！4個財自失敗的思維死症 【施傅教學】 #心態 #理財心法 #退休,1073.0,NA,我要做富翁,https://www.youtube.com/watch?v=Ovw02gl84TI,ytsearch20:施傅 投資 心法
