"編號","名稱","類別","白話一句","公式或做法","所需輸入","免費可算","預測力證據出處","OSAP 訊號名","Karst 適用度"
"A01","戈登增長股息折現模型(Gordon Growth DDM)","絕對估值","假設公司以後每年派息、而且派息以固定速度愈派愈多,把這條無盡的收錢流折算成今日的錢,加起來就是這隻股票應該值多少。","V0 = D1 ÷ (r − g);D1 為下一年股息、r 為股權要求回報、g 為永續增長率","損益表(股息)、折現率、市價","可","Gordon & Shapiro (1956), Management Science 3(1): 102–110, DOI 10.1287/mnsc.3.1.102(模型出處,非回報預測證據);更早源頭 Williams (1938)《The Theory of Investment Value》","—(OSAP 無)","低——只對派息穩定的成熟公司有意義;g 逼近 r 時數值爆炸,標普 500 有大批不派息公司算不出"
"A02","兩段式股息折現模型","絕對估值","先假設公司高速增長幾年,之後轉為慢速永續增長,分兩段計算清楚再相加。","高增長期逐年折現,加期末以戈登公式計終值再折現;Damodaran ddm2st.xls","損益表(股息)、分析員預測、折現率、市價","部分(增長率要分析員預測或自行估計)","CFA Program《Equity Asset Valuation》第 4 版(ISBN 9781119628194)Discounted Dividend Valuation 一節;無獨立橫斷面回報證據","—(OSAP 無)","低——增長率假設主導結果,量化後訊號多數來自假設而非公司本身"
"A03","三段式股息折現模型","絕對估值","把公司一生分成高增長、過渡、成熟三段計算,比兩段貼近現實,但要多估計一組數字。","三段各自折現後相加;Damodaran ddm3st.xls","損益表(股息)、分析員預測、折現率、市價","部分","Damodaran 免費試算表頁 pages.stern.nyu.edu/~adamodar/New_Home_Page/spreadsh.htm;CFA Program 同節","—(OSAP 無)","低——參數愈多愈難橫斷面標準化"
"A04","H 模型","絕對估值","一個簡化做法:假設增長率由高位直線滑落至永續水平,不必逐年砌表。","P0 = D0(1+gn)÷(ke−gn) + D0·H·(ga−gn)÷(ke−gn);增長率由 ga 在 2H 期內直線下滑至 gn","損益表(股息)、分析員預測、折現率、市價","部分","Fuller & Hsia (1984), Financial Analysts Journal 40(5): 49–56, DOI 10.2469/faj.v40.n5.49","—(OSAP 無)","低——與其他 DDM 一樣受派息限制"
"A05","股權自由現金流折現(FCFE,單段)","絕對估值","不看派息,改看公司還完債、投完資之後真正剩給股東的現金有多少,再折算成今日價值。","FCFE = 淨利 + 折舊攤銷 − 資本開支 − 營運資金變動 + 淨借款;以股權成本折現","損益表、資產負債表、現金流量表、折現率、市價","可","Damodaran《Investment Valuation》第 4 版(2024/25, ISBN 9781394254606);CFA Program Free Cash Flow Valuation 一節","—(OSAP 無)","中——不派息的公司一樣算得到,覆蓋比 DDM 闊;但終值假設仍然主導"
"A06","股權自由現金流折現(FCFE,兩段或三段)","絕對估值","同上,但把未來分成高增長與成熟兩三段計算。","分段折現加終值;Damodaran fcfe2st.xls / fcfe3st.xls / fcfeginzu.xls","損益表、資產負債表、現金流量表、分析員預測、折現率、市價","部分","Damodaran 免費試算表頁;CFA Program 同節","—(OSAP 無)","中"
"A07","公司自由現金流折現(FCFF,企業 DCF)","絕對估值","先計算整盤生意每年賺到多少現金(不分股東還是債主),用綜合資金成本折現得出企業價值,再減淨負債得出股權價值。這就是一般人所講的 DCF。","FCFF = EBIT(1−稅率) + 折舊攤銷 − 資本開支 − 營運資金變動;以 WACC 折現;企業價值減淨負債等於股權價值;Damodaran fcff2st.xls / fcffginzu.xlsx","損益表、資產負債表、現金流量表、折現率(WACC)、市價","可(WACC 可用 Damodaran 行業表配 FRED 無風險利率近似)","Koller, Goedhart & Wessels《Valuation》第 8 版(2025-05, ISBN 9781394279418);Damodaran《Investment Valuation》第 4 版;CFA Program","—(OSAP 無)","中——D-033 第八類點名的正主;算得到,但終值往往佔價值七成以上,訊號品質繫於增長假設"
"A08","FCFF 變動邊際版(高增長或虧損公司)","絕對估值","為仍在虧損、或者利潤率仍在爬升的公司而設的 DCF:不假設今日的利潤率就是永遠的利潤率。","以目標營業邊際與收入路徑推算 FCFF;Damodaran fcffgen.xls / fcffneg.xls","損益表、資產負債表、現金流量表、分析員預測、折現率","部分","Damodaran 免費試算表頁;younggrowth.pdf(虧損期不能用市盈率與 EBITDA 倍數,改用收入倍數)","—(OSAP 無)","低——假設密度最高的一款,不宜量化成橫斷面因子"
"A09","調整現值法(APV)","絕對估值","把生意本身的價值,與借錢所節省的稅款分開計算再相加;槓桿會變動的公司,這樣比 WACC 法準確。","APV = 全股權融資下的企業價值 + 稅盾現值 − 財務困難成本現值;Damodaran apv.xls","損益表、資產負債表、現金流量表、折現率、市價","可","Myers (1974)「Interactions of Corporate Financing and Investment Decisions」, Journal of Finance 29(1): 1–25, DOI 10.1111/j.1540-6261.1974.tb00021.x;Luehrman (1997), Harvard Business Review reprint 97306","—(OSAP 無)","低——與 FCFF 結果相近,額外資訊有限;CFA 課程沒有 APV 獨立章節"
"A10","剩餘收益模型(RIM,Ohlson 1995)","絕對估值","公司的價值等於帳面淨值,加上以後每年「賺得比股東要求回報多出來那一截」的現值。用會計數字直接砌估值,不必估計自由現金流。","V0 = B0 + Σ (ROEt − r)·Bt−1 ÷ (1+r)^t;線性資訊動態 x^a(t+1) = ω·x^a(t) + OI(t)","損益表、資產負債表、折現率、市價","可(純會計輸入,是免費數據下最容易落地的絕對估值)","Ohlson (1995), Contemporary Accounting Research 11(2): 661–687, DOI 10.1111/j.1911-3846.1995.tb00461.x(理論文章,無回報數字);回報證據見 C01","—(OSAP:AnalystValue 為其分析員預測版本)","高——絕對估值裡最適合量化的一款:只需帳面淨值與 ROE,終值權重遠低於 DCF"
"A11","Feltham-Ohlson 營運與金融活動分拆","絕對估值","把公司分成「做生意那一半」與「持有現金和負債那一半」分開估值,因為金融資產本身已按市價入帳,不會再創造剩餘收益。","在 RIM 基礎上分拆營運資產與金融資產,只對營運資產計算剩餘收益;參數 ω12 > 0 代表會計保守、淨營運資產被低估","損益表、資產負債表、折現率","可","Feltham & Ohlson (1995), Contemporary Accounting Research 11(2): 689–731, DOI 10.1111/j.1911-3846.1995.tb00462.x(理論文章)","—(OSAP:EBM 與 BPEBM 為近親)","中——比 A10 精細,但要分辨營運與金融科目,免費財報的標準化程度未必分得清"
"A12","異常盈利增長模型(AEG / Ohlson-Juettner-Nauroth)","絕對估值","不看帳面淨值,改為看「明年盈利比今年多出來那一截,超出正常應有增長多少」,由此反推估值。","AEG(t) = 盈利(t) + (ρ−1)·股息(t−1) − 盈利(t−1);V0 = E1÷r + Σ AEG 折現值","損益表、分析員預測、折現率、市價","部分(需要下一年盈利預測)","Ohlson & Juettner-Nauroth (2005), Review of Accounting Studies 10(2-3): 349–365, DOI 10.1007/s11142-005-1535-3;Penman《Financial Statement Analysis and Security Valuation》第 5 版(2013, ISBN 9780078025310)第 6 章","—(OSAP 無)","中——不需要帳面淨值,對輕資產公司比 RIM 合適;但要盈利預測"
"A13","經濟增加值(EVA,經濟利潤)","絕對估值","公司今年賺到的錢,扣除「動用股東和債主的本金所應付的租金」之後,還剩下多少。剩下正數才算真正創造價值。","EVA = (資本回報率 − 資金成本) × 投入資本;等價於 NOPAT − WACC × 投入資本","損益表、資產負債表、折現率","可","Stewart (1994), Journal of Applied Corporate Finance 7(2): 71–84;實證裁決 Biddle, Bowen & Wallace (1997), Journal of Accounting and Economics 24(3): 301–336, DOI 10.1016/S0165-4101(98)00010-X——資訊含量排序為盈利 > 剩餘收益 > EVA > 營運現金流;佐證 Fernández (2002) IESE RP-453:582 家美企市場增值變動與 EVA 的十年相關系數僅 16%,其中 210 家為負","—(OSAP:roic 屬 Placebo,原文不顯著)","低——實證證據方向偏負面(打不贏單純盈利),列入目錄以正視聽,不建議進首批"
