period,filed_date,issuer,ticker,cusip,shares,value_usd,weight_pct,change_vs_prev
2024Q4,2025-02-12,"MARVELL TECHNOLOGY INC",MRVL,573874104,785896,86802213,34.065,"新增(首次揭露)"
2024Q4,2025-02-12,"VISTRA CORP",VST,92840M102,428397,59063094,23.1789,"新增(首次揭露)"
2024Q4,2025-02-12,"VERTIV HOLDINGS CO",VRT,92537N108,455146,51709137,20.2929,"新增(首次揭露)"
2024Q4,2025-02-12,"TALEN ENERGY CORP",TLN,87422Q109,138878,27979751,10.9805,"新增(首次揭露)"
2024Q4,2025-02-12,"CONSTELLATION ENERGY CORP",CEG,21037T109,96400,21565644,8.4633,"新增(首次揭露)"
2024Q4,2025-02-12,"MODINE MFG CO",MOD,607828100,66367,7693926,3.0194,"新增(首次揭露)"
2025Q1,2025-05-14,"Intel Corp",INTC,458140100,20237400,459591354,45.7047,"新增(首次揭露)"
2025Q1,2025-05-14,"Broadcom Inc",AVGO,11135F101,700000,117201000,11.6552,"新增(首次揭露)"
2025Q1,2025-05-14,"Onto Innovation Inc",ONTO,683344105,586717,71192241,7.0798,"新增(首次揭露)"
2025Q1,2025-05-14,"Vistra Corp",VST,92840M102,525846,61755354,6.1413,"加倉(+97449股)"
2025Q1,2025-05-14,"Modine Mfg Co",MOD,607828100,716824,55016242,5.4712,"加倉(+650457股)"
2025Q1,2025-05-14,"EQT Corp",EQT,26884L109,989398,52863535,5.2571,"新增(首次揭露)"
2025Q1,2025-05-14,"CoreWeave Inc",CRWV,21873S108,1225000,45423000,4.5171,"新增(首次揭露)"
2025Q1,2025-05-14,"Constellation Energy Corp",CEG,21037T109,183400,36978942,3.6774,"加倉(+87000股)"
2025Q1,2025-05-14,"Core Scientific Inc New",CORZ,21874A106,4521578,32736225,3.2555,"新增(首次揭露)"
2025Q1,2025-05-14,"Talen Energy Corp",TLN,87422Q109,148395,29630030,2.9466,"加倉(+9517股)"
2025Q1,2025-05-14,"Applied Digital Corp",APLD,038169207,4035600,22680072,2.2554,"新增(首次揭露)"
2025Q1,2025-05-14,"IREN Limited",IREN,Q4982L109,3366130,20499732,2.0386,"新增(首次揭露)"
2025Q1,2025-05-14,"MARVELL TECHNOLOGY INC",MRVL,573874104,0,0,0,"清倉(-785896股)"
2025Q1,2025-05-14,"VERTIV HOLDINGS CO",VRT,92537N108,0,0,0,"清倉(-455146股)"
2025Q2,2025-08-14,"VANECK ETF TRUST",,92189F676,2044100,570058608,26.8513,"新增(首次揭露)"
2025Q2,2025-08-14,"INTEL CORP",INTC,458140100,20237400,453317760,21.3525,"不變"
2025Q2,2025-08-14,"BROADCOM INC",AVGO,11135F101,1191606,328466194,15.4716,"加倉(+491606股)"
2025Q2,2025-08-14,"VISTRA CORP",VST,92840M102,1274178,246948438,11.6319,"加倉(+748332股)"
2025Q2,2025-08-14,"CORE SCIENTIFIC INC NEW",CORZ,21874A106,7994038,136458229,6.4275,"加倉(+3472460股)"
2025Q2,2025-08-14,"EQT CORP",EQT,26884L109,2145345,125116520,5.8933,"加倉(+1155947股)"
2025Q2,2025-08-14,"CONSTELLATION ENERGY CORP",CEG,21037T109,319200,103024992,4.8527,"加倉(+135800股)"
2025Q2,2025-08-14,"IREN LIMITED",IREN,Q4982L109,6400384,93253595,4.3925,"加倉(+3034254股)"
2025Q2,2025-08-14,"APPLIED DIGITAL CORP",APLD,038169207,6591800,66379426,3.1266,"加倉(+2556200股)"
2025Q2,2025-08-14,"Modine Mfg Co",MOD,607828100,0,0,0,"清倉(-716824股)"
2025Q2,2025-08-14,"Onto Innovation Inc",ONTO,683344105,0,0,0,"清倉(-586717股)"
2025Q2,2025-08-14,"CoreWeave Inc",CRWV,21873S108,0,0,0,"清倉(-1225000股)"
2025Q2,2025-08-14,"Talen Energy Corp",TLN,87422Q109,0,0,0,"清倉(-148395股)"
2025Q3,2025-11-14,"COREWEAVE INC",CRWV,21873S108,7829956,1071529479,25.8926,"新增(首次揭露)"
2025Q3,2025-11-14,"INTEL CORP",INTC,458140100,20237400,678964770,16.4066,"不變"
2025Q3,2025-11-14,"CORE SCIENTIFIC INC NEW",CORZ,21874A106,20180534,362038780,8.7483,"加倉(+12186496股)"
2025Q3,2025-11-14,"IREN LIMITED",IREN,Q4982L109,7220421,338854358,8.1881,"加倉(+820037股)"
2025Q3,2025-11-14,"NVIDIA CORPORATION",NVDA,67066G104,1600000,298528000,7.2137,"新增(首次揭露)"
2025Q3,2025-11-14,"VISTRA CORP",VST,92840M102,1287910,252327327,6.0973,"加倉(+13732股)"
2025Q3,2025-11-14,"VANECK ETF TRUST",,92189F106,600000,195816000,4.7317,"新增(首次揭露)"
2025Q3,2025-11-14,"APPLIED DIGITAL CORP",APLD,038169207,6064155,139111716,3.3615,"減倉(-527645股)"
2025Q3,2025-11-14,"GALAXY DIGITAL INC.",GLXY,36317J209,2737500,92554875,2.2365,"新增(首次揭露)"
2025Q3,2025-11-14,"BROADCOM INC",AVGO,11135F101,230000,75879300,1.8336,"減倉(-961606股)"
2025Q3,2025-11-14,"TAIWAN SEMICONDUCTOR MFG LTD",TSM,874039100,270000,75408300,1.8222,"新增(首次揭露)"
2025Q3,2025-11-14,"CIPHER MINING INC",CIFR,17253J106,5740493,72272807,1.7464,"新增(首次揭露)"
2025Q3,2025-11-14,"RIOT PLATFORMS INC",RIOT,767292105,3592699,68369062,1.6521,"新增(首次揭露)"
2025Q3,2025-11-14,"LUMENTUM HLDGS INC",LITE,55024U109,417600,67947696,1.6419,"新增(首次揭露)"
2025Q3,2025-11-14,"EQT CORP",EQT,26884L109,1217386,66262320,1.6012,"減倉(-927959股)"
2025Q3,2025-11-14,"BLOOM ENERGY CORP",BE,093712107,3193802,56220650,1.3585,"新增(首次揭露)"
2025Q3,2025-11-14,"MICRON TECHNOLOGY INC",MU,595112103,300000,50196000,1.2129,"新增(首次揭露)"
2025Q3,2025-11-14,"SOLARIS ENERGY INFRAS INC",SEI,83418M103,1150300,45977491,1.111,"新增(首次揭露)"
2025Q3,2025-11-14,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,470600,34024380,0.8222,"新增(首次揭露)"
2025Q3,2025-11-14,"HUT 8 CORP",HUT,44812J104,599000,20851190,0.5039,"新增(首次揭露)"
2025Q3,2025-11-14,"WESTERN DIGITAL CORP",WDC,958102AT2,152821,18347689,0.4434,"新增(首次揭露)"
2025Q3,2025-11-14,"COHERENT CORP",COHR,19247G107,154400,16631968,0.4019,"新增(首次揭露)"
2025Q3,2025-11-14,"BITDEER TECHNOLOGIES GROUP",BTDR,G11448100,929600,15886864,0.3839,"新增(首次揭露)"
2025Q3,2025-11-14,"SANDISK CORP",SNDK,80004C200,115000,12903000,0.3118,"新增(首次揭露)"
2025Q3,2025-11-14,"SEAGATE TECHNOLOGY HLDNGS PL",STX,G7997R103,48567,11464726,0.277,"新增(首次揭露)"
2025Q3,2025-11-14,"CONSTELLATION ENERGY CORP",CEG,21037T109,0,0,0,"清倉(-319200股)"
2025Q3,2025-11-14,"VANECK ETF TRUST",,92189F676,0,0,0,"清倉(-2044100股)"
2025Q4,2026-02-11,"COREWEAVE INC",CRWV,21873S108,16913312,1211162272,21.9542,"加倉(+9083356股)"
2025Q4,2026-02-11,"BLOOM ENERGY CORP",BE,093712107,10484522,911000117,16.5133,"加倉(+7290720股)"
