date,Open,High,Low,Close
2022-06-01,146.8234619582,148.6257093476,144.6490238125,145.6578979492
2022-06-02,144.7959487531,148.1653488143,143.8458557726,148.1065826416
2022-06-03,143.8850331459,144.9330797470,141.4951240156,142.3962402344
2022-06-06,144.0123734119,145.5207750134,141.9260844838,143.1406402588
2022-06-07,141.3873815395,145.9419394432,141.1425125136,145.6578979492
2022-06-08,145.5305185143,146.7940357406,144.4335103831,144.9232482910
2022-06-09,144.0613709061,144.9135104744,139.6047509095,139.7124938965
2022-06-10,137.4009108600,137.8710552194,134.2469965133,134.3155670166
2022-06-13,130.1429657002,132.4251464748,128.7423222548,129.1732940674
2022-06-14,130.3976794412,131.1420760193,128.7815346428,130.0352630615
2022-06-15,131.5338494147,134.5212547478,129.4475753178,132.6504516602
2022-06-16,129.3692091154,129.6728443246,126.3915933090,127.3906631470
2022-06-17,127.4004686572,130.3486864571,127.1457952957,128.8598785400
2022-06-21,130.6817072988,134.2469999186,130.5837686503,133.0814208984
2022-06-22,132.0236089924,134.9326549113,131.1616799782,132.5721282959
2022-06-23,134.0119221215,135.7455839923,132.8463432152,135.4321594238
2022-06-24,137.0287365558,138.9974936013,136.9014147923,138.7526245117
2022-06-27,139.7712733483,140.5450680410,138.0767834332,138.7526245117
2022-06-28,139.2129786588,140.4764965765,134.5016997981,134.6192321777
2022-06-29,134.6387747995,137.7828843261,133.8649804057,136.3724365234
2022-06-30,134.4330920744,135.5301005022,131.0245194984,133.9139709473
2022-07-01,133.2479278277,136.1863562547,132.8757370566,136.0786132812
2022-07-05,134.9424396227,138.7036246260,134.1196682599,138.6546478271
2022-07-06,138.4489551215,141.1620932048,138.1844923851,139.9867248535
2022-07-07,140.3491343484,143.5422362397,140.3393449671,143.3463439941
2022-07-08,142.2787196887,144.5217287495,142.0240612352,144.0221862793
2022-07-11,142.6802665251,143.6303594367,140.8290574907,141.8966827393
2022-07-12,142.7684251999,145.4032181940,142.0730055665,142.8663787842
2022-07-13,140.0553073013,143.4442865857,139.2031528438,142.5039978027
2022-07-14,141.1229214667,145.8929653988,140.3099544919,145.4228210449
2022-07-15,146.7059260692,147.7637620291,145.1583520693,147.0879211426
2022-07-18,147.6462193583,148.4591862413,143.6891279022,144.0515441895
2022-07-19,144.8841059210,148.1261694879,143.8948404200,147.9008941650
2022-07-20,148.0183948611,150.5650382075,147.2837879280,149.8989868164
2022-07-21,151.3290452389,152.3770917552,148.8215890165,152.1616058350
2022-07-22,152.2007969480,153.0725301156,150.2614383736,150.9274749756
2022-07-25,150.8491095898,151.8579687826,149.1546201125,149.8108673096
2022-07-26,149.1349986587,149.9479654683,147.7049721807,148.4885559082
2022-07-27,149.4484659674,154.1009774685,149.0370877966,153.5720520020
2022-07-28,153.7581586202,154.4046164526,151.2409127392,154.1205749512
2022-07-29,157.9307433806,160.2716908342,156.2264494606,159.1746673584
2022-08-01,157.7054523459,160.2325026515,157.5879199884,158.1951904297
2022-08-02,156.8141468834,159.0767345327,156.3537918700,156.7259826660
