weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.0,0.0,0.0,1.0,monthly,-0.33098894490994046,1,無效,3,3,,,,,False,cadence=monthly,0,,
0.0,0.0,0.0,1.0,quarterly,-0.33098894490994046,1,無效,3,3,,,,,False,cadence=quarterly,0,,
0.0,0.0,0.1,0.9,monthly,-0.33187473178997773,280,平原,6,5,-0.33396487941737174,-0.3343829089428506,0.0020901476273940123,,True,cadence=monthly,1,-0.33385342540332424,-0.00011145401404749622
0.0,0.0,0.1,0.9,quarterly,-0.33189215751883583,94,平原,6,5,-0.33385342540332424,-0.33424567898022184,0.0019612678844884157,,False,cadence=quarterly,1,-0.33396487941737174,0.00011145401404749622
0.0,0.0,0.2,0.8,monthly,-0.3327597226782013,280,平原,6,6,-0.33442371153255784,-0.33470104300828396,0.001663988854356535,,False,cadence=monthly,1,-0.33434113646428315,-8.257506827469285e-05
0.0,0.0,0.2,0.8,quarterly,-0.3327906113141301,94,平原,6,6,-0.33434113646428315,-0.33459955732264196,0.001550525150153026,,False,cadence=quarterly,1,-0.33442371153255784,8.257506827469285e-05
0.0,0.0,0.3,0.7,monthly,-0.3336439205190377,280,平原,6,6,-0.3353068866734955,-0.3355840476992385,0.0016629661544578234,,False,cadence=monthly,1,-0.3352333322770486,-7.355439644690653e-05
0.0,0.0,0.3,0.7,quarterly,-0.3336843438066005,94,平原,6,6,-0.3352333322770486,-0.3354914970221233,0.0015489884704480983,,False,cadence=quarterly,1,-0.3353068866734955,7.355439644690653e-05
0.0,0.0,0.4,0.6,monthly,-0.3345273282424146,280,平原,6,6,-0.3362182649530543,-0.3365000877381609,0.00169093671063969,,False,cadence=monthly,1,-0.3361513439469875,-6.692100606681128e-05
0.0,0.0,0.4,0.6,quarterly,-0.3345733921138262,94,平原,6,6,-0.3361513439469875,-0.3364143359191811,0.001577951833161284,,False,cadence=quarterly,1,-0.3362182649530543,6.692100606681128e-05
0.0,0.0,0.5,0.5,monthly,-0.3355436989410111,280,平原,6,6,-0.33720198173477955,-0.33747836220040767,0.0016582827937684508,,False,cadence=monthly,1,-0.3371392967829244,-6.268495185512979e-05
0.0,0.0,0.5,0.5,quarterly,-0.33559769771381476,94,平原,6,6,-0.3371392967829244,-0.3373962299611093,0.001541599069109667,,False,cadence=quarterly,1,-0.33720198173477955,6.268495185512979e-05
0.0,0.0,0.6,0.4,monthly,-0.3366030528910623,280,普通,6,6,-0.33825061672686585,-0.33852521069949976,0.001647563835803556,,False,cadence=monthly,1,-0.33818771165346106,-6.290507340478424e-05
0.0,0.0,0.6,0.4,quarterly,-0.336654713135903,94,普通,6,6,-0.33818771165346106,-0.3384432114063874,0.0015329985175580596,,False,cadence=quarterly,1,-0.33825061672686585,6.290507340478424e-05
0.0,0.0,0.7,0.3,monthly,-0.33766062367141503,280,普通,6,6,-0.33930675873232324,-0.3395811145758079,0.001646135060908216,,False,cadence=monthly,1,-0.3392372487015566,-6.951003076666185e-05
0.0,0.0,0.7,0.3,quarterly,-0.3377056711033709,94,普通,6,6,-0.3392372487015566,-0.33949251163458755,0.0015315775981856738,,False,cadence=quarterly,1,-0.33930675873232324,6.951003076666185e-05
0.0,0.0,0.8,0.2,monthly,-0.3387164192607155,280,普通,6,6,-0.34036112987439865,-0.3406352483100125,0.0016447106136831535,,False,cadence=monthly,1,-0.34028077129056067,-8.035858383798056e-05
0.0,0.0,0.8,0.2,quarterly,-0.3387506235377692,94,普通,6,6,-0.34028077129056067,-0.34053579591602595,0.0015301477527914775,,False,cadence=quarterly,1,-0.34036112987439865,8.035858383798056e-05
