lookback_months,mode,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
1,winner,monthly,3.439786202013317,0.13688251422560915,-0.34082271654343377,0.6408450704225352,1.054833442305149,0.7341171062352342,71.52112676056338,8.268570751938334,-0.052787185471569575,-0.0016371802706700578,run-05fa63b7d280d974,236,142,2929,2015-01-02,2026-08-26,False,5.285
1,winner,quarterly,1.7408384172853042,0.09065322756249206,-0.3947051105648679,0.7450980392156863,0.915316824549144,0.3896732931237015,130.15686274509804,2.910617481335832,-0.09901647213468667,-0.047866466933787155,run-95ca8120ead09df4,86,51,2929,2015-01-02,2026-08-26,False,0.2204
1,rank,monthly,3.382995680512849,0.13562355754028177,-0.3423447885504073,0.7582417582417582,1.345809481987044,0.7872658893457661,110.54212454212454,2.727078051545765,-0.05404614215689696,-0.0028961369559974415,run-21781b478ae52c05,560,546,2929,2015-01-02,2026-08-26,False,0.2654
1,rank,quarterly,2.915386249568196,0.1246502575387256,-0.3575507569399221,0.8135593220338984,2.194611560245965,0.6936903827635326,278.24858757062145,0.9852179751105996,-0.06501944215845312,-0.013869436957553605,run-427cb859e03c97a1,188,177,2929,2015-01-02,2026-08-26,False,0.2245
3,winner,monthly,5.257319261258169,0.17095880658363538,-0.34082271654343366,0.6354166666666666,2.1213136612364543,0.9824722472240145,108.92708333333333,3.9430409594750575,-0.018710893113543348,0.03243911208735617,run-95118047dd866a68,144,96,2929,2015-01-02,2026-08-26,False,0.281
3,winner,quarterly,4.36517904008379,0.15555889372077503,-0.394705110564868,0.7111111111111111,1.6292790443068814,0.8364485777271095,146.0888888888889,2.3521653260243527,-0.0341108059764037,0.017039199224495816,run-c14de3dc17105e28,74,45,2929,2015-01-02,2026-08-26,False,0.2242
3,rank,monthly,3.6426422897036383,0.14126245845750485,-0.3422959984168833,0.8018518518518518,1.7578910658196436,0.8327841724041591,189.4462962962963,1.3872758793459228,-0.04840724123967388,0.002742763961225636,run-d053b9cf32740a1d,560,540,2929,2015-01-02,2026-08-26,False,0.3012
3,rank,quarterly,3.3732870591737916,0.1354068418382699,-0.35811545653913013,0.8258426966292135,2.030970927171816,0.7774244005123655,312.061797752809,0.8961604238219865,-0.05426285785890883,-0.003112852658009313,run-0e5b8fff35d116a9,188,178,2929,2015-01-02,2026-08-26,False,0.2539
6,winner,monthly,4.49929210012328,0.15801698266823738,-0.3420989379149042,0.5697674418604651,1.828844453129674,0.9070704515379697,126.43023255813954,3.1763442864589027,-0.031652717028941346,0.01949728817195817,run-4fe7e1abda41c996,124,86,2929,2015-01-02,2026-08-26,False,0.3664
6,winner,quarterly,2.873469864038346,0.12360892329380357,-0.394705110564868,0.6842105263157895,1.2349198435760478,0.6033535164303263,169.76315789473685,1.715445877988609,-0.06606077640337515,-0.014910771202475637,run-80d97c5ecae7db94,60,38,2929,2015-01-02,2026-08-26,False,0.2249
6,rank,monthly,3.4760557671112515,0.13767887432995396,-0.35153995123243864,0.8195488721804511,1.136203583448412,0.7975387607076813,215.35714285714286,1.1677188302143426,-0.05199082536722477,-0.0008408201663252513,run-30730612c247a86a,560,532,2929,2015-01-02,2026-08-26,False,0.2796
6,rank,quarterly,3.2197383196645424,0.1319195398419184,-0.357550756939922,0.8520710059171598,1.639273722641584,0.7482598187926124,426.7692307692308,0.6224082081425973,-0.05775015985526033,-0.0066001546543608125,run-3d7db58ef704aedc,188,169,2929,2015-01-02,2026-08-26,False,0.2138
9,winner,monthly,5.116608663305584,0.16866891966268427,-0.3408227165434339,0.6111111111111112,2.493567884422967,0.9726760306824697,155.09722222222223,1.8170119451965308,-0.02100078003449446,0.030149225166405058,run-da7b666cb00e4f94,96,72,2929,2015-01-02,2026-08-26,False,0.2459
9,winner,quarterly,3.6423297347436696,0.14125584559438797,-0.3405671720244525,0.7272727272727273,1.5690479853353347,0.7567631567011298,199.3030303030303,1.2448105270963694,-0.048413854102790754,0.0027361510981087633,run-6855df42bc15ecea,50,33,2929,2015-01-02,2026-08-26,False,0.2093
9,rank,monthly,3.5649445041795786,0.13960591534243738,-0.3434219081454496,0.84,1.5834188564916596,0.8139663150101856,288.3142857142857,0.8671487368594254,-0.05006378435474135,0.0010862208461581702,run-dc72f3286db40e90,560,525,2929,2015-01-02,2026-08-26,False,0.2559
9,rank,quarterly,3.3434001956911334,0.13473693656398833,-0.35220555793064223,0.8493975903614458,2.509629602391089,0.7668945601977137,477.93975903614455,0.49235469274550864,-0.0549327631331904,-0.003782757932290881,run-5702bd198b77d401,188,166,2929,2015-01-02,2026-08-26,False,0.2224
12,winner,monthly,4.580449083419533,0.1594779895394982,-0.34082271654343366,0.6231884057971014,9.568159036374979,0.9017499761922015,144.18840579710144,1.466177146858703,-0.030191710157680518,0.020958295043219,run-7db3d68c28c37734,90,69,2929,2015-01-02,2026-08-26,False,0.2379
12,winner,quarterly,3.4375913068852926,0.1368341309904464,-0.3405671720244525,0.75,1.816117623829601,0.7314869421347039,205.53125,1.1538872357514112,-0.05283556870673234,-0.001685563505832821,run-0ba54bb2afa11a1c,48,32,2929,2015-01-02,2026-08-26,False,0.2438
12,rank,monthly,3.5195386821245487,0.13862587876740506,-0.34234478855040773,0.8620689655172413,1.6465238264169684,0.8030637531457405,353.91954022988506,0.7001589686722592,-0.051043820929773664,0.00010618427112585316,run-c317024a91af0c9e,560,522,2929,2015-01-02,2026-08-26,False,0.2843
12,rank,quarterly,3.2657714945061294,0.13297702689561786,-0.34198756591197055,0.8734939759036144,2.7802878839127603,0.7554829119878556,531.5060240963855,0.4430421228606893,-0.05669267280156087,-0.005542667600661355,run-981a14e318d6ae09,188,166,2929,2015-01-02,2026-08-26,False,0.2374
