lookback_days,power,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
21,1.0,monthly,-0.3483758307501832,560,普通,3,3,-0.34716559992318735,-0.3467621896475221,-0.0012102308269958395,,False,cadence=monthly,1,-0.3439660920419753,-0.003199507881212038
21,1.0,quarterly,-0.3450345346565745,188,普通,3,3,-0.3439660920419753,-0.34360994450377563,-0.0010684426145992076,,False,cadence=quarterly,1,-0.34716559992318735,0.003199507881212038
21,2.0,monthly,-0.3468685331683984,560,普通,3,3,-0.34716559992318735,-0.3472646221747837,0.00029706675478896605,,False,cadence=monthly,1,-0.3439660920419753,-0.003199507881212038
21,2.0,quarterly,-0.34157597534520445,188,普通,3,3,-0.3439660920419753,-0.34476279760756556,0.002390116696770861,,True,cadence=quarterly,1,-0.34716559992318735,0.003199507881212038
63,1.0,monthly,-0.34771402233633164,560,普通,5,5,-0.346877162589269,-0.3467097906398564,-0.0008368597470626571,,False,cadence=monthly,1,-0.34440877323440583,-0.002468389354863154
63,1.0,quarterly,-0.3460733131797511,188,普通,5,5,-0.34440877323440583,-0.34407586524533673,-0.001664539945345267,,False,cadence=quarterly,1,-0.346877162589269,0.002468389354863154
63,2.0,monthly,-0.3457040134378362,560,普通,5,5,-0.346877162589269,-0.3471117924195555,0.0011731491514327952,,False,cadence=monthly,1,-0.34440877323440583,-0.002468389354863154
63,2.0,quarterly,-0.3431805449863712,188,普通,5,5,-0.34440877323440583,-0.34465441888401277,0.0012282282480346463,,False,cadence=quarterly,1,-0.346877162589269,0.002468389354863154
126,1.0,monthly,-0.3474525311796559,560,普通,5,5,-0.3463610178279977,-0.3461427151576661,-0.001091513351658191,,False,cadence=monthly,1,-0.34506024450152983,-0.0013007733264678856
126,1.0,quarterly,-0.34658619062738893,188,普通,5,5,-0.34506024450152983,-0.344755055276358,-0.0015259461258591012,,False,cadence=quarterly,1,-0.3463610178279977,0.0013007733264678856
126,2.0,monthly,-0.34514804466320825,560,普通,5,5,-0.3463610178279977,-0.3466036124609556,0.001212973164789466,,False,cadence=monthly,1,-0.34506024450152983,-0.0013007733264678856
126,2.0,quarterly,-0.3440020806111448,188,普通,5,5,-0.34506024450152983,-0.3452718772796069,0.0010581638903850443,,False,cadence=quarterly,1,-0.3463610178279977,0.0013007733264678856
252,1.0,monthly,-0.3473023340126019,560,普通,3,3,-0.3461870177984546,-0.34581524572707223,-0.0011153162141472883,,False,cadence=monthly,1,-0.34527690221076424,-0.0009101155876903855
252,1.0,quarterly,-0.34656732030692183,188,普通,3,3,-0.34527690221076424,-0.3448467628453784,-0.0012904180961575973,,False,cadence=quarterly,1,-0.3461870177984546,0.0009101155876903855
252,2.0,monthly,-0.3448451613383525,560,普通,3,3,-0.3461870177984546,-0.3466343032851554,0.0013418564601020977,,True,cadence=monthly,1,-0.34527690221076424,-0.0009101155876903855
252,2.0,quarterly,-0.3439520172976014,188,普通,3,3,-0.34527690221076424,-0.34571853051515183,0.0013248849131628493,,True,cadence=quarterly,1,-0.3461870177984546,0.0009101155876903855
