名稱,類別,參數,annual_excess:SPY,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,裁決,鄰域平均,成交筆數,對「固定權重·動能95價值5(quarterly)」的差距,對「固定權重·各佔25%(quarterly)」的差距,run_id,備註
因子動量排名·最優格,驅動器,lookback_months=3、mode=winner、cadence=monthly,0.03243911208735617,5.257319261258169,0.17095880658363538,-0.34082271654343366,0.6354166666666666,2.1213136612364543,0.9824722472240145,108.92708333333333,3.9430409594750575,-0.018710893113543348,0.03243911208735617,孤峰,0.016766406662881428,144,0.02036423284247446,0.039065808660777135,run-95118047dd866a68,因子動量排名
因子動量排名·鄰域平均最高,驅動器,lookback_months=6、mode=winner、cadence=monthly,0.01949728817195817,4.49929210012328,0.15801698266823738,-0.3420989379149042,0.5697674418604651,1.828844453129674,0.9070704515379697,126.43023255813954,3.1763442864589027,-0.031652717028941346,0.01949728817195817,普通,0.027361875141906467,124,0.007422408927076463,0.026123984745379136,run-4fe7e1abda41c996,穩健平原的中心
相對強弱對 SPY·最優格,驅動器,lookback_months=6、fallback=cash、cadence=monthly,0.04037333652682329,5.768064076235688,0.1788930310231025,-0.21139362104581827,0.7589285714285714,1.593235982274035,1.2381617582764142,100.70089285714286,3.227083773825718,-0.010776668674076229,0.04037333652682329,孤峰,0.029829480487390796,275,0.02829845728194158,0.047000033100244254,run-08bcf7fb56c6981c,相對強弱對大市
逆波幅·最優格,驅動器,lookback_days=252、power=1、cadence=quarterly,-0.00853852387366838,3.1365366625073747,0.12998117062261083,-0.34656732030692183,0.9658119658119658,47.87107070541078,0.761877952336817,1418.6239316239316,0.1280956330488279,-0.0596885290745679,-0.00853852387366838,普通,-0.011637505225148947,188,-0.02061340311855009,-0.001911827300247415,run-9deb1bbd338543f2,逆波幅
大市趨勢開關·最優格,驅動器,ma_days=50、tilt=0.5、cadence=monthly,-0.010552510639771695,3.051679789970782,0.12796718385650752,-0.34454358615084624,0.8777777777777778,0.7930184580041427,0.7197705504981213,676.6444444444444,1.2755234917537206,-0.06170251584067121,-0.010552510639771695,普通,-0.01498914123928169,560,-0.022627389884653404,-0.00392581406635073,run-a2ba68ee827b9a11,大市趨勢開關
大市趨勢開關·鄰域平均最高,驅動器,ma_days=200、tilt=0.5、cadence=monthly,-0.012481956624102786,2.9718801042152267,0.12603773787217643,-0.344543586150846,0.8911111111111111,1.1412287519859874,0.6891708330754714,769.4222222222222,0.7338457503433251,-0.0636319618250023,-0.012481956624102786,普通,-0.014309086155557427,560,-0.024556835868984495,-0.005855260050681821,run-f299b624f2d70018,穩健平原的中心
固定權重·動能95價值5(monthly),對照,weight_quality=0、weight_value=0.05、weight_momentum=0.95、weight_low_vol=0、cadence=monthly,0.012054182843613592,4.102330512270257,0.1505738773398928,-0.3431857205079468,0.9783783783783784,29.644358518518523,0.7464005990080993,1271.7243243243242,0.03722603107327887,-0.039095822357285925,0.012054182843613592,不在掃描格上,,280,-2.069640126811656e-05,0.018680879417034557,run-dfd04fc1e4071a4e,KARST-029 固定權重
固定權重·動能95價值5(quarterly),對照,weight_quality=0、weight_value=0.05、weight_momentum=0.95、weight_low_vol=0、cadence=quarterly,0.012074879244881709,4.103397012428107,0.15059457374116092,-0.3429867513823276,1.0,,0.7466882438604429,1609.0892857142858,0.02872374222513463,-0.03907512595601781,0.012074879244881709,不在掃描格上,,94,0.0,0.018701575818302674,run-4fbaef32301da5a9,KARST-029 固定權重
固定權重·各佔25%(monthly),對照,weight_quality=0.25、weight_value=0.25、weight_momentum=0.25、weight_low_vol=0.25、cadence=monthly,-0.007152588975811058,3.1958714173874654,0.13136710552046815,-0.3499494159383212,0.9706840390879479,86.70671640395929,0.7545557825256498,1529.2084690553745,0.11271001663958807,-0.058302594176710576,-0.007152588975811058,不在掃描格上,,560,-0.019227468220692767,-0.0005258924023900935,run-e1ecd16be7d794ab,KARST-029 固定權重
固定權重·各佔25%(quarterly),對照,weight_quality=0.25、weight_value=0.25、weight_momentum=0.25、weight_low_vol=0.25、cadence=quarterly,-0.006626696573420965,3.218588793805302,0.13189299792285825,-0.34929258840310273,0.978021978021978,400.379168500573,0.7584157425897062,1457.4835164835165,0.0772234158553801,-0.05777670177432048,-0.006626696573420965,不在掃描格上,,188,-0.018701575818302674,0.0,run-9177d17490f49dc4,KARST-029 固定權重
