lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.006475424333078461,560,普通,3,3,-0.00700333310025536,-0.007179302689314326,0.0005279087671768989,,True,cadence=monthly,1,-0.021666729080487612,0.014663395980232252
10,0.5,quarterly,-0.014018002573221722,188,孤峰,3,3,-0.021666729080487612,-0.024216304582909576,0.0076487265072658905,,True,cadence=quarterly,1,-0.00700333310025536,-0.014663395980232252
10,0.75,monthly,-0.007067317251341354,560,普通,5,5,-0.006960234825128679,-0.006938818339886144,-0.00010708242621267506,,False,cadence=monthly,1,-0.029350922328164535,0.022390687503035855
10,0.75,quarterly,-0.02941206482035974,188,普通,5,5,-0.029350922328164535,-0.029338693829725492,-6.114249219520487e-05,,False,cadence=quarterly,1,-0.006960234825128679,-0.022390687503035855
10,1.0,monthly,-0.008173384629772462,300,普通,3,3,-0.006831861676270978,-0.006384687358437151,-0.0013415229535014839,,False,cadence=monthly,1,-0.036961741769191814,0.030129880092920835
10,1.0,quarterly,-0.04533750433099892,100,普通,3,3,-0.036961741769191814,-0.03416982091525611,-0.00837576256180711,,False,cadence=quarterly,1,-0.006831861676270978,-0.030129880092920835
20,0.5,monthly,-0.007958537912609698,560,普通,5,5,-0.006860735206918027,-0.006641174665779692,-0.001097802705691671,,False,cadence=monthly,1,-0.02052989659898023,0.013669161392062201
20,0.5,quarterly,-0.014240564318998228,188,普通,5,5,-0.02052989659898023,-0.02178776305497663,0.006289332279982001,,False,cadence=quarterly,1,-0.006860735206918027,-0.013669161392062201
20,0.75,monthly,-0.006512052903991927,560,普通,8,8,-0.006943381417606161,-0.00699729748180794,0.00043132851361423353,,False,cadence=monthly,1,-0.02792070003736227,0.02097731861975611
20,0.75,quarterly,-0.02899628460937076,188,普通,8,8,-0.02792070003736227,-0.02778625196586121,-0.0010755845720084901,,False,cadence=quarterly,1,-0.006943381417606161,-0.02097731861975611
20,1.0,monthly,-0.00557469191997817,287,普通,5,5,-0.006944310418306047,-0.0072182341179716225,0.0013696184983278776,,True,cadence=monthly,1,-0.03523384703491054,0.02828953661660449
20,1.0,quarterly,-0.04410111331603783,105,普通,5,5,-0.03523384703491054,-0.03346039377868508,-0.008867266281127294,,False,cadence=quarterly,1,-0.006944310418306047,-0.02828953661660449
40,0.5,monthly,-0.006390608002931009,560,普通,5,5,-0.010895460816381153,-0.011796431379071182,0.004504852813450144,,True,cadence=monthly,1,-0.020095264795511714,0.00919980397913056
40,0.5,quarterly,-0.011624651234577232,188,孤峰,5,5,-0.020095264795511714,-0.02178938750769861,0.008470613560934481,,True,cadence=quarterly,1,-0.010895460816381153,-0.00919980397913056
40,0.75,monthly,-0.00676047083755571,560,普通,8,8,-0.012793851621188117,-0.013548024219142168,0.006033380783632407,,False,cadence=monthly,1,-0.02752743376993738,0.014733582148749265
40,0.75,quarterly,-0.024887812037353685,188,普通,8,8,-0.02752743376993738,-0.027857386486510344,0.002639621732583697,,False,cadence=quarterly,1,-0.012793851621188117,-0.014733582148749265
