threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
16.0,0.5,monthly,0.0011083535758331653,560,普通,3,3,-0.001802146670955962,-0.002772313419885671,0.0029105002467891272,,False,cadence=monthly,1,-0.005463075417452001,0.0036609287464960394
16.0,0.5,quarterly,-0.0009032202962138136,188,普通,3,3,-0.005463075417452001,-0.0069830271245313975,0.004559855121238188,,True,cadence=quarterly,1,-0.001802146670955962,-0.0036609287464960394
16.0,0.75,monthly,0.004221229349969935,560,普通,5,5,-0.0017859134742784406,-0.0029873420391281157,0.006007142824248375,,False,cadence=monthly,1,-0.00800121790144955,0.00621530442717111
16.0,0.75,quarterly,-0.003673823916295671,188,普通,5,5,-0.00800121790144955,-0.008866696698480326,0.004327393985153879,,False,cadence=quarterly,1,-0.0017859134742784406,-0.00621530442717111
16.0,1.0,monthly,0.006806583202298322,269,孤峰,3,3,-0.0016834262547132939,-0.0045134294070504994,0.008490009457011616,,True,cadence=monthly,1,-0.010416477681288117,0.008733051426574823
16.0,1.0,quarterly,-0.007144966025636634,101,普通,3,3,-0.010416477681288117,-0.011506981566505278,0.0032715116556514823,,False,cadence=quarterly,1,-0.0016834262547132939,-0.008733051426574823
18.0,0.5,monthly,-0.005090129402650634,560,普通,5,5,-0.00384998970829357,-0.0036019617694221574,-0.001240139694357064,,False,cadence=monthly,1,-0.006478265097652036,0.0026282753893584663
18.0,0.5,quarterly,-0.005438176387331017,188,普通,5,5,-0.006478265097652036,-0.00668628283971624,0.0010400887103210188,,False,cadence=quarterly,1,-0.00384998970829357,-0.0026282753893584663
18.0,0.75,monthly,-0.007448040206976314,560,普通,8,8,-0.004517019174623894,-0.004150641545579842,-0.00293102103235242,,False,cadence=monthly,1,-0.00944023349564972,0.004923214321025826
18.0,0.75,quarterly,-0.011837081069967503,188,普通,8,8,-0.00944023349564972,-0.009140627548859998,-0.002396847574317783,,False,cadence=quarterly,1,-0.004517019174623894,-0.004923214321025826
18.0,1.0,monthly,-0.010313477364145118,211,普通,5,5,-0.005098739977974091,-0.004055792500739885,-0.005214737386171027,,False,cadence=monthly,1,-0.012278062280231095,0.007179322302257003
18.0,1.0,quarterly,-0.019010039713252658,82,普通,5,5,-0.012278062280231095,-0.010931666793626782,-0.006731977433021563,,False,cadence=quarterly,1,-0.005098739977974091,-0.007179322302257003
20.0,0.5,monthly,-0.0060789568769530344,560,普通,5,5,-0.009075318624902443,-0.009674590974492326,0.0029963617479494085,,False,cadence=monthly,1,-0.010481358309084846,0.001406039684182403
20.0,0.5,quarterly,-0.004952331095916085,188,孤峰,5,5,-0.010481358309084846,-0.011587163751718598,0.005529027213168761,,True,cadence=quarterly,1,-0.009075318624902443,-0.001406039684182403
20.0,0.75,monthly,-0.009812394688984538,560,普通,8,8,-0.011662083067034769,-0.011893294114291048,0.0018496883780502304,,False,cadence=monthly,1,-0.01503119999164314,0.003369116924608371
20.0,0.75,quarterly,-0.012064957820188127,188,普通,8,8,-0.01503119999164314,-0.015401980263075016,0.0029662421714550125,,False,cadence=quarterly,1,-0.011662083067034769,-0.003369116924608371
20.0,1.0,monthly,-0.014046340160006832,169,普通,5,5,-0.014165989144692212,-0.014189918941629288,0.00011964898468538009,,False,cadence=monthly,1,-0.019457606326269472,0.00529161718157726
20.0,1.0,quarterly,-0.019937505136045974,72,普通,5,5,-0.019457606326269472,-0.01936162656431417,-0.00047989880977650223,,False,cadence=quarterly,1,-0.014165989144692212,-0.00529161718157726
22.0,0.5,monthly,-0.008793726455555984,560,普通,5,5,-0.007607738269730861,-0.007370540632565837,-0.0011859881858251224,,False,cadence=monthly,1,-0.011920272813958873,0.004312534544228012
