名稱,類別,參數,annual_excess:SPY,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,裁決,鄰域平均,成交筆數,對「固定權重·動能95價值5(quarterly)」的差距,對「固定權重·各佔25%(quarterly)」的差距,run_id,備註
宏觀·VIX 水平開關·最優格,宏觀驅動器,threshold=16、tilt=1、cadence=monthly,0.006806583202298322,3.838396683632853,0.14532627769857753,-0.33558181314409374,0.6944444444444444,3.2174969523433017,0.8538762124926988,133.91203703703704,3.401117522710095,-0.044343421998601196,0.006806583202298322,孤峰,-0.0016834262547132939,269,-0.005198588906675017,0.013554299766287192,run-2a9ad797eecc5b3a,序列 VIX
宏觀·VIX 期限結構開關·最優格,宏觀驅動器,threshold=1.1、tilt=1、cadence=monthly,0.0058132357282774105,3.7898628036874484,0.14433293022455662,-0.339848397807915,0.5172413793103449,24.334728778593693,0.7106347205361504,262.7068965517241,0.33038705629449155,-0.04533676947262211,0.0058132357282774105,山脊,0.003810274935111768,68,-0.006191936380695928,0.01256095229226628,run-2a9cc644d7b58f96,序列 VIX、VIX_3M
宏觀·信用利差變化方向·最優格,宏觀驅動器,lookback_days=20、tilt=1、cadence=monthly,-0.00557469191997817,3.2643707409090394,0.13294500257630104,-0.33558181314409385,0.6236559139784946,1.6477769477981776,0.6958649449310031,67.22043010752688,6.073297330331204,-0.05672469712087769,-0.00557469191997817,普通,-0.006944310418306047,287,-0.01757986402895151,0.0011730246440107006,run-cb17c73fcfd300a2,序列 HY_ETF、IG_ETF
宏觀·信用利差變化方向·鄰域平均最高,宏觀驅動器,lookback_days=10、tilt=1、cadence=monthly,-0.008173384629772462,3.1520941682193664,0.13034630986650675,-0.33558181314409374,0.6446700507614214,1.343765679741502,0.6858488553253705,65.39086294416244,6.115376142990803,-0.05932338983067198,-0.008173384629772462,普通,-0.006831861676270978,300,-0.0201785567387458,-0.0014256680657835918,run-9f53a4c29708be25,穩健平原的中心
宏觀·曲線斜度變化方向·最優格,宏觀驅動器,lookback_days=20、tilt=1、cadence=monthly,0.04664121433898716,6.1981712563585685,0.18516090883526637,-0.337717764462074,0.6216216216216216,2.3579135059079808,1.2454799610340241,92.88288288288288,5.724955704033339,-0.0045087908619123596,0.04664121433898716,孤峰,0.02354316259043021,174,0.03463604223001382,0.05338893090297603,run-285ad785566205a0,序列 UST_10Y、UST_3M
宏觀·曲線斜度變化方向·鄰域平均最高,宏觀驅動器,lookback_days=40、tilt=1、cadence=monthly,0.030269840140412896,5.1239475293218195,0.1687895346366921,-0.33771776446207413,0.6421052631578947,2.6316798374658656,1.1007879079491354,108.52631578947368,4.093515287248935,-0.020880165060486622,0.030269840140412896,普通,0.02905937302991816,142,0.018264668031439557,0.037017556704401766,run-4bb2d54e94eaa117,穩健平原的中心
宏觀·10 年息率趨勢·最優格,宏觀驅動器,lookback_days=20、tilt=1、cadence=monthly,0.02307357806302268,4.6998909607543915,0.1615932725593019,-0.337717764462074,0.6153846153846154,2.1449762093828535,1.0222966797831343,89.37606837606837,6.1780958498570335,-0.028076427137876836,0.02307357806302268,孤峰,0.0014635545323258652,186,0.011068405954049343,0.029821294627011552,run-4a5a5665451228d7,序列 UST_10Y
宏觀·10 年息率趨勢·鄰域平均最高,宏觀驅動器,lookback_days=10、tilt=1、cadence=monthly,0.0014299468785778924,3.5809680778147,0.1399496413748571,-0.337717764462074,0.584070796460177,2.3832968973135604,0.8570332899636944,92.53982300884955,5.477971545206194,-0.049720058322321625,0.0014299468785778924,普通,0.00927767752417763,178,-0.010575225230395446,0.008177663442566763,run-a6915fef49f14906,穩健平原的中心
宏觀·聯邦基金利率預期方向·最優格,宏觀驅動器,lookback_days=10、tilt=1、cadence=quarterly,0.026068652871344744,4.873009931966704,0.16458834736762396,-0.34082271654343366,0.7931034482758621,2.1445986840484466,0.9246353416655081,172.10344827586206,1.6106675504492731,-0.025081352329554774,0.026068652871344744,孤峰,-0.009384662180076442,85,0.014063480762371405,0.032816369435333614,run-fc3e3cd91025f40a,序列 FF_FUTURE
宏觀·聯邦基金利率預期方向·鄰域平均最高,宏觀驅動器,lookback_days=120、tilt=0.5、cadence=quarterly,-0.0024122202086476197,3.4047457507157493,0.1361074742876316,-0.34639457944869734,0.9655172413793104,8.261817248501417,0.7644512332190151,833.0137931034483,0.23874004743989613,-0.05356222540954714,-0.0024122202086476197,普通,-0.0060606318059228115,188,-0.014417392317620958,0.004335496355341251,run-03606c6f01eaa7f9,穩健平原的中心
