lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.004561487422293453,560,普通,3,3,-0.003779539535706977,-0.003518890240178152,-0.000781947886586476,,False,cadence=monthly,1,-0.020665436722229036,0.01688589718652206
10,0.5,quarterly,-0.013401536534178193,188,孤峰,3,3,-0.020665436722229036,-0.02308673678491265,0.0072639001880508425,,True,cadence=quarterly,1,-0.003779539535706977,-0.01688589718652206
10,0.75,monthly,-0.0024623941224712897,560,普通,5,5,-0.002404516672421327,-0.0023929411824113343,-5.787745004996259e-05,,False,cadence=monthly,1,-0.0279660779976747,0.025561561325253373
10,0.75,quarterly,-0.02798173023421424,188,普通,5,5,-0.0279660779976747,-0.02796294755036679,-1.565223653954284e-05,,False,cadence=quarterly,1,-0.002404516672421327,-0.025561561325253373
10,1.0,monthly,-0.0008941103055404298,300,山脊,3,3,-0.0009427255219243147,-0.0009589305940522763,4.8615216383884885e-05,,False,cadence=monthly,1,-0.0351871089829594,0.03424438346103509
10,1.0,quarterly,-0.043137237636937,100,普通,3,3,-0.0351871089829594,-0.032537066098300205,-0.007950128653977595,,False,cadence=quarterly,1,-0.0009427255219243147,-0.03424438346103509
20,0.5,monthly,-0.00609471052453725,560,普通,5,5,-0.003957550391619232,-0.003530118365035628,-0.0021371601329180185,,False,cadence=monthly,1,-0.01943693448277554,0.01547938409115631
20,0.5,quarterly,-0.013646495520032387,188,普通,5,5,-0.01943693448277554,-0.02059502227532417,0.0057904389627431545,,False,cadence=quarterly,1,-0.003957550391619232,-0.01547938409115631
20,0.75,monthly,-0.0019995660735259158,560,普通,8,8,-0.0028479098565584605,-0.0029539528294375283,0.0008483437830325447,,False,cadence=monthly,1,-0.026409083962301953,0.023561174105743495
20,0.75,quarterly,-0.02763198460049132,188,普通,8,8,-0.026409083962301953,-0.026256221382528283,-0.0012229006381893684,,False,cadence=quarterly,1,-0.0028479098565584605,-0.023561174105743495
20,1.0,monthly,0.0015851684138403765,287,山脊,5,5,-0.0016544055996927653,-0.002302320402399394,0.003239574013533142,,True,cadence=monthly,1,-0.03329663421881849,0.031642228619125724
20,1.0,quarterly,-0.04199748346019505,105,普通,5,5,-0.03329663421881849,-0.03155646437054318,-0.008700849241376561,,False,cadence=quarterly,1,-0.0016544055996927653,-0.031642228619125724
40,0.5,monthly,-0.005048557164038847,560,普通,5,5,-0.008432039971566533,-0.00910873653307207,0.0033834828075276855,,False,cadence=monthly,1,-0.018901996296356433,0.0104699563247899
40,0.5,quarterly,-0.010853918293596054,188,孤峰,5,5,-0.018901996296356433,-0.020511611896908512,0.008048078002760379,,True,cadence=quarterly,1,-0.008432039971566533,-0.0104699563247899
40,0.75,monthly,-0.0035785870428486355,560,普通,8,8,-0.009332390091104056,-0.010051615472135983,0.0057538030482554205,,False,cadence=monthly,1,-0.025870879403063415,0.016538489311959358
40,0.75,quarterly,-0.023105941714141043,188,普通,8,8,-0.025870879403063415,-0.026216496614178714,0.0027649376889223726,,False,cadence=quarterly,1,-0.009332390091104056,-0.016538489311959358
40,1.0,monthly,-0.002576944467610698,255,普通,5,5,-0.010153809173222247,-0.011669182114344557,0.007576864705611549,,False,cadence=monthly,1,-0.03275250478179877,0.022598695608576524
40,1.0,quarterly,-0.0359254276669323,111,普通,5,5,-0.03275250478179877,-0.03211792020477207,-0.0031729228851335237,,False,cadence=quarterly,1,-0.010153809173222247,-0.022598695608576524
60,0.5,monthly,-0.011925388092026923,560,普通,5,5,-0.008995246336476082,-0.008409217985365914,-0.0029301417555508413,,False,cadence=monthly,1,-0.014696756623848839,0.0057015102873727574
60,0.5,quarterly,-0.011822472123149685,188,普通,5,5,-0.014696756623848839,-0.01527161352398867,0.0028742845006991535,,False,cadence=quarterly,1,-0.008995246336476082,-0.0057015102873727574
60,0.75,monthly,-0.021945430932421628,560,普通,8,8,-0.01048462618534058,-0.009052025591955448,-0.011460804747081048,,False,cadence=monthly,1,-0.019639906562747302,0.009155280377406722
60,0.75,quarterly,-0.026351165526728115,188,普通,8,8,-0.019639906562747302,-0.0188009991922497,-0.006711258963980813,,False,cadence=quarterly,1,-0.01048462618534058,-0.009155280377406722
60,1.0,monthly,-0.03240749493676698,233,普通,5,5,-0.011892382337015025,-0.007789359817064634,-0.02051511259975195,,False,cadence=monthly,1,-0.02448073882148775,0.012588356484472726
60,1.0,quarterly,-0.0415030257223048,109,普通,5,5,-0.02448073882148775,-0.02107628144132434,-0.017022286900817047,,False,cadence=quarterly,1,-0.011892382337015025,-0.012588356484472726
120,0.5,monthly,-0.006033396389909296,560,普通,3,3,-0.011336083452992252,-0.013103645807353237,0.005302687063082956,,False,cadence=monthly,1,-0.013555169933838984,0.0022190864808467325
120,0.5,quarterly,-0.007198335719053484,188,孤峰,3,3,-0.013555169933838984,-0.01567411467210082,0.006356834214785501,,True,cadence=quarterly,1,-0.011336083452992252,-0.0022190864808467325
120,0.75,monthly,-0.00544011839761116,560,普通,5,5,-0.013859591165594506,-0.015543485719191175,0.008419472767983346,,False,cadence=monthly,1,-0.01781231189834272,0.003952720732748214
120,0.75,quarterly,-0.008848706366424652,188,普通,5,5,-0.01781231189834272,-0.019605033004726335,0.008963605531918068,,False,cadence=quarterly,1,-0.013859591165594506,-0.003952720732748214
120,1.0,monthly,-0.005405718244831048,191,孤峰,3,3,-0.016299690627907704,-0.019931014755599923,0.010893972383076655,,True,cadence=monthly,1,-0.02196326588696329,0.0056635752590555866
120,1.0,quarterly,-0.011150165932395595,91,普通,3,3,-0.02196326588696329,-0.025567632538485856,0.010813099954567695,,False,cadence=quarterly,1,-0.016299690627907704,-0.0056635752590555866
