lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,0.0018907386088018452,560,普通,3,3,0.014851675303576395,0.01917198753516791,-0.01296093669477455,0.12730810296846048,False,cadence=monthly,1,-0.002336417400366997,0.01718809270394339
10,0.5,quarterly,-0.003041538115541087,188,普通,3,3,-0.002336417400366997,-0.0021013771619756336,-0.0007051207151740901,,False,cadence=quarterly,1,0.014851675303576395,-0.01718809270394339
10,0.75,monthly,0.010378182351032272,560,普通,5,5,0.021904083612438934,0.024209263864720266,-0.011525901261406662,0.4738012570924761,False,cadence=monthly,1,-0.0013859175072432617,0.023290001119682196
10,0.75,quarterly,-0.00025103245593349754,188,普通,5,5,-0.0013859175072432617,-0.0016128945175052146,0.0011348850513097641,,False,cadence=quarterly,1,0.021904083612438934,-0.023290001119682196
10,1.0,monthly,0.0183059338139544,174,普通,3,3,0.02902790601411981,0.032601896747508276,-0.010721972200165408,0.630632254529486,False,cadence=monthly,1,-0.0003153645571064567,0.029343270571226265
10,1.0,quarterly,0.0017437688851296151,60,普通,3,3,-0.0003153645571064567,-0.0010017423711851474,0.002059133442236072,,True,cadence=quarterly,1,0.02902790601411981,-0.029343270571226265
20,0.5,monthly,0.013422139009352518,560,普通,5,5,0.014766243961447878,0.01503506495186695,-0.0013441049520953596,0.9089744856170204,False,cadence=monthly,1,-0.00037981733690336156,0.01514606129835124
20,0.5,quarterly,-0.004012508699492656,188,普通,5,5,-0.00037981733690336156,0.00034672093561449735,-0.0036326913625892945,,False,cadence=quarterly,1,0.014766243961447878,-0.01514606129835124
20,0.75,monthly,0.033715641245118944,560,普通,8,8,0.02178019674632714,0.020288266183978165,0.011935444498791803,1.547995256324051,False,cadence=monthly,1,0.001188979042503085,0.020591217703824057
20,0.75,quarterly,-0.0020405903305007467,188,普通,8,8,0.001188979042503085,0.0015926752141285638,-0.0032295693730038317,-1.7162542463362656,False,cadence=quarterly,1,0.02178019674632714,-0.020591217703824057
