lookback_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
10,0.5,monthly,3.241743930440262,0.13242636736509206,-0.34712766357205427,0.8266423357664233,1.432166438814636,0.7389138895357098,190.50547445255475,1.429329342797171,-0.05724333233208667,-0.006093327131187154,run-f523351847e2d343,560,548,2929,2015-01-02,2026-08-26,False,0.3155
10,0.5,quarterly,3.681960257670198,0.14209109851073998,-0.3463943960712177,0.9281437125748503,1.4295469598252275,0.817587634462827,649.6826347305389,0.45174914835371277,-0.04757860118643875,0.003571404014460766,run-0ef7030744e57589,188,167,2929,2015-01-02,2026-08-26,False,0.2288
10,0.75,monthly,3.352590779618067,0.13494338820854423,-0.3422147709153157,0.7653429602888087,1.1507979838035534,0.7352616608050361,130.82490974729242,3.4637763887703783,-0.054726311488634494,-0.003576306287734976,run-9489abb9d085e167,560,554,2929,2015-01-02,2026-08-26,False,0.2573
10,0.75,quarterly,4.3079960387835445,0.1544936995695656,-0.34357208601292477,0.8850574712643678,1.3437623564063812,0.8904076973126873,474.85632183908046,1.0318453387630457,-0.03517600012761313,0.01597400507328639,run-9aa33733a24688a0,188,174,2929,2015-01-02,2026-08-26,False,0.2498
10,1.0,monthly,3.4461652388001323,0.13702300672204037,-0.3373089637910951,0.6785714285714286,1.342822189180426,0.7154406714462648,72.29166666666667,5.487307543492054,-0.052646692975138354,-0.0014966877742388363,run-4ab794ae135c492f,257,168,2929,2015-01-02,2026-08-26,False,0.301
10,1.0,quarterly,4.9800679697548595,0.1664003945740693,-0.34082271654343366,0.7931034482758621,2.2023314924886974,0.9385774845053084,168.79310344827587,1.6126383809385656,-0.02326930512310943,0.027880700077790088,run-7416ffcedd1dcff3,85,58,2929,2015-01-02,2026-08-26,False,0.2519
20,0.5,monthly,3.117536148914011,0.12953351664967472,-0.3497307366029483,0.837037037037037,0.9461373850418227,0.7158061230907237,180.53518518518518,1.4402961263218839,-0.06013618304750401,-0.008986177846604493,run-3b5515bba8b1d857,560,540,2929,2015-01-02,2026-08-26,False,0.2885
20,0.5,quarterly,2.905050188605352,0.12439442730051131,-0.3463943960712177,0.9176470588235294,2.273639379112961,0.6743839875635957,502.91764705882355,0.4838823104938254,-0.06527527239666742,-0.014125267195767899,run-f2da4dba6eecf2a5,188,170,2929,2015-01-02,2026-08-26,False,0.294
20,0.75,monthly,2.851712727439726,0.12306434100785513,-0.34441833426305035,0.8205128205128205,0.6579819824602536,0.6470071499824295,125.81318681318682,3.4996141279028494,-0.0666053586893236,-0.015455353488424084,run-ecc42566480325f8,560,546,2929,2015-01-02,2026-08-26,False,0.2671
20,0.75,quarterly,2.326974118853741,0.10899728537890141,-0.34357208601292477,0.9005524861878453,0.8467708691204581,0.5345269603500237,357.44198895027625,1.1408142614511798,-0.08067241431827732,-0.0295224091173778,run-aa19379865c745b9,188,181,2929,2015-01-02,2026-08-26,False,0.2255
20,1.0,monthly,2.5826815944870427,0.11608750943823298,-0.3391035667251263,0.7704081632653061,0.6934608575805202,0.567364108073112,71.38265306122449,5.552705130486979,-0.07358219025894575,-0.022432185058046228,run-4a92804db0cb97ba,291,196,2929,2015-01-02,2026-08-26,False,0.2559
