threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.9,0.5,monthly,-0.006357767979843665,560,普通,3,3,-0.005185194375619762,-0.004794336507545127,-0.0011725736042239032,,False,cadence=monthly,1,-0.016473599646350034,0.011288405270730273
0.9,0.5,quarterly,-0.011242066261889505,188,普通,3,3,-0.016473599646350034,-0.018217444107836878,0.005231533384460529,,False,cadence=quarterly,1,-0.005185194375619762,-0.011288405270730273
0.9,0.75,monthly,-0.0073866986624342434,560,普通,5,5,-0.0054821751986047955,-0.005101270505838906,-0.001904523463829448,,False,cadence=monthly,1,-0.022930782085971102,0.017448606887366307
0.9,0.75,quarterly,-0.0248953001620269,188,普通,5,5,-0.022930782085971102,-0.022537878470759942,-0.001964518076055799,,False,cadence=quarterly,1,-0.0054821751986047955,-0.017448606887366307
0.9,1.0,monthly,-0.008984296922577961,250,普通,3,3,-0.005680863126449498,-0.0045797185277400105,-0.0033034337961284632,,False,cadence=monthly,1,-0.029267962910474787,0.02358709978402529
0.9,1.0,quarterly,-0.03921358833612665,94,普通,3,3,-0.029267962910474787,-0.0259527544352575,-0.00994562542565186,,False,cadence=quarterly,1,-0.005680863126449498,-0.02358709978402529
0.95,0.5,monthly,-0.003811830705987118,560,普通,5,5,-0.004826218998091214,-0.005029096656512033,0.0010143882921040959,,False,cadence=monthly,1,-0.012994595173237089,0.008168376175145875
0.95,0.5,quarterly,-0.009270774612037957,188,普通,5,5,-0.012994595173237089,-0.013739359285476916,0.0037238205611991315,,False,cadence=quarterly,1,-0.004826218998091214,-0.008168376175145875
0.95,0.75,monthly,-0.00318448015421402,560,普通,8,8,-0.004937543447231161,-0.005156676358858303,0.001753063293017141,,False,cadence=monthly,1,-0.017659899134277,0.012722355687045838
0.95,0.75,quarterly,-0.020486257549445774,188,普通,8,8,-0.017659899134277,-0.017306604332380904,-0.0028263584151687754,,False,cadence=quarterly,1,-0.004937543447231161,-0.012722355687045838
0.95,1.0,monthly,-0.0031679767665717673,196,普通,5,5,-0.0049479374880578115,-0.00530392963235502,0.0017799607214860442,,True,cadence=monthly,1,-0.022207298411267302,0.01725936092320949
0.95,1.0,quarterly,-0.032476705594299826,68,普通,5,5,-0.022207298411267302,-0.020153416974660797,-0.010269407183032524,,False,cadence=quarterly,1,-0.0049479374880578115,-0.01725936092320949
1.0,0.5,monthly,-0.0045806674109027945,560,普通,5,5,-0.0025125413552749367,-0.0020989161441493653,-0.0020681260556278578,,False,cadence=monthly,1,-0.0070681567203012925,0.004555615365026355
1.0,0.5,quarterly,-0.0051824608669617245,188,普通,5,5,-0.0070681567203012925,-0.007445295890969206,0.001885695853339568,,False,cadence=quarterly,1,-0.0025125413552749367,-0.004555615365026355
1.0,0.75,monthly,-0.0036358690751654432,560,普通,8,8,-0.0016847463605212571,-0.001440856021190734,-0.001951122714644186,,False,cadence=monthly,1,-0.008892698543881996,0.007207952183360739
1.0,0.75,quarterly,-0.006890711587060672,188,普通,8,8,-0.008892698543881996,-0.009142946913484662,0.0020019869568213243,,False,cadence=quarterly,1,-0.0016847463605212571,-0.007207952183360739
1.0,1.0,monthly,-0.0033283033473834323,112,普通,5,5,-0.0007521089005778636,-0.0002368700112167499,-0.0025761944468055686,,False,cadence=monthly,1,-0.010595600023835453,0.00984349112325759
1.0,1.0,quarterly,-0.009281227238643996,42,普通,5,5,-0.010595600023835453,-0.010858474580873745,0.0013143727851914564,,False,cadence=quarterly,1,-0.0007521089005778636,-0.00984349112325759
1.05,0.5,monthly,-0.0022575657243342206,560,普通,5,5,-0.0014039245944829082,-0.0012331963685126457,-0.0008536411298513125,,False,cadence=monthly,1,-0.0023260141175559523,0.0009220895230730441
1.05,0.5,quarterly,-0.0020074512729255645,188,普通,5,5,-0.0023260141175559523,-0.00238972668648203,0.00031856284463038786,,False,cadence=quarterly,1,-0.0014039245944829082,-0.0009220895230730441
1.05,0.75,monthly,0.0023951649389539753,560,普通,8,8,0.00010257182374748573,-0.00018400231565332548,0.0022925931152064896,23.351100248060924,False,cadence=monthly,1,-0.0017918828617399611,0.0018944546854874468
1.05,0.75,quarterly,0.0014287155666239393,188,普通,8,8,-0.0017918828617399611,-0.0021944576652854486,0.0032205984283639006,,False,cadence=quarterly,1,0.00010257182374748573,-0.0018944546854874468
1.05,1.0,monthly,0.006408811000913506,74,普通,5,5,0.0017154215978660108,0.0007767437172565117,0.004693389403047495,3.735997616496192,True,cadence=monthly,1,-0.0011384578999899346,0.0028538794978559454
1.05,1.0,quarterly,0.004132586259813609,36,孤峰,5,5,-0.0011384578999899346,-0.002192666731950643,0.0052710441598035436,,True,cadence=quarterly,1,0.0017154215978660108,-0.0028538794978559454
1.1,0.5,monthly,-0.0025311500382316776,560,普通,3,3,-5.1752770207302845e-05,0.000774712985800822,-0.0024793972680243748,,False,cadence=monthly,1,-0.00047072806282832946,0.0004189752926210266
1.1,0.5,quarterly,-0.0021062862158327533,188,普通,3,3,-0.00047072806282832946,7.445798817314515e-05,-0.0016355581530044239,,False,cadence=quarterly,1,-5.1752770207302845e-05,-0.0004189752926210266
1.1,0.75,monthly,0.0021865397427827116,560,普通,5,5,0.0020779977078631737,0.002056289300879266,0.00010854203491953785,1.05223395315058,False,cadence=monthly,1,0.0008712423228344571,0.0012067553850287167
1.1,0.75,quarterly,0.0008021096708210607,188,普通,5,5,0.0008712423228344571,0.0008850688532371365,-6.913265201339647e-05,0.9206504893053362,False,cadence=quarterly,1,0.0020779977078631737,-0.0012067553850287167
1.1,1.0,monthly,0.006266186327094747,68,山脊,3,3,0.004314175502436235,0.0036635052275500644,0.0019520108246585122,1.452464398714471,False,cadence=monthly,1,0.002335297856441265,0.0019788776459949697
1.1,1.0,quarterly,0.002977779928506452,30,普通,3,3,0.002335297856441265,0.0021211371657528697,0.0006424820720651869,1.2751178271727008,False,cadence=quarterly,1,0.004314175502436235,-0.0019788776459949697
