lookback_days,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
20,1.0,monthly,cadence=monthly,0.0015851684138403,孤峰,山脊,是,11,-0.0174755199092556,0.0190606883230959,5,-0.0016544055996927333,0.0032395740135330335,-0.03329663421881846,0.03164222861912573,287
10,1.0,monthly,cadence=monthly,-0.0008941103055404,普通,山脊,是,7,-0.018064917252441838,0.01717080694690144,3,-0.0009427255219243001,4.8615216383900064e-05,-0.035187108982959375,0.034244383461035074,300
20,0.75,monthly,cadence=monthly,-0.0019995660735259,普通,普通,,17,-0.014628496909430168,0.012628930835904268,8,-0.0028479098565584223,0.0008483437830325222,-0.02640908396230191,0.023561174105743488,560
10,0.75,monthly,cadence=monthly,-0.0024623941224712,普通,普通,,11,-0.015185297335047976,0.012722903212576776,5,-0.0024045166724213003,-5.7877450049899706e-05,-0.027966077997674654,0.025561561325253352,560
40,1.0,monthly,cadence=monthly,-0.0025769444676106,普通,普通,,11,-0.021453156977510487,0.018876212509899886,5,-0.010153809173222218,0.007576864705611618,-0.03275250478179875,0.022598695608576535,255
40,0.75,monthly,cadence=monthly,-0.0035785870428486,普通,普通,,17,-0.0176016347470837,0.014023047704235098,8,-0.009332390091104023,0.005753803048255423,-0.025870879403063377,0.016538489311959354,560
10,0.5,monthly,cadence=monthly,-0.0045614874222934,普通,普通,,7,-0.01222248812896795,0.007661000706674549,3,-0.003779539535706925,-0.0007819478865864751,-0.020665436722228973,0.016885897186522048,560
40,0.5,monthly,cadence=monthly,-0.0050485571640388,普通,普通,,11,-0.013667018133961442,0.008618460969922642,5,-0.0084320399715665,0.0033834828075276994,-0.018901996296356385,0.010469956324789885,560
120,1.0,monthly,cadence=monthly,-0.005405718244831,孤峰,孤峰,,7,-0.019131478257435452,0.013725760012604452,3,-0.01629969062790765,0.010893972383076652,-0.02196326588696325,0.005663575259055597,191
120,0.75,monthly,cadence=monthly,-0.0054401183976111,普通,普通,,11,-0.015835951531968557,0.010395833134357456,5,-0.01385959116559445,0.008419472767983351,-0.017812311898342665,0.003952720732748214,560
120,0.5,monthly,cadence=monthly,-0.0060333963899092,普通,普通,,7,-0.012445626693415562,0.006412230303506362,3,-0.0113360834529922,0.005302687063082999,-0.013555169933838925,0.0022190864808467256,560
20,0.5,monthly,cadence=monthly,-0.0060947105245372,普通,普通,,11,-0.011697242437197332,0.005602531912660132,5,-0.003957550391619183,-0.002137160132918017,-0.019436934482775486,0.015479384091156304,560
120,0.5,quarterly,cadence=quarterly,-0.0071983357190534,普通,孤峰,是,7,-0.012445626693415562,0.005247290974362162,3,-0.013555169933838925,0.006356834214785525,-0.0113360834529922,-0.0022190864808467256,188
120,0.75,quarterly,cadence=quarterly,-0.0088487063664246,普通,普通,,11,-0.015835951531968557,0.006987245165543957,5,-0.017812311898342665,0.008963605531918065,-0.01385959116559445,-0.003952720732748214,188
40,0.5,quarterly,cadence=quarterly,-0.010853918293596,普通,孤峰,是,11,-0.013667018133961442,0.0028130998403654416,5,-0.018901996296356385,0.008048078002760384,-0.0084320399715665,-0.010469956324789885,188
120,1.0,quarterly,cadence=quarterly,-0.0111501659323955,普通,普通,,7,-0.019131478257435452,0.007981312325039952,3,-0.02196326588696325,0.010813099954567749,-0.01629969062790765,-0.005663575259055597,91
60,0.5,quarterly,cadence=quarterly,-0.0118224721231496,普通,普通,,11,-0.01184600148016241,2.3529357012809504e-05,5,-0.014696756623848783,0.002874284500699183,-0.008995246336476033,-0.0057015102873727505,188
60,0.5,monthly,cadence=monthly,-0.0119253880920269,普通,普通,,11,-0.01184600148016241,-7.938661186449036e-05,5,-0.008995246336476033,-0.0029301417555508674,-0.014696756623848783,0.0057015102873727505,560
10,0.5,quarterly,cadence=quarterly,-0.0134015365341781,普通,孤峰,是,7,-0.01222248812896795,-0.0011790484052101504,3,-0.020665436722228973,0.007263900188050874,-0.003779539535706925,-0.016885897186522048,188
20,0.5,quarterly,cadence=quarterly,-0.0136464955200323,普通,普通,,11,-0.011697242437197332,-0.0019492530828349678,5,-0.019436934482775486,0.005790438962743186,-0.003957550391619183,-0.015479384091156304,188
60,0.75,monthly,cadence=monthly,-0.0219454309324216,普通,普通,,17,-0.015062266374043889,-0.006883164558377711,8,-0.010484626185340523,-0.011460804747081077,-0.019639906562747257,0.009155280377406734,560
40,0.75,quarterly,cadence=quarterly,-0.023105941714141,普通,普通,,17,-0.0176016347470837,-0.005504306967057303,8,-0.025870879403063377,0.002764937688922376,-0.009332390091104023,-0.016538489311959354,188
60,0.75,quarterly,cadence=quarterly,-0.0263511655267281,普通,普通,,17,-0.015062266374043889,-0.011288899152684212,8,-0.019639906562747257,-0.006711258963980844,-0.010484626185340523,-0.009155280377406734,188
20,0.75,quarterly,cadence=quarterly,-0.0276319846004913,普通,普通,,17,-0.014628496909430168,-0.013003487691061133,8,-0.02640908396230191,-0.0012229006381893892,-0.0028479098565584223,-0.023561174105743488,188
10,0.75,quarterly,cadence=quarterly,-0.0279817302342142,普通,普通,,11,-0.015185297335047976,-0.012796432899166224,5,-0.027966077997674654,-1.565223653954631e-05,-0.0024045166724213003,-0.025561561325253352,188
60,1.0,monthly,cadence=monthly,-0.0324074949367669,普通,普通,,11,-0.018186560579251342,-0.01422093435751556,5,-0.011892382337014966,-0.020515112599751938,-0.024480738821487717,0.01258835648447275,233
40,1.0,quarterly,cadence=quarterly,-0.0359254276669323,普通,普通,,11,-0.021453156977510487,-0.01447227068942181,5,-0.03275250478179875,-0.0031729228851335445,-0.010153809173222218,-0.022598695608576535,111
60,1.0,quarterly,cadence=quarterly,-0.0415030257223048,普通,普通,,11,-0.018186560579251342,-0.023316465143053456,5,-0.024480738821487717,-0.01702228690081708,-0.011892382337014966,-0.01258835648447275,109
20,1.0,quarterly,cadence=quarterly,-0.041997483460195,普通,普通,,11,-0.0174755199092556,-0.024521963550939403,5,-0.03329663421881846,-0.00870084924137654,-0.0016544055996927333,-0.03164222861912573,105
10,1.0,quarterly,cadence=quarterly,-0.043137237636937,普通,普通,,7,-0.018064917252441838,-0.02507232038449516,3,-0.035187108982959375,-0.007950128653977623,-0.0009427255219243001,-0.034244383461035074,100
