lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.0060933271311871,560,普通,3,3,-0.0085277911884876,-0.009339279207587767,0.0024344640573005,,False,cadence=monthly,1,-0.006025566806349651,-0.0025022243821379497
10,0.5,quarterly,0.0035714040144607,188,普通,3,3,-0.006025566806349651,-0.009224557079953101,0.00959697082081035,,False,cadence=quarterly,1,-0.0085277911884876,0.0025022243821379497
10,0.75,monthly,-0.0035763062877349,560,普通,5,5,-0.0096733395977059,-0.0108927462597001,0.006097033309971,,False,cadence=monthly,1,-0.0069644983321929,-0.0027088412655129996
10,0.75,quarterly,0.0159740050732863,188,普通,5,5,-0.0069644983321929,-0.01155219901328874,0.0229385034054792,,False,cadence=quarterly,1,-0.0096733395977059,0.0027088412655129996
10,1.0,monthly,-0.0014966877742388,257,孤峰,3,3,-0.010740133152110976,-0.0138212816114017,0.009243445377872176,,True,cadence=monthly,1,-0.007808281702962575,-0.002931851449148401
10,1.0,quarterly,0.02788070007779,85,孤峰,3,3,-0.007808281702962575,-0.019704608963213435,0.035688981780752575,,True,cadence=quarterly,1,-0.010740133152110976,0.002931851449148401
20,0.5,monthly,-0.0089861778466044,560,普通,5,5,-0.00959770996666235,-0.009720016390673939,0.0006115321200579511,,False,cadence=monthly,1,-0.00988321172562015,0.0002855017589577999
20,0.5,quarterly,-0.0141252671957678,188,普通,5,5,-0.00988321172562015,-0.00903480063159062,-0.00424205547014765,,False,cadence=quarterly,1,-0.00959770996666235,-0.0002855017589577999
20,0.75,monthly,-0.015455353488424,560,普通,8,8,-0.011034234560113534,-0.010481594694074725,-0.004421118928310467,,False,cadence=monthly,1,-0.0127249317365562,0.0016906971764426657
20,0.75,quarterly,-0.0295224091173778,188,普通,8,8,-0.0127249317365562,-0.0106252470639535,-0.0167974773808216,,False,cadence=quarterly,1,-0.011034234560113534,-0.0016906971764426657
20,1.0,monthly,-0.0224321850580462,291,普通,5,5,-0.012390279645579984,-0.010381898563086741,-0.010041905412466216,,False,cadence=monthly,1,-0.015467495069752868,0.0030772154241728838
20,1.0,quarterly,-0.0455654228455488,94,普通,5,5,-0.015467495069752868,-0.009447909514593681,-0.03009792777579593,,False,cadence=quarterly,1,-0.012390279645579984,-0.0030772154241728838
40,0.5,monthly,-0.0098869281897504,560,普通,5,5,-0.01246390301477755,-0.012979297979782981,0.00257697482502715,,False,cadence=monthly,1,-0.016966798238652533,0.004502895223874983
40,0.5,quarterly,-0.0111655520291815,188,普通,5,5,-0.016966798238652533,-0.01812704748054674,0.005801246209471034,,False,cadence=quarterly,1,-0.01246390301477755,-0.004502895223874983
40,0.75,monthly,-0.0135881668562733,560,普通,8,8,-0.015642754395649633,-0.015899577838071676,0.0020545875393763336,,False,cadence=monthly,1,-0.02324269420542717,0.007599939809777537
40,0.75,quarterly,-0.0240314510991408,188,普通,8,8,-0.02324269420542717,-0.023144099593712962,-0.000788756893713629,,False,cadence=quarterly,1,-0.015642754395649633,-0.007599939809777537
40,1.0,monthly,-0.0177929784087627,284,普通,5,5,-0.018733487370843866,-0.0189215891632601,0.0009405089620811644,,False,cadence=monthly,1,-0.02940489859414422,0.010671411223300353
40,1.0,quarterly,-0.0375403925075261,110,普通,5,5,-0.02940489859414422,-0.02777779981146784,-0.008135493913381885,,False,cadence=quarterly,1,-0.018733487370843866,-0.010671411223300353
60,0.5,monthly,-0.0095107592994287,560,普通,5,5,-0.008563016653861633,-0.00837346812474822,-0.0009477426455670665,,False,cadence=monthly,1,-0.009584401536529766,0.0010213848826681332
60,0.5,quarterly,-0.0074640370590299,188,普通,5,5,-0.009584401536529766,-0.01000847443202974,0.0021203644774998665,,False,cadence=quarterly,1,-0.008563016653861633,-0.0010213848826681332
