lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.0013367913367978,560,普通,3,3,0.006778546997260375,0.009483659775279768,-0.008115338334058175,-0.1972091271681201,False,cadence=monthly,1,-0.013274366464184974,0.02005291346144535
10,0.5,quarterly,-0.0140439790427822,188,普通,3,3,-0.013274366464184974,-0.0130178289379859,-0.0007696125785972251,,False,cadence=quarterly,1,0.006778546997260375,-0.02005291346144535
10,0.75,monthly,0.0038820041948719,560,普通,5,5,0.01105191238883675,0.012485894027629719,-0.00716990819396485,0.3512518067726461,False,cadence=monthly,1,-0.0159115599654489,0.02696347235428565
10,0.75,quarterly,-0.0220894451207143,188,普通,5,5,-0.0159115599654489,-0.01467598293439582,-0.006177885155265399,,False,cadence=quarterly,1,0.01105191238883675,-0.02696347235428565
10,1.0,monthly,0.0085047326310765,178,山脊,3,3,0.015418273284033225,0.017722786835018798,-0.006913540652956726,0.5516008488371902,False,cadence=monthly,1,-0.018443726565340823,0.03386199984937405
10,1.0,quarterly,-0.030756031744161,56,普通,3,3,-0.018443726565340823,-0.014339624839067434,-0.012312305178820176,,False,cadence=quarterly,1,0.015418273284033225,-0.03386199984937405
20,0.5,monthly,0.0059751725336854,560,普通,5,5,0.0016275307433242002,0.0007580023852519602,0.004347641790361199,3.6713116223422144,False,cadence=monthly,1,-0.014002527330184367,0.015630058073508566
20,0.5,quarterly,-0.0076504744885479,188,孤峰,5,5,-0.014002527330184367,-0.01527293789851166,0.006352052841636467,,True,cadence=quarterly,1,0.0016275307433242002,-0.015630058073508566
20,0.75,monthly,0.018593802597282,560,普通,8,8,0.0041733257150033,0.002370766104718462,0.014420476882278701,4.455392142155695,False,cadence=monthly,1,-0.016922792283505253,0.02109611799850855
20,0.75,quarterly,-0.0093135672046955,188,普通,8,8,-0.016922792283505253,-0.017873945418356473,0.007609225078809753,,False,cadence=quarterly,1,0.0041733257150033,-0.02109611799850855
20,1.0,monthly,0.0306925537129025,186,孤峰,5,5,0.006814358986597084,0.002038720041336,0.023878194726305414,4.504099912151762,True,cadence=monthly,1,-0.019728238699061065,0.02654259768565815
20,1.0,quarterly,-0.0116158621917925,64,普通,5,5,-0.019728238699061065,-0.021350714000514782,0.008112376507268565,,False,cadence=quarterly,1,0.006814358986597084,-0.02654259768565815
40,0.5,monthly,-0.0079646036814404,560,普通,5,5,0.0007659629850868668,0.00251207631839232,-0.008730566666527266,-10.398157399912927,False,cadence=monthly,1,-0.011904726405955217,0.012670689391042083
40,0.5,quarterly,-0.0122412448258508,188,普通,5,5,-0.011904726405955217,-0.0118374227219761,-0.0003365184198955828,,False,cadence=quarterly,1,0.0007659629850868668,-0.012670689391042083
40,0.75,monthly,-0.0093843998476559,560,普通,8,8,0.0030194647558148113,0.00456994783124865,-0.012403864603470711,-3.1079680031315657,False,cadence=monthly,1,-0.014172354918626666,0.01719181967444148
40,0.75,quarterly,-0.0186764532985155,188,普通,8,8,-0.014172354918626666,-0.013609342621140563,-0.004504098379888834,,False,cadence=quarterly,1,0.0030194647558148113,-0.01719181967444148
40,1.0,monthly,-0.0114025393688945,134,普通,5,5,0.005369456433022483,0.008723855593405879,-0.016771995801916982,-2.12359286477644,False,cadence=monthly,1,-0.016313592771743265,0.02168304920476575
40,1.0,quarterly,-0.0259180726344876,66,普通,5,5,-0.016313592771743265,-0.014392696799194398,-0.009604479862744337,,False,cadence=quarterly,1,0.005369456433022483,-0.02168304920476575
60,0.5,monthly,-0.0030521246480466,560,普通,5,5,-0.006119993165703334,-0.006733566869234681,0.0030678685176567335,,False,cadence=monthly,1,-0.014904800936227217,0.008784807770523883
60,0.5,quarterly,-0.0097779183227817,188,孤峰,5,5,-0.014904800936227217,-0.01593017745891632,0.005126882613445516,,True,cadence=quarterly,1,-0.006119993165703334,-0.008784807770523883
60,0.75,monthly,0.0004279309566967,560,普通,8,8,-0.006175830904140445,-0.007001301136745087,0.006603761860837145,,False,cadence=monthly,1,-0.018132972487082913,0.011957141582942468
60,0.75,quarterly,-0.0137687002953399,188,普通,8,8,-0.018132972487082913,-0.01867850651105079,0.004364272191743013,,False,cadence=quarterly,1,-0.006175830904140445,-0.011957141582942468
60,1.0,monthly,0.0032893905478041,126,孤峰,5,5,-0.0061322406460702335,-0.0080165668848451,0.009421631193874333,,True,cadence=monthly,1,-0.021245271638952883,0.01511303099288265
60,1.0,quarterly,-0.0185889010056286,66,普通,5,5,-0.021245271638952883,-0.02177654576561774,0.0026563706333242836,,False,cadence=quarterly,1,-0.0061322406460702335,-0.01511303099288265
120,0.5,monthly,-0.0077723059313556,560,普通,3,3,-0.004842738866280925,-0.003866216511256033,-0.002929567065074675,,False,cadence=monthly,1,-0.014627776873249251,0.009785038006968326
120,0.5,quarterly,-0.0137059594013964,188,普通,3,3,-0.014627776873249251,-0.014935049363866868,0.0009218174718528503,,False,cadence=quarterly,1,-0.004842738866280925,-0.009785038006968326
120,0.75,monthly,-0.0089744558424182,560,普通,5,5,-0.004471822539878867,-0.0035712958793710004,-0.004502633302539334,,False,cadence=monthly,1,-0.017726830270815383,0.013255007730936515
120,0.75,quarterly,-0.021258529473479,188,普通,5,5,-0.017726830270815383,-0.017020490430282663,-0.0035316992026636178,,False,cadence=quarterly,1,-0.004471822539878867,-0.013255007730936515
120,1.0,monthly,-0.0107493703219536,94,普通,3,3,-0.00400162616496775,-0.0017523781126391337,-0.0067477441569858505,,False,cadence=monthly,1,-0.02071927597517855,0.016717649810210802
120,1.0,quarterly,-0.0292609731262667,54,普通,3,3,-0.02071927597517855,-0.017872043591482503,-0.00854169715108815,,False,cadence=quarterly,1,-0.00400162616496775,-0.016717649810210802
