threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
16.0,0.5,monthly,0.0021384208892929,560,普通,3,3,-0.00024474622999049985,-0.0010391352697516332,0.0023831671192834,,False,cadence=monthly,1,-0.00464600874359935,0.004401262513608849
16.0,0.5,quarterly,-0.0003644938764222,188,普通,3,3,-0.00464600874359935,-0.0060731803659917335,0.00428151486717715,,True,cadence=quarterly,1,-0.00024474622999049985,-0.004401262513608849
16.0,0.75,monthly,0.0066082669392757,560,普通,5,5,0.00038063351570393356,-0.0008648931690104199,0.006227633423571767,17.36123243654607,False,cadence=monthly,1,-0.0068904487562399,0.007271082271943834
16.0,0.75,quarterly,-0.0025039226059477,188,普通,5,5,-0.0068904487562399,-0.0077677539862983395,0.0043865261502922005,,False,cadence=quarterly,1,0.00038063351570393356,-0.007271082271943834
16.0,1.0,monthly,0.0105495169226399,269,孤峰,3,3,0.0010936600918299254,-0.002058292185106733,0.009455856830809975,9.646065538505955,True,cadence=monthly,1,-0.009007165577790426,0.010100825669620351
16.0,1.0,quarterly,-0.0053793513352562,101,普通,3,3,-0.009007165577790426,-0.010216436991968501,0.0036278142425342262,,False,cadence=quarterly,1,0.0010936600918299254,-0.010100825669620351
18.0,0.5,monthly,-0.004229260162389,560,普通,5,5,-0.002438175993357,-0.0020799591595506,-0.0017910841690320003,,False,cadence=monthly,1,-0.0057059892995851335,0.0032678133062281336
18.0,0.5,quarterly,-0.0049495363498555,188,普通,5,5,-0.0057059892995851335,-0.00585727988953106,0.0007564529497296338,,False,cadence=quarterly,1,-0.002438175993357,-0.0032678133062281336
18.0,0.75,monthly,-0.0054964125861416,560,普通,8,8,-0.0025610486896410333,-0.0021941282025784623,-0.0029353638965005664,,False,cadence=monthly,1,-0.00839169698839519,0.005830648298754156
18.0,0.75,quarterly,-0.010766082142172,188,普通,8,8,-0.00839169698839519,-0.008094898844173087,-0.0023743851537768104,,False,cadence=quarterly,1,-0.0025610486896410333,-0.005830648298754156
