threshold,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
16.0,1.0,monthly,cadence=monthly,0.0105495169226399,孤峰,孤峰,,7,-0.00395675274298025,0.014506269665620151,3,0.0010936600918299254,0.009455856830809975,-0.009007165577790426,0.010100825669620351,269
16.0,0.75,monthly,cadence=monthly,0.0066082669392757,普通,普通,,11,-0.003254907620267983,0.009863174559543683,5,0.00038063351570393356,0.006227633423571767,-0.0068904487562399,0.007271082271943834,560
16.0,0.5,monthly,cadence=monthly,0.0021384208892929,普通,普通,,7,-0.002445377486794925,0.004583798376087825,3,-0.00024474622999049985,0.0023831671192834,-0.00464600874359935,0.004401262513608849,560
25.0,1.0,monthly,cadence=monthly,0.0015453351542742,孤峰,孤峰,,7,-0.0167240894005705,0.0182694245548447,3,-0.009401859191598324,0.010947194345872524,-0.024046319609542677,0.014644460417944353,132
25.0,0.75,monthly,cadence=monthly,0.0001584503565021,普通,普通,,11,-0.013262551642692758,0.013421001999194857,5,-0.007918516900208767,0.008076967256710867,-0.01860658638517675,0.010688069484967982,560
16.0,0.5,quarterly,cadence=quarterly,-0.0003644938764222,普通,普通,,7,-0.002445377486794925,0.002080883610372725,3,-0.00464600874359935,0.00428151486717715,-0.00024474622999049985,-0.004401262513608849,188
25.0,0.5,monthly,cadence=monthly,-0.0018525195393768,普通,普通,,7,-0.009687912353630012,0.007835392814253212,3,-0.006339873505961325,0.0044873539665845254,-0.0130359512012987,0.006696077695337375,560
16.0,0.75,quarterly,cadence=quarterly,-0.0025039226059477,普通,普通,,11,-0.003254907620267983,0.0007509850143202828,5,-0.0068904487562399,0.0043865261502922005,0.00038063351570393356,-0.007271082271943834,188
18.0,0.5,monthly,cadence=monthly,-0.004229260162389,普通,普通,,11,-0.004072082646471066,-0.0001571775159179339,5,-0.002438175993357,-0.0017910841690320003,-0.0057059892995851335,0.0032678133062281336,560
20.0,0.5,quarterly,cadence=quarterly,-0.0045181100069779,普通,孤峰,是,11,-0.008804081305396316,0.004285971298418416,5,-0.0097679678391791,0.0052498578322012004,-0.007840194771613533,-0.0019277730675655667,188
18.0,0.5,quarterly,cadence=quarterly,-0.0049495363498555,普通,普通,,11,-0.004072082646471066,-0.0008774537033844334,5,-0.0057059892995851335,0.0007564529497296338,-0.002438175993357,-0.0032678133062281336,188
16.0,1.0,quarterly,cadence=quarterly,-0.0053793513352562,普通,普通,,7,-0.00395675274298025,-0.0014225985922759494,3,-0.009007165577790426,0.0036278142425342262,0.0010936600918299254,-0.010100825669620351,101
20.0,0.5,monthly,cadence=monthly,-0.0053826910071048,普通,普通,,11,-0.008804081305396316,0.0034213902982915163,5,-0.007840194771613533,0.002457503764508734,-0.0097679678391791,0.0019277730675655667,560
18.0,0.75,monthly,cadence=monthly,-0.0054964125861416,普通,普通,,17,-0.005476372839018111,-2.0039747123488418e-05,8,-0.0025610486896410333,-0.0029353638965005664,-0.00839169698839519,0.005830648298754156,560
18.0,1.0,monthly,cadence=monthly,-0.0072867309084543,普通,普通,,11,-0.006772420049072458,-0.0005143108593818413,5,-0.0025959846544280664,-0.004690746254026233,-0.01094885544371685,0.008352870789288784,211
22.0,0.5,quarterly,cadence=quarterly,-0.0077134451323952,普通,普通,,11,-0.008900439224361125,0.0011869940919659247,5,-0.0112992842713847,0.003585839138989499,-0.00650159417733755,-0.004797690094047149,188
25.0,0.5,quarterly,cadence=quarterly,-0.0077407947404946,普通,普通,,7,-0.009687912353630012,0.0019471176131354122,3,-0.0130359512012987,0.0052951564608041,-0.006339873505961325,-0.006696077695337375,188
22.0,0.5,monthly,cadence=monthly,-0.0080511450954825,普通,普通,,11,-0.008900439224361125,0.0008492941288786252,5,-0.00650159417733755,-0.0015495509181449492,-0.0112992842713847,0.004797690094047149,560
20.0,0.75,monthly,cadence=monthly,-0.0082673800330752,普通,普通,,17,-0.012015883548918823,0.0037485035158436233,8,-0.009967556703403322,0.0017001766703281223,-0.014064210394434321,0.0040966536910309985,560
