threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.9,0.5,monthly,-0.0065320229091392346,560,普通,3,3,-0.0054469825483491885,-0.00508530242808584,-0.001085040360790046,,False,cadence=monthly,1,-0.016473599646350034,0.011026617098000846
0.9,0.5,quarterly,-0.011242066261889505,188,普通,3,3,-0.016473599646350034,-0.018217444107836878,0.005231533384460529,,False,cadence=quarterly,1,-0.0054469825483491885,-0.011026617098000846
0.9,0.75,monthly,-0.007735176844246849,560,普通,5,5,-0.005831284635974376,-0.005450506194319882,-0.001903892208272473,,False,cadence=monthly,1,-0.022930782085971102,0.017099497449996726
0.9,0.75,quarterly,-0.0248953001620269,188,普通,5,5,-0.022930782085971102,-0.022537878470759942,-0.001964518076055799,,False,cadence=quarterly,1,-0.005831284635974376,-0.017099497449996726
0.9,1.0,monthly,-0.00950670387335495,246,普通,3,3,-0.006117301854369317,-0.004987501181374106,-0.003389402018985632,,False,cadence=monthly,1,-0.029267962910474787,0.02315066105610547
0.9,1.0,quarterly,-0.03921358833612665,94,普通,3,3,-0.029267962910474787,-0.0259527544352575,-0.00994562542565186,,False,cadence=quarterly,1,-0.006117301854369317,-0.02315066105610547
0.95,0.5,monthly,-0.003986477489229756,560,普通,5,5,-0.005088104810264375,-0.005308430274471298,0.001101627321034619,,False,cadence=monthly,1,-0.012994595173237089,0.007906490362972713
0.95,0.5,quarterly,-0.009270774612037957,188,普通,5,5,-0.012994595173237089,-0.013739359285476916,0.0037238205611991315,,False,cadence=quarterly,1,-0.005088104810264375,-0.007906490362972713
0.95,0.75,monthly,-0.003534252950780914,560,普通,8,8,-0.005286859184816479,-0.005505934964070924,0.0017526062340355647,,True,cadence=monthly,1,-0.017659899134277,0.01237303994946052
0.95,0.75,quarterly,-0.020486257549445774,188,普通,8,8,-0.017659899134277,-0.017306604332380904,-0.0028263584151687754,,False,cadence=quarterly,1,-0.005286859184816479,-0.01237303994946052
0.95,1.0,monthly,-0.0036930737490945553,192,普通,5,5,-0.005384672734188449,-0.005722992531207227,0.0016915989850938935,,False,cadence=monthly,1,-0.022207298411267302,0.016822625677078852
0.95,1.0,quarterly,-0.032476705594299826,68,普通,5,5,-0.022207298411267302,-0.020153416974660797,-0.010269407183032524,,False,cadence=quarterly,1,-0.005384672734188449,-0.016822625677078852
