日期,新來源(Cboe)
2026-07-20,20.4
2026-07-21,19.59
2026-07-22,19.54
2026-07-23,20.6
2026-07-24,20.51
2026-07-27,20.2
2026-07-28,19.86
2026-07-29,21.5
2026-07-30,19.5
2026-07-31,19.02
2026-08-03,18.93
2026-08-04,19.34
2026-08-05,18.95
2026-08-06,18.69
2026-08-07,18.72
2026-08-10,18.98
2026-08-11,18.91
2026-08-12,18.53
2026-08-13,18.61
2026-08-14,18.46
2026-08-17,19.04
2026-08-18,19.27
2026-08-19,18.57
2026-08-20,19.06
2026-08-21,18.5
2026-08-24,18.56
2026-08-25,18.21
2026-08-26,17.99
2026-08-27,17.56
