日期,舊來源(yfinance),新來源(Cboe),絕對差,相對差
2015-01-02,19.459999084472656,19.46,9.155273446026513e-07,4.7046628349184275e-08
2015-01-05,20.790000915527344,20.79,9.155273446026513e-07,4.4036907373047543e-08
2015-01-06,21.420000076293945,21.42,7.629394360719743e-08,3.5618087458194674e-09
2015-01-07,20.079999923706055,20.08,7.629394360719743e-08,3.799499198061564e-09
2015-01-08,18.65999984741211,18.66,1.5258789076710855e-07,8.177271812157621e-09
2015-01-09,19.31999969482422,19.32,3.051757815342171e-07,1.5795848155006595e-08
2015-01-12,20.479999542236328,20.48,4.5776367230132564e-07,2.235174231118854e-08
2015-01-13,21.270000457763672,21.27,4.5776367230132564e-07,2.1521563819912344e-08
2015-01-14,20.93000030517578,20.93,3.051757815342171e-07,1.458078246939873e-08
2015-01-15,22.110000610351562,22.11,6.103515630684342e-07,2.760522597103308e-08
2015-01-16,21.149999618530273,21.15,3.8146972514141453e-07,1.8036393949019046e-08
2015-01-20,20.8700008392334,20.87,8.392333974427402e-07,4.021242758481686e-08
2015-01-21,20.040000915527344,20.04,9.155273446026513e-07,4.5684995148542365e-08
2015-01-22,18.600000381469727,18.6,3.8146972514141453e-07,2.050912458697873e-08
2015-01-23,19.0,19.0,0.0,0.0
2015-01-26,18.030000686645508,18.03,6.866455066756316e-07,3.808349864258283e-08
2015-01-27,19.110000610351562,19.11,6.103515630684342e-07,3.1938856283333506e-08
2015-01-28,21.440000534057617,21.44,5.340576159085231e-07,2.4909403106598257e-08
2015-01-29,20.0,20.0,0.0,0.0
2015-01-30,21.81999969482422,21.82,3.051757815342171e-07,1.3986058011110141e-08
2015-02-02,20.90999984741211,20.91,1.5258789076710855e-07,7.29736450887604e-09
2015-02-03,19.489999771118164,19.49,2.2888183437430598e-07,1.1743552440338216e-08
2015-02-04,20.43000030517578,20.43,3.051757815342171e-07,1.4937629807910635e-08
2015-02-05,19.270000457763672,19.27,4.5776367230132564e-07,2.3755249684848746e-08
2015-02-06,19.8799991607666,19.88,8.392333974427402e-07,4.22149614120194e-08
2015-02-09,20.670000076293945,20.67,7.629394360719743e-08,3.6910470888046873e-09
2015-02-10,19.729999542236328,19.73,4.5776367230132564e-07,2.3201403087789413e-08
2015-02-11,19.709999084472656,19.71,9.155273446026513e-07,4.6449892802069925e-08
2015-02-12,18.34000015258789,18.34,1.5258789076710855e-07,8.319950354284889e-09
2015-02-13,18.1299991607666,18.13,8.392333974427402e-07,4.628976482573948e-08
2015-02-17,18.3799991607666,18.38,8.392333974427402e-07,4.56601434038225e-08
2015-02-18,18.65999984741211,18.66,1.5258789076710855e-07,8.177271812157621e-09
2015-02-19,18.010000228881836,18.01,2.2888183437430598e-07,1.270859697198995e-08
2015-02-20,17.290000915527344,17.29,9.155273446026513e-07,5.295126062026167e-08
2015-02-23,17.540000915527344,17.54,9.155273446026513e-07,5.2196539157086227e-08
2015-02-24,16.709999084472656,16.71,9.155273446026513e-07,5.478919178717262e-08
2015-02-25,16.8700008392334,16.87,8.392333974427402e-07,4.974708688164335e-08
2015-02-26,16.850000381469727,16.85,3.8146972514141453e-07,2.263915231485242e-08
2015-02-27,16.889999389648438,16.89,6.103515630684342e-07,3.613686116782853e-08
2015-03-02,16.459999084472656,16.46,9.155273446026513e-07,5.5621348452340016e-08
2015-03-03,16.780000686645508,16.78,6.866455066756316e-07,4.092046952191746e-08
2015-03-04,16.90999984741211,16.91,1.5258789076710855e-07,9.023529990774095e-09
2015-03-05,16.639999389648438,16.64,6.103515630684342e-07,3.667978277980751e-08
2015-03-06,17.510000228881836,17.51,2.2888183437430598e-07,1.3071492369073604e-08
2015-03-09,17.309999465942383,17.31,5.340576159085231e-07,3.085254953122832e-08
2015-03-10,18.260000228881836,18.26,2.2888183437430598e-07,1.2534601944433914e-08
2015-03-11,18.530000686645508,18.53,6.866455066756316e-07,3.705588134006353e-08
2015-03-12,17.389999389648438,17.39,6.103515630684342e-07,3.509784844683501e-08
2015-03-13,17.889999389648438,17.89,6.103515630684342e-07,3.411691357695616e-08
2015-03-16,17.399999618530273,17.4,3.8146972514141453e-07,2.192354790256232e-08
2015-03-17,17.479999542236328,17.48,4.5776367230132564e-07,2.6187853792286828e-08
2015-03-18,16.43000030517578,16.43,3.051757815342171e-07,1.8574301635166775e-08
2015-03-19,16.969999313354492,16.97,6.866455066756316e-07,4.046231788208017e-08
2015-03-20,16.709999084472656,16.71,9.155273446026513e-07,5.478919178717262e-08
2015-03-23,16.530000686645508,16.53,6.866455066756316e-07,4.153935137040669e-08
