symbol,report_date,eps,prev_year_eps,yoy_growth
AAPL,1993-12-31,0.003,,
AAPL,1994-03-31,0.0104,,
AAPL,1994-06-30,0.0104,,
AAPL,1994-09-30,0.0087,,
AAPL,1994-12-31,0.0138,0.003,3.6
AAPL,1995-03-31,0.0054,0.0104,-0.4808
AAPL,1995-06-30,0.0075,0.0104,-0.2788
AAPL,1995-09-30,0.0044,0.0087,-0.4943
AAPL,1995-12-31,-0.005,0.0138,-1.3623
AAPL,1996-03-31,-0.0534,0.0054,-10.8889
AAPL,1996-06-30,-0.0023,0.0075,-1.3067
AAPL,1996-09-30,0.0018,0.0044,-0.5909
AAPL,1996-12-31,-0.0086,-0.005,-0.72
AAPL,1997-03-31,-0.0504,-0.0534,0.0562
AAPL,1997-06-30,-0.0039,-0.0023,-0.6957
AAPL,1997-09-30,-0.0114,0.0018,-7.3333
AAPL,1997-12-31,0.003,-0.0086,1.3488
AAPL,1998-03-31,0.0034,-0.0504,1.0675
AAPL,1998-06-30,0.0058,-0.0039,2.4872
AAPL,1998-09-30,0.0061,-0.0114,1.5351
AAPL,1998-12-31,0.0085,0.003,1.8333
AAPL,1999-03-31,0.0075,0.0034,1.2059
AAPL,1999-06-30,0.0107,0.0058,0.8448
AAPL,1999-09-30,0.0056,0.0061,-0.082
AAPL,1999-12-31,0.0092,0.0085,0.0824
AAPL,2000-03-31,0.0114,0.0075,0.52
AAPL,2000-06-30,0.0098,0.0107,-0.0841
AAPL,2000-09-30,0.0084,0.0056,0.5
AAPL,2000-12-31,-0.0104,0.0092,-2.1304
AAPL,2001-03-31,0.0021,0.0114,-0.8158
AAPL,2001-06-30,0.003,0.0098,-0.6939
AAPL,2001-09-30,0.0034,0.0084,-0.5952
AAPL,2001-12-31,0.002,-0.0104,1.1923
AAPL,2002-03-31,0.002,0.0021,-0.0476
AAPL,2002-06-30,0.0016,0.003,-0.4667
AAPL,2002-09-30,-0.0022,0.0034,-1.6471
AAPL,2002-12-31,-0.0004,0.002,-1.2
AAPL,2003-03-31,0.0007,0.002,-0.65
AAPL,2003-06-30,0.0009,0.0016,-0.4375
AAPL,2003-09-30,0.002,-0.0022,1.9091
AAPL,2003-12-31,0.003,-0.0004,8.5
AAPL,2004-03-31,0.0021,0.0007,2.0
AAPL,2004-06-30,0.0028,0.0009,2.1111
AAPL,2004-09-30,0.0046,0.002,1.3
AAPL,2004-12-31,0.0125,0.003,3.1667
AAPL,2005-03-31,0.0121,0.0021,4.7619
AAPL,2005-06-30,0.0132,0.0028,3.7143
AAPL,2005-09-30,0.0175,0.0046,2.8043
AAPL,2005-12-31,0.0232,0.0125,0.856
AAPL,2006-03-31,0.0168,0.0121,0.3884
AAPL,2006-06-30,0.0192,0.0132,0.4545
AAPL,2006-09-30,0.0221,0.0175,0.2629
AAPL,2006-12-31,0.0407,0.0232,0.7543
AAPL,2007-03-31,0.0311,0.0168,0.8512
AAPL,2007-06-30,0.0328,0.0192,0.7083
AAPL,2007-09-30,0.0361,0.0221,0.6335
AAPL,2007-12-31,0.0629,0.0407,0.5455
AAPL,2008-03-31,0.0414,0.0311,0.3312
AAPL,2008-06-30,0.0424,0.0328,0.2927
AAPL,2008-09-30,0.045,0.0361,0.2465
AAPL,2008-12-31,0.0636,0.0629,0.0111
AAPL,2009-03-31,0.0475,0.0414,0.1473
AAPL,2009-06-30,0.0483,0.0424,0.1392
AAPL,2009-09-30,0.065,0.045,0.4444
AAPL,2009-12-31,0.1311,0.0636,1.0613
AAPL,2010-03-31,0.1189,0.0475,1.5032
AAPL,2010-06-30,0.1253,0.0483,1.5942
AAPL,2010-09-30,0.1657,0.065,1.5492
AAPL,2010-12-31,0.2296,0.1311,0.7513
AAPL,2011-03-31,0.2286,0.1189,0.9226
AAPL,2011-06-30,0.2783,0.1253,1.2211
AAPL,2011-09-30,0.2518,0.1657,0.5196
AAPL,2011-12-31,0.4954,0.2296,1.1577
AAPL,2012-03-31,0.4393,0.2286,0.9217
AAPL,2012-06-30,0.3328,0.2783,0.1958
AAPL,2012-09-30,0.3096,0.2518,0.2295
AAPL,2012-12-31,0.4932,0.4954,-0.0044
AAPL,2013-03-31,0.3604,0.4393,-0.1796
AAPL,2013-06-30,0.2666,0.3328,-0.1989
AAPL,2013-09-30,0.295,0.3096,-0.0472
AAPL,2013-12-31,0.5179,0.4932,0.0501
AAPL,2014-03-31,0.415,0.3604,0.1515
AAPL,2014-06-30,0.32,0.2666,0.2003
AAPL,2014-09-30,0.355,0.295,0.2034
AAPL,2014-12-31,0.765,0.5179,0.4771
AAPL,2015-03-31,0.5825,0.415,0.4036
AAPL,2015-06-30,0.4625,0.32,0.4453
AAPL,2015-09-30,0.49,0.355,0.3803
AAPL,2015-12-31,0.82,0.765,0.0719
AAPL,2016-03-31,0.475,0.5825,-0.1845
AAPL,2016-06-30,0.355,0.4625,-0.2324
AAPL,2016-09-30,0.4175,0.49,-0.148
AAPL,2016-12-31,0.84,0.82,0.0244
AAPL,2017-03-31,0.525,0.475,0.1053
AAPL,2017-06-30,0.4175,0.355,0.1761
AAPL,2017-09-30,0.5175,0.4175,0.2395
AAPL,2017-12-31,0.9725,0.84,0.1577
AAPL,2018-03-31,0.6825,0.525,0.3
AAPL,2018-06-30,0.585,0.4175,0.4012
AAPL,2018-09-30,0.7275,0.5175,0.4058
AAPL,2018-12-31,1.0457,0.9725,0.0753
AAPL,2019-03-31,0.6149,0.6825,-0.099
AAPL,2019-06-30,0.5457,0.585,-0.0672
AAPL,2019-09-30,0.7569,0.7275,0.0404
AAPL,2019-12-31,1.2479,1.0457,0.1934
AAPL,2020-03-31,0.6385,0.6149,0.0384
AAPL,2020-06-30,0.646,0.5457,0.1838
AAPL,2020-09-30,0.7344,0.7569,-0.0297
AAPL,2020-12-31,1.6802,1.2479,0.3464
AAPL,2021-03-31,1.3958,0.6385,1.1861
AAPL,2021-06-30,1.2957,0.646,1.0057
AAPL,2021-09-30,1.2354,0.7344,0.6822
AAPL,2021-12-31,2.0963,1.6802,0.2476
AAPL,2022-03-31,1.5247,1.3958,0.0923
AAPL,2022-06-30,1.1955,1.2957,-0.0773
AAPL,2022-09-30,1.2855,1.2354,0.0406
AAPL,2022-12-31,1.8801,2.0963,-0.1031
AAPL,2023-03-31,1.5246,1.5247,-0.0001
AAPL,2023-06-30,1.2603,1.1955,0.0542
AAPL,2023-09-30,1.4647,1.2855,0.1394
AAPL,2023-12-31,2.1774,1.8801,0.1581
AAPL,2024-03-31,1.5284,1.5246,0.0025
AAPL,2024-06-30,1.3974,1.2603,0.1088
AAPL,2024-09-30,0.9668,1.4647,-0.3399
AAPL,2024-12-31,2.3979,2.1774,0.1013
AAPL,2025-03-31,1.6458,1.5284,0.0768
AAPL,2025-06-30,1.5677,1.3974,0.1219
AAPL,2025-09-30,1.8479,0.9668,0.9114
AAPL,2025-12-31,2.8424,2.3979,0.1854
AAPL,2026-03-31,2.0086,1.6458,0.2204
AAPL,2026-06-30,2.0244,1.5677,0.2913
