symbol,report_date,eps,tailing_eps,update_time
AAPL,1993-12-31,0.003,0.003,2026-05-16
AAPL,1994-03-31,0.0104,0.0134,2026-05-16
AAPL,1994-06-30,0.0104,0.0238,2026-05-16
AAPL,1994-09-30,0.0087,0.0325,2026-05-16
AAPL,1994-12-31,0.0138,0.0433,2026-05-16
AAPL,1995-03-31,0.0054,0.0383,2026-05-16
AAPL,1995-06-30,0.0075,0.0354,2026-05-16
AAPL,1995-09-30,0.0044,0.0311,2026-05-16
AAPL,1995-12-31,-0.005,0.0123,2026-05-16
AAPL,1996-03-31,-0.0534,-0.0465,2026-05-16
AAPL,1996-06-30,-0.0023,-0.0563,2026-05-16
AAPL,1996-09-30,0.0018,-0.0589,2026-05-16
AAPL,1996-12-31,-0.0086,-0.0625,2026-05-16
AAPL,1997-03-31,-0.0504,-0.0595,2026-05-16
AAPL,1997-06-30,-0.0039,-0.0611,2026-05-16
AAPL,1997-09-30,-0.0114,-0.0743,2026-05-16
AAPL,1997-12-31,0.003,-0.0627,2026-05-16
AAPL,1998-03-31,0.0034,-0.0089,2026-05-16
AAPL,1998-06-30,0.0058,0.0008,2026-05-16
AAPL,1998-09-30,0.0061,0.0183,2026-05-16
AAPL,1998-12-31,0.0085,0.0238,2026-05-16
AAPL,1999-03-31,0.0075,0.0279,2026-05-16
AAPL,1999-06-30,0.0107,0.0328,2026-05-16
AAPL,1999-09-30,0.0056,0.0323,2026-05-16
AAPL,1999-12-31,0.0092,0.033,2026-05-16
AAPL,2000-03-31,0.0114,0.0369,2026-05-16
AAPL,2000-06-30,0.0098,0.036,2026-05-16
AAPL,2000-09-30,0.0084,0.0388,2026-05-16
AAPL,2000-12-31,-0.0104,0.0192,2026-05-16
AAPL,2001-03-31,0.0021,0.0099,2026-05-16
AAPL,2001-06-30,0.003,0.0031,2026-05-16
AAPL,2001-09-30,0.0034,-0.0019,2026-05-16
AAPL,2001-12-31,0.002,0.0105,2026-05-16
AAPL,2002-03-31,0.002,0.0104,2026-05-16
AAPL,2002-06-30,0.0016,0.009,2026-05-16
AAPL,2002-09-30,-0.0022,0.0034,2026-05-16
