symbol,report_date,eps,prev_year_eps,yoy_growth
AXTI,1998-03-31,0.1,,
AXTI,1998-06-30,0.1,,
AXTI,1998-09-30,0.1,,
AXTI,1998-12-31,0.11,,
AXTI,1999-03-31,0.12,0.1,0.2
AXTI,1999-06-30,-0.001,0.1,-1.01
AXTI,1999-09-30,0.14,0.1,0.4
AXTI,1999-12-31,-0.18,0.11,-2.6364
AXTI,2000-03-31,0.1,0.12,-0.1667
AXTI,2000-06-30,0.12,-0.001,121.0
AXTI,2000-09-30,0.14,0.14,0.0
AXTI,2000-12-31,0.8173,-0.18,5.5406
AXTI,2001-03-31,0.22,0.1,1.2
AXTI,2001-06-30,0.23,0.12,0.9167
AXTI,2001-09-30,-0.06,0.14,-1.4286
AXTI,2001-12-31,-0.62,0.8173,-1.7586
AXTI,2002-03-31,-0.16,0.22,-1.7273
AXTI,2002-06-30,-1.4,0.23,-7.087
AXTI,2002-09-30,-1.28,-0.06,-20.3333
AXTI,2002-12-31,-0.79,-0.62,-0.2742
AXTI,2003-03-31,-0.19,-0.16,-0.1875
AXTI,2003-06-30,-0.17,-1.4,0.8786
AXTI,2003-09-30,-0.11,-1.28,0.9141
AXTI,2003-12-31,-0.09,-0.79,0.8861
AXTI,2004-03-31,-0.11,-0.19,0.4211
AXTI,2004-06-30,-0.17,-0.17,0.0
AXTI,2004-09-30,-0.22,-0.11,-1.0
AXTI,2004-12-31,-0.12,-0.09,-0.3333
AXTI,2005-03-31,-0.2,-0.11,-0.8182
AXTI,2005-06-30,-0.14,-0.17,0.1765
AXTI,2005-09-30,-0.1,-0.22,0.5455
AXTI,2005-12-31,-0.11,-0.12,0.0833
AXTI,2006-03-31,-0.1,-0.2,0.5
AXTI,2006-06-30,-0.04,-0.14,0.7143
AXTI,2006-09-30,0.02,-0.1,1.2
AXTI,2006-12-31,0.13,-0.11,2.1818
AXTI,2007-03-31,0.04,-0.1,1.4
AXTI,2007-06-30,0.04,-0.04,2.0
AXTI,2007-09-30,0.03,0.02,0.5
AXTI,2007-12-31,0.06,0.13,-0.5385
AXTI,2008-03-31,0.06,0.04,0.5
AXTI,2008-06-30,0.02,0.04,-0.5
AXTI,2008-09-30,-0.03,0.03,-2.0
AXTI,2008-12-31,-0.08,0.06,-2.3333
AXTI,2009-03-31,-0.18,0.06,-4.0
AXTI,2009-06-30,-0.04,0.02,-3.0
AXTI,2009-09-30,0.07,-0.03,3.3333
AXTI,2009-12-31,0.09,-0.08,2.125
AXTI,2010-03-31,0.08,-0.18,1.4444
AXTI,2010-06-30,0.17,-0.04,5.25
AXTI,2010-09-30,0.17,0.07,1.4286
AXTI,2010-12-31,0.15,0.09,0.6667
AXTI,2011-03-31,0.13,0.08,0.625
AXTI,2011-06-30,0.21,0.17,0.2353
AXTI,2011-09-30,0.2,0.17,0.1765
AXTI,2011-12-31,0.08,0.15,-0.4667
AXTI,2012-03-31,0.05,0.13,-0.6154
AXTI,2012-06-30,0.04,0.21,-0.8095
AXTI,2012-09-30,0.03,0.2,-0.85
AXTI,2012-12-31,-0.02,0.08,-1.25
AXTI,2013-03-31,-0.08,0.05,-2.6
AXTI,2013-06-30,-0.06,0.04,-2.5
AXTI,2013-09-30,-0.07,0.03,-3.3333
AXTI,2013-12-31,-0.04,-0.02,-1.0
AXTI,2014-03-31,-0.06,-0.08,0.25
AXTI,2014-06-30,0.01,-0.06,1.1667
AXTI,2014-09-30,0.02,-0.07,1.2857
AXTI,2014-12-31,-0.01,-0.04,0.75
AXTI,2015-03-31,-0.03,-0.06,0.5
AXTI,2015-06-30,-0.0015,0.01,-1.15
AXTI,2015-09-30,-0.0001,0.02,-1.005
AXTI,2015-12-31,-0.04,-0.01,-3.0
AXTI,2016-03-31,-0.0001,-0.03,0.9967
AXTI,2016-06-30,0.03,-0.0015,21.0
AXTI,2016-09-30,0.07,-0.0001,701.0
AXTI,2016-12-31,0.06,-0.04,2.5
AXTI,2017-03-31,0.02,-0.0001,201.0
AXTI,2017-06-30,0.05,0.03,0.6667
AXTI,2017-09-30,0.11,0.07,0.5714
AXTI,2017-12-31,0.08,0.06,0.3333
AXTI,2018-03-31,0.07,0.02,2.5
AXTI,2018-06-30,0.1,0.05,1.0
AXTI,2018-09-30,0.0966,0.11,-0.1218
AXTI,2018-12-31,-0.0282,0.08,-1.3525
AXTI,2019-03-31,-0.0292,0.07,-1.4171
AXTI,2019-06-30,0.0351,0.1,-0.649
AXTI,2019-09-30,-0.0239,0.0966,-1.2474
AXTI,2019-12-31,-0.0528,-0.0282,-0.8723
AXTI,2020-03-31,-0.0056,-0.0292,0.8082
AXTI,2020-06-30,0.0078,0.0351,-0.7778
AXTI,2020-09-30,0.0231,-0.0239,1.9665
AXTI,2020-12-31,0.048,-0.0528,1.9091
AXTI,2021-03-31,0.0791,-0.0056,15.125
AXTI,2021-06-30,0.1016,0.0078,12.0256
AXTI,2021-09-30,0.088,0.0231,2.8095
AXTI,2021-12-31,0.0683,0.048,0.4229
AXTI,2022-03-31,0.0732,0.0791,-0.0746
AXTI,2022-06-30,0.1294,0.1016,0.2736
AXTI,2022-09-30,0.133,0.088,0.5114
AXTI,2022-12-31,0.0304,0.0683,-0.5549
AXTI,2023-03-31,-0.0798,0.0732,-2.0902
AXTI,2023-06-30,-0.1205,0.1294,-1.9312
AXTI,2023-09-30,-0.1376,0.133,-2.0346
AXTI,2023-12-31,-0.0856,0.0304,-3.8158
AXTI,2024-03-31,-0.0495,-0.0798,0.3797
AXTI,2024-06-30,-0.0362,-0.1205,0.6996
AXTI,2024-09-30,-0.0691,-0.1376,0.4978
AXTI,2024-12-31,-0.1183,-0.0856,-0.382
AXTI,2025-03-31,-0.203,-0.0495,-3.101
AXTI,2025-06-30,-0.1613,-0.0362,-3.4558
AXTI,2025-09-30,-0.0445,-0.0691,0.356
AXTI,2025-12-31,-0.0804,-0.1183,0.3204
AXTI,2026-03-31,-0.0312,-0.203,0.8463
AXTI,2026-06-30,0.1753,-0.1613,2.0868
