symbol,report_date,time,name,fiscal_quarter_ending
CROX,2023-02-16,time-not-supplied,"Crocs, Inc.",2022-12-31
CROX,2023-04-27,time-not-supplied,"Crocs, Inc.",2023-03-31
CROX,2023-07-27,time-not-supplied,"Crocs, Inc.",2023-06-30
CROX,2023-11-02,time-not-supplied,"Crocs, Inc.",2023-09-30
CROX,2024-02-15,time-not-supplied,"Crocs, Inc.",2023-12-31
CROX,2024-05-07,time-not-supplied,"Crocs, Inc.",2024-03-31
CROX,2024-08-01,time-not-supplied,"Crocs, Inc.",2024-06-30
CROX,2024-10-29,time-not-supplied,"Crocs, Inc.",2024-09-30
CROX,2025-02-13,time-not-supplied,"Crocs, Inc.",2024-12-31
CROX,2025-05-08,time-not-supplied,"Crocs, Inc.",2025-03-31
CROX,2025-08-07,time-not-supplied,"Crocs, Inc.",2025-06-30
CROX,2025-10-30,time-not-supplied,"Crocs, Inc.",2025-09-30
CROX,2026-02-12,time-pre-market,"Crocs, Inc.",2025-12-31
CROX,2026-04-30,time-not-supplied,"Crocs, Inc.",2026-03-31
CROX,2026-07-30,time-pre-market,"Crocs, Inc.",2026-06-30
