symbol,report_date,eps,tailing_eps,update_time
CROX,2004-09-30,-0.0051,-0.0051,2026-05-16
CROX,2004-12-31,0.0,-0.0051,2026-05-16
CROX,2005-03-31,0.03,0.0249,2026-05-16
CROX,2005-06-30,0.04,0.0649,2026-05-16
CROX,2005-09-30,0.11,0.18,2026-05-16
CROX,2005-12-31,0.06,0.24,2026-05-16
CROX,2006-03-31,0.085,0.295,2026-05-16
CROX,2006-06-30,0.195,0.45,2026-05-16
CROX,2006-09-30,0.265,0.605,2026-05-16
CROX,2006-12-31,0.255,0.8,2026-05-16
CROX,2007-03-31,0.305,1.02,2026-05-16
CROX,2007-06-30,0.58,1.405,2026-05-16
CROX,2007-09-30,0.66,1.8,2026-05-16
CROX,2007-12-31,0.45,1.995,2026-05-16
CROX,2008-03-31,-0.05,1.64,2026-05-16
CROX,2008-06-30,0.03,1.09,2026-05-16
CROX,2008-09-30,-1.79,-1.36,2026-05-16
CROX,2008-12-31,-0.4,-2.21,2026-05-16
CROX,2009-03-31,-0.27,-2.43,2026-05-16
CROX,2009-06-30,-0.36,-2.82,2026-05-16
CROX,2009-09-30,0.25,-0.78,2026-05-16
CROX,2009-12-31,-0.13,-0.51,2026-05-16
CROX,2010-03-31,0.07,-0.17,2026-05-16
CROX,2010-06-30,0.37,0.56,2026-05-16
CROX,2010-09-30,0.28,0.59,2026-05-16
CROX,2010-12-31,0.05,0.77,2026-05-16
CROX,2011-03-31,0.24,0.94,2026-05-16
CROX,2011-06-30,0.61,1.18,2026-05-16
CROX,2011-09-30,0.33,1.23,2026-05-16
CROX,2011-12-31,0.06,1.24,2026-05-16
CROX,2012-03-31,0.31,1.31,2026-05-16
CROX,2012-06-30,0.68,1.38,2026-05-16
CROX,2012-09-30,0.49,1.54,2026-05-16
CROX,2012-12-31,-0.04,1.44,2026-05-16
CROX,2013-03-31,0.33,1.46,2026-05-16
CROX,2013-06-30,0.4,1.18,2026-05-16
CROX,2013-09-30,0.15,0.84,2026-05-16
CROX,2013-12-31,-0.76,0.12,2026-05-16
CROX,2014-03-31,0.06,-0.15,2026-05-16
CROX,2014-06-30,0.19,-0.36,2026-05-16
CROX,2014-09-30,0.12,-0.39,2026-05-16
CROX,2014-12-31,-0.7,-0.33,2026-05-16
CROX,2015-03-31,-0.08,-0.47,2026-05-16
CROX,2015-06-30,0.11,-0.55,2026-05-16
CROX,2015-09-30,-0.37,-1.04,2026-05-16
CROX,2015-12-31,-1.01,-1.35,2026-05-16
CROX,2016-03-31,0.07,-1.2,2026-05-16
CROX,2016-06-30,0.13,-1.18,2026-05-16
CROX,2016-09-30,-0.07,-0.88,2026-05-16
CROX,2016-12-31,-0.6,-0.47,2026-05-16
CROX,2017-03-31,0.08,-0.46,2026-05-16
CROX,2017-06-30,0.2,-0.39,2026-05-16
CROX,2017-09-30,-0.03,-0.35,2026-05-16
CROX,2017-12-31,-0.41,-0.16,2026-05-16
CROX,2018-03-31,0.15,-0.09,2026-05-16
CROX,2018-06-30,0.35,0.06,2026-05-16
CROX,2018-09-30,0.0743,0.1643,2026-05-16
CROX,2018-12-31,-1.7198,-1.1455,2026-05-16
CROX,2019-03-31,0.33,-0.9655,2026-05-16
CROX,2019-06-30,0.5451,-0.7704,2026-05-16
CROX,2019-09-30,0.5084,-0.3363,2026-05-16
CROX,2019-12-31,0.2851,1.6686,2026-05-16
CROX,2020-03-31,0.1602,1.4988,2026-05-16
CROX,2020-06-30,0.8312,1.7849,2026-05-16
CROX,2020-09-30,0.905,2.1815,2026-05-16
CROX,2020-12-31,2.6939,4.5903,2026-05-16
CROX,2021-03-31,1.472,5.9021,2026-05-16
CROX,2021-06-30,4.9343,10.0052,2026-05-16
CROX,2021-09-30,2.4239,11.5241,2026-05-16
CROX,2021-12-31,2.575,11.4052,2026-05-16
CROX,2022-03-31,1.1948,11.128,2026-05-16
CROX,2022-06-30,2.5759,8.7696,2026-05-16
CROX,2022-09-30,2.7154,9.0611,2026-05-16
CROX,2022-12-31,2.2037,8.6898,2026-05-16
CROX,2023-03-31,2.3878,9.8828,2026-05-16
CROX,2023-06-30,3.393,10.6999,2026-05-16
CROX,2023-09-30,2.8731,10.8576,2026-05-16
CROX,2023-12-31,4.1587,12.8126,2026-05-16
CROX,2024-03-31,2.497,12.9218,2026-05-16
CROX,2024-06-30,3.767,13.2958,2026-05-16
CROX,2024-09-30,3.3579,13.7806,2026-05-16
CROX,2024-12-31,6.3575,15.9794,2026-05-16
CROX,2025-03-31,2.8336,16.316,2026-05-16
CROX,2025-06-30,-8.825,3.724,2026-05-16
CROX,2025-09-30,2.7008,3.0669,2026-05-16
CROX,2025-12-31,2.0327,-1.2579,2026-05-16
CROX,2026-03-31,2.7128,-1.3787,2026-05-16
CROX,2026-06-30,4.1285,11.5748,2026-08-01
