top_n,interval,smooth,total_return_vbt,total_return_pb,diff_pct,sec
1,1,1,1.5586210288939315,1.57770258,0.7457748095784722,12.839176199981011
11,2,1,6.362502841692352,6.16046352,-2.7441662982898216,14.010741199948823
21,3,1,8.718577544089971,8.771966130000001,0.5493456801453038,13.829195800004529
31,4,1,4.348843402260744,4.31710102,-0.5934438508206854,14.020528099965304
1,1,3,14.36555791977028,14.0754943,-1.887751953328461,13.327893299981952
11,2,3,10.736785601937145,10.40645228,-2.8145127051023557,13.505355799919926
21,3,3,6.751918317957211,6.71861529,-0.42961015056189195,13.465907400008293
31,4,3,4.619517304229798,4.55970674,-1.0643363298263788,14.003717900021002
1,1,5,26.545664486682487,25.39354931,-4.18256447303894,12.994178000022655
11,2,5,11.87923322953026,11.77448106,-0.8133416614436287,13.375504299998283
21,3,5,6.2149021578932535,6.257043820000001,0.5840919417132128,13.945168700069187
31,4,5,5.08160200520843,5.00683416,-1.2294103616842562,14.153751100064255
1,1,10,14.641995992860554,14.22232527,-2.6829742384034816,13.167214500019329
11,2,10,12.393236744957395,12.47846876,0.6363810083077572,12.943960199947467
21,3,10,6.113750471943932,6.16203068,0.6786885236765178,14.220624000066891
31,4,10,5.214197487519897,5.11073175,-1.664989529664756,13.867768900003284
1,1,21,8.708391618339515,8.44885144,-2.673359177736855,12.75072520005051
11,2,21,8.27209258894115,8.20290316,-0.7462115836038262,13.454611100023612
21,3,21,6.415784677784064,6.4340996100000005,0.24697227618816672,13.332082399982028
31,4,21,4.775287364205598,4.77736788,0.036024454943954794,14.244326199986972
