lookback_months,skip_months,window_label,n_months,cagr_pct,spy_cagr_pct,excess_cagr_pp,monthly_excess_pp,paired_t,hit_rate_pct,n_switch,n_retreat_spy
1,0,1-0,319,7.549,8.166,-0.617,-0.0414,-0.318,31.98,308,24
2,0,2-0,319,7.772,8.166,-0.394,-0.0329,-0.259,32.22,282,20
3,0,3-0,319,7.992,8.166,-0.175,-0.0115,-0.087,34.11,253,17
4,0,4-0,319,7.834,8.166,-0.333,-0.0303,-0.219,33.67,240,19
5,0,5-0,319,7.476,8.166,-0.69,-0.0554,-0.398,33.55,226,17
6,0,6-0,319,7.731,8.166,-0.436,-0.0384,-0.288,32.78,214,16
7,0,7-0,319,9.269,8.166,1.103,0.0784,0.602,34.21,202,16
8,0,8-0,319,9.418,8.166,1.251,0.0958,0.708,35.1,201,17
9,0,9-0,319,8.921,8.166,0.755,0.0562,0.44,33.44,178,19
10,0,10-0,319,8.528,8.166,0.362,0.0222,0.187,33.11,186,16
11,0,11-0,319,10.127,8.166,1.96,0.1468,1.173,35.64,178,16
12,0,12-0,319,8.464,8.166,0.298,0.0214,0.167,34.11,185,19
2,1,2-1,319,5.526,8.166,-2.64,-0.2048,-1.627,32.54,308,24
3,1,3-1,319,5.831,8.166,-2.335,-0.1902,-1.433,33.22,282,20
4,1,4-1,319,6.692,8.166,-1.474,-0.1208,-0.909,33.0,252,17
5,1,5-1,319,9.408,8.166,1.241,0.0934,0.716,34.11,240,19
6,1,6-1,319,8.74,8.166,0.574,0.0391,0.307,33.55,226,17
7,1,7-1,319,9.054,8.166,0.887,0.0626,0.488,34.32,213,16
8,1,8-1,319,9.216,8.166,1.049,0.0729,0.551,34.1,202,16
9,1,9-1,319,9.146,8.166,0.98,0.0731,0.586,34.55,201,17
10,1,10-1,319,7.695,8.166,-0.472,-0.0396,-0.315,33.44,179,19
11,1,11-1,319,8.91,8.166,0.744,0.0607,0.49,34.76,185,16
12,1,12-1,319,8.918,8.166,0.752,0.0594,0.486,33.66,178,16
