granularity,lookback,skip,window_label,lookback_months_equiv,n_periods,cagr_pct,excess_cagr_pp,paired_t,vbt_cagr_pct,vbt_excess_cagr_pp,vbt_minus_hand_pp
month,1,0,m1-0,1.0,318,8.053,-0.381,-0.19,8.052,-0.383,-0.001
month,2,0,m2-0,2.0,318,8.14,-0.294,-0.202,8.135,-0.299,-0.005
month,3,0,m3-0,3.0,318,8.346,-0.089,-0.04,8.34,-0.094,-0.006
month,4,0,m4-0,4.0,318,8.187,-0.248,-0.174,8.182,-0.253,-0.005
month,5,0,m5-0,5.0,318,7.826,-0.609,-0.354,7.821,-0.614,-0.005
month,6,0,m6-0,6.0,318,8.082,-0.353,-0.243,8.078,-0.357,-0.004
month,7,0,m7-0,7.0,318,9.632,1.197,0.65,9.626,1.192,-0.006
month,8,0,m8-0,8.0,318,9.781,1.346,0.755,9.775,1.341,-0.006
month,9,0,m9-0,9.0,318,9.38,0.945,0.545,9.374,0.94,-0.005
month,10,0,m10-0,10.0,318,8.864,0.429,0.227,8.857,0.423,-0.006
month,11,0,m11-0,11.0,318,10.472,2.038,1.212,10.465,2.03,-0.008
month,12,0,m12-0,12.0,318,8.918,0.483,0.269,8.912,0.477,-0.006
month,2,1,m2-1,2.0,318,5.708,-2.727,-1.672,5.704,-2.73,-0.004
month,3,1,m3-1,3.0,318,6.011,-2.424,-1.477,6.006,-2.428,-0.005
month,4,1,m4-1,4.0,318,7.036,-1.398,-0.864,7.03,-1.404,-0.006
month,5,1,m5-1,5.0,318,9.739,1.304,0.746,9.732,1.298,-0.006
month,6,1,m6-1,6.0,318,8.936,0.502,0.265,8.929,0.495,-0.007
month,7,1,m7-1,7.0,318,9.413,0.979,0.536,9.406,0.971,-0.008
month,8,1,m8-1,8.0,318,9.477,1.042,0.544,9.468,1.034,-0.008
month,9,1,m9-1,9.0,318,9.487,1.052,0.625,9.478,1.044,-0.009
month,10,1,m10-1,10.0,318,7.958,-0.477,-0.317,7.951,-0.483,-0.007
month,11,1,m11-1,11.0,318,9.247,0.812,0.528,9.24,0.805,-0.007
month,12,1,m12-1,12.0,318,9.188,0.754,0.484,9.182,0.747,-0.007
week,2,0,w2-0,0.48,318,8.106,-0.329,-0.13,8.102,-0.332,-0.004
week,3,0,w3-0,0.71,318,6.739,-1.695,-0.934,6.736,-1.699,-0.004
week,4,0,w4-0,0.95,318,7.594,-0.84,-0.442,7.595,-0.84,0.0
week,5,0,w5-0,1.19,318,8.342,-0.092,0.027,8.34,-0.095,-0.002
week,6,0,w6-0,1.43,318,7.068,-1.367,-0.74,7.066,-1.369,-0.002
week,7,0,w7-0,1.67,318,6.821,-1.614,-1.026,6.818,-1.617,-0.003
week,8,0,w8-0,1.9,318,8.352,-0.083,-0.083,8.347,-0.088,-0.005
week,9,0,w9-0,2.14,318,8.527,0.093,0.028,8.524,0.089,-0.004
week,10,0,w10-0,2.38,318,8.383,-0.051,-0.029,8.378,-0.057,-0.005
week,11,0,w11-0,2.62,318,7.206,-1.229,-0.69,7.201,-1.233,-0.005
week,12,0,w12-0,2.86,318,8.193,-0.241,-0.108,8.188,-0.247,-0.006
week,13,0,w13-0,3.1,318,8.441,0.006,0.047,8.435,0.0,-0.006
week,14,0,w14-0,3.33,318,8.418,-0.017,-0.041,8.413,-0.022,-0.005
week,15,0,w15-0,3.57,318,8.795,0.36,0.145,8.79,0.355,-0.005
week,16,0,w16-0,3.81,318,7.698,-0.736,-0.425,7.692,-0.742,-0.006
week,17,0,w17-0,4.05,318,8.429,-0.006,-0.007,8.423,-0.011,-0.006
week,18,0,w18-0,4.29,318,9.258,0.824,0.439,9.252,0.817,-0.006
week,19,0,w19-0,4.52,318,8.472,0.038,-0.014,8.468,0.033,-0.005
week,20,0,w20-0,4.76,318,7.758,-0.677,-0.395,7.753,-0.681,-0.004
week,21,0,w21-0,5.0,318,8.069,-0.366,-0.22,8.063,-0.372,-0.006
week,22,0,w22-0,5.24,318,8.027,-0.408,-0.256,8.021,-0.414,-0.006
week,23,0,w23-0,5.48,318,7.879,-0.555,-0.352,7.872,-0.562,-0.007
week,24,0,w24-0,5.71,318,7.764,-0.67,-0.389,7.758,-0.677,-0.007
week,25,0,w25-0,5.95,318,8.827,0.392,0.19,8.822,0.387,-0.005
week,26,0,w26-0,6.19,318,7.255,-1.18,-0.729,7.252,-1.183,-0.003
week,27,0,w27-0,6.43,318,7.231,-1.203,-0.764,7.227,-1.208,-0.004
week,28,0,w28-0,6.67,318,8.334,-0.1,-0.079,8.329,-0.105,-0.005
week,29,0,w29-0,6.9,318,9.339,0.904,0.498,9.332,0.898,-0.006
