combo,family,corr_monthly_vs_mom12_1_high
RSI5-high,rsi,0.834
RSI5-low,rsi,0.7872
RSI7-high,rsi,0.8181
RSI7-low,rsi,0.7769
RSI10-high,rsi,0.8184
RSI10-low,rsi,0.7741
RSI14-high,rsi,0.8238
RSI14-low,rsi,0.7646
RSI21-high,rsi,0.8285
RSI21-low,rsi,0.7775
RSI30-high,rsi,0.8355
RSI30-low,rsi,0.7629
RSI45-high,rsi,0.8453
RSI45-low,rsi,0.7646
RSI60-high,rsi,0.8578
RSI60-low,rsi,0.7572
MAD20-high,ma_dist,0.8223
MAD20-low,ma_dist,0.7648
MAD50-high,ma_dist,0.8229
MAD50-low,ma_dist,0.7829
MAD100-high,ma_dist,0.8478
MAD100-low,ma_dist,0.765
MAD150-high,ma_dist,0.8607
MAD150-low,ma_dist,0.7488
MAD200-high,ma_dist,0.8839
MAD200-low,ma_dist,0.7438
MAD250-high,ma_dist,0.8997
MAD250-low,ma_dist,0.7326
MAX5x20-high,ma_cross,0.8115
MAX5x20-low,ma_cross,0.7741
MAX10x50-high,ma_cross,0.8282
MAX10x50-low,ma_cross,0.7765
MAX20x50-high,ma_cross,0.8203
MAX20x50-low,ma_cross,0.7917
MAX10x100-high,ma_cross,0.8418
MAX10x100-low,ma_cross,0.7574
MAX20x100-high,ma_cross,0.817
MAX20x100-low,ma_cross,0.7528
MAX20x200-high,ma_cross,0.8931
MAX20x200-low,ma_cross,0.7317
MAX50x100-high,ma_cross,0.8423
MAX50x100-low,ma_cross,0.7575
MAX50x200-high,ma_cross,0.8991
MAX50x200-low,ma_cross,0.732
RSI14>=50-high,rsi_thresh,0.842
RSI14>=60-high,rsi_thresh,0.8567
RSI14>=70-high,rsi_thresh,0.8606
RSI14<=50-low,rsi_thresh,0.7721
RSI14<=40-low,rsi_thresh,0.808
RSI14<=30-low,rsi_thresh,0.8519
RSI21>=50-high,rsi_thresh,0.8359
RSI21>=60-high,rsi_thresh,0.8656
RSI21>=70-high,rsi_thresh,0.8623
RSI21<=50-low,rsi_thresh,0.7888
RSI21<=40-low,rsi_thresh,0.8211
RSI21<=30-low,rsi_thresh,0.858
RSI60>=50-high,rsi_thresh,0.8677
RSI60>=60-high,rsi_thresh,0.8708
RSI60>=70-high,rsi_thresh,0.863
RSI60<=50-low,rsi_thresh,0.7761
RSI60<=40-low,rsi_thresh,0.8462
RSI60<=30-low,rsi_thresh,0.863
