a,p5,med,p95,p25
0.0,-2.150816881300061,1.2794472616433517,4.619179456483995,-0.15884359039287088
0.002,-1.6718170844158358,1.839452667296304,5.2844064884578765,0.35269822284336727
0.005,-0.9456843734251774,2.743645148919671,6.42466405713222,1.139316670300311
0.0075,-0.268702708656256,3.4414563433197043,7.069507517203384,1.80760656109335
0.01,0.3640979243207377,4.16759063397606,7.820375822060379,2.47654612020749
0.015,1.7043411051721558,5.583864848122932,9.501061097377292,3.9039610806338443
0.02,2.976397123919109,7.13780423082394,11.36412959543818,5.2754657324980805
0.025,4.30245128634139,8.614212371165907,12.874778047935045,6.756829893092603
0.03,5.600921708978789,10.102121879246383,14.693237823234579,8.31406126277801
0.035,7.047813449410543,11.717251185600663,16.256682732563803,9.859735976737326
0.04,8.45889102694426,13.29944117282562,18.06677725955372,11.23120318445075
0.045,9.952265229621638,14.874267628002556,19.41419037255838,12.880652956439544
0.05,11.49113984147247,16.43162547683248,21.188381024125682,14.413213451219082
0.055,13.02985834901765,18.206770265402305,23.02434916173517,15.884305914620523
0.06,14.61069049195467,19.80072829851982,24.754777736432533,17.567221204242568
0.065,16.148160947914075,21.44598893357349,26.739335296483453,19.274803057361044
0.07,17.70620407724785,23.155098896639245,28.433663280001163,20.964589057707922
0.075,19.295847002861322,24.83330896005418,30.586095890759072,22.485863074635763
0.08,20.91108090774567,26.576633286267814,32.47444860297541,24.21665603735133
0.085,22.682194351945608,28.310521626515595,34.362059759398214,25.92102955068496
0.09,24.282686280104567,30.03935007451114,36.36870460375968,27.4920011144852
0.095,25.86718458799871,31.7126323582536,38.252267876480474,29.26535467745697
0.1,27.70573392906086,33.66211587676303,40.207006591938544,31.105286315417594
0.11,31.097656414019628,37.33426166890396,44.635811055411054,34.79264020499758
0.12,34.43472957522808,41.2466440793428,48.786289681860715,38.476076944251375
0.13,38.02464532279287,45.117103138103886,52.82391421922034,42.18935664293501
0.14,41.60454425031435,49.14516534734638,57.24973444286703,45.91883138312615
0.15,45.59107776770629,53.408790660031855,61.21685062016694,50.20219312687351
0.16,49.68705731312159,57.67177947675596,66.11724402149126,54.503588628777784
0.17,53.67509676687718,61.85844617209219,70.42851132680855,58.77601193060972
0.18,57.64064562527082,66.41247207304764,75.66099661685952,63.038414334534004
0.19,61.75150433160001,70.98602446896719,81.1059296332381,67.38970386058543
0.2,66.00266671566138,75.55011847133122,86.02357322596092,72.08382218837876
0.21,70.40272961367276,80.4247683343366,91.01207150226676,76.74946408586322
0.22,74.9614266433766,85.25879280583776,96.42915766395103,81.63251284044244
0.23,79.73681994493106,90.4041187443642,101.87907618806949,86.45334674645525
0.24,84.60272101640193,95.7177142748622,107.23471401541705,91.34567272169284
0.25,89.64327630512167,101.03942234670085,112.8138958715634,96.1838525383868
0.26,95.06259157695271,106.58814623523864,118.40201610306612,101.38407218640906
0.27,100.70470593590099,112.30582775133917,124.13257808036492,106.80994918170747
0.28,105.77735798328762,117.89493011523933,130.507590155879,112.3077843007688
0.29,111.07258102990981,123.58708082634521,136.6615557039394,117.79467005879388
0.3,116.55223383577345,129.77761289573013,143.1521684009553,123.6816300855214
0.35,146.54597752675863,161.6567381880354,177.05079257391907,155.42508753854867
0.4,180.91347074804366,198.086082398291,215.05571327890442,190.92477542611513
0.45,220.51547436507866,238.95736222798644,259.0724693400318,231.18280577781383
0.5,264.46313413073017,284.6427643536829,306.1271774227398,276.48273446672596
0.55,313.9939332217308,337.2133982505932,361.9019969386284,326.80649192691067
0.6,370.6000359763778,395.31137276607,421.53675835302477,384.25391194155577
0.65,431.195376572286,459.87998202483783,489.16755044136016,448.85542829120266
0.7,502.750583561656,533.3335524646693,565.238740102335,520.2325699704797
0.75,583.6050626073146,615.6288337094182,648.8421569050827,602.2543414369512
0.8,674.4431492248067,706.8215299305729,740.4855490857532,693.4563935290834
0.85,777.3801922006653,808.3818790456514,840.7865354328426,795.4398101840404
0.9,892.2447925927278,921.8815412068681,952.2669693959448,909.5488631388394
0.95,1023.5810364093371,1048.7979782423963,1074.6664913803577,1038.7898318334514
1.0,1190.3358107758652,1190.3358107758652,1190.3358107758652,1190.3358107758652
