series,start,end,months,d_lag_pp,d_fwd_pp
XLE,2020-03-31,2020-12-31,10,-15.942274778661291,7.19569815626869
XLE,2016-05-31,2017-02-28,10,-0.13759842563311997,1.3868828468275103
XLB,2003-03-31,2003-08-31,6,0.5175583294875898,1.6952239686676003
XLY,2005-12-31,2006-05-31,6,-0.20463504361074025,-0.4359394255584695
XLB,2021-02-28,2021-06-30,5,2.73586154270638,-0.41734372256705954
XLB,2020-06-30,2020-10-31,5,-1.8690062573688697,2.5577335458770403
XLE,2009-12-31,2010-04-30,5,4.79506708293811,0.8526598471712193
XLF,2010-01-31,2010-04-30,4,15.717107122056861,-0.274648363985619
XLE,2008-10-31,2009-01-31,4,2.5371009222896896,-1.05482898107861
XLI,2007-05-31,2007-08-31,4,-0.9266963658862204,0.18678794085525974
XLV,2003-08-31,2003-11-30,4,0.2483566068225397,0.0758104562088198
XLP,2019-09-30,2019-12-31,4,0.0008874185490299197,-0.09253616051006011
XLP,2009-12-31,2010-03-31,4,0.14306495548734935,-0.1924402601659797
XLI,2006-10-31,2007-01-31,4,0.6420512285838189,-0.24950215816997995
XLI,2019-10-31,2020-01-31,4,0.80984450387276,-0.5050949292729802
XLB,2019-03-31,2019-06-30,4,-0.35333670423374,0.2632102439806397
MKT,2000-04-30,2000-06-30,3,0.05750113761408965,1.05123110741535
XLI,2005-10-31,2005-12-31,3,0.35867425443266016,-0.534210590875879
XLF,2011-04-30,2011-06-30,3,-0.13160812158009016,0.6776457260724997
XLF,2009-04-30,2009-06-30,3,1.1229122691576916,-0.7661333022192601
XLF,2007-10-31,2007-12-31,3,0.6058358542556902,-0.4283795596357498
MKT,2000-09-30,2000-11-30,3,0.3060295204558201,-0.5030713372031398
XLB,2009-09-30,2009-11-30,3,0.729062249291379,0.6713941902795908
MKT,2004-09-30,2004-11-30,3,-0.026862089055700034,-0.01845473254526997
XLI,2015-03-31,2015-05-31,3,-0.7124028806206204,-0.03644299123905931
XLK,2018-02-28,2018-04-30,3,-0.8281647319025996,0.25094956699782056
XLP,2007-03-31,2007-05-31,3,0.12365353327133052,-0.04561290944000984
XLU,2004-07-31,2004-09-30,3,0.1635099636852197,-0.2350803273102095
XLU,2001-10-31,2001-12-31,3,-0.3965702215125502,-0.34292304606960006
XLV,2009-11-30,2010-01-31,3,-0.007922381855969551,-0.0704915139178891
XLY,2003-12-31,2004-02-29,3,0.1549471044675496,-0.10443949154632023
XLY,2009-04-30,2009-06-30,3,-1.9445358165540099,0.372908670493851
XLY,2009-10-31,2009-12-31,3,0.69897572099851,-0.10822228025215985
