ticker,display_name,joined_on,left_on,delisted_or_removed,cik,cik_source,cik_note
AABA,,1999-12-08,2017-06-19,True,,,no display_name recorded; ticker not in anchors nor current map
AAMRQ,,1996-01-02,2003-03-14,True,,,no display_name recorded; ticker not in anchors nor current map
ABC,,2001-08-30,2023-08-30,True,,,no display_name recorded; ticker not in anchors nor current map
ABI,,1996-01-02,2008-11-24,True,,,no display_name recorded; ticker not in anchors nor current map
ABKFQ,,2000-12-11,2008-06-11,True,,,no display_name recorded; ticker not in anchors nor current map
ABS,,1996-01-02,2006-06-02,True,,,no display_name recorded; ticker not in anchors nor current map
ABX,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
ACAS,,2007-07-09,2009-03-04,True,,,no display_name recorded; ticker not in anchors nor current map
ACKH,,1996-01-02,2000-11-17,True,,,no display_name recorded; ticker not in anchors nor current map
ACS,,2004-04-02,2010-02-08,True,,,no display_name recorded; ticker not in anchors nor current map
ACV,,1996-01-02,2006-11-17,True,,,no display_name recorded; ticker not in anchors nor current map
ADCT,,1999-08-02,2007-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
ADS,,2013-12-23,2020-06-22,True,,,no display_name recorded; ticker not in anchors nor current map
AFS.A,,1998-04-08,2000-12-01,True,,,no display_name recorded; ticker not in anchors nor current map
AGC,,1996-01-02,2001-08-29,True,,,no display_name recorded; ticker not in anchors nor current map
AGN,,1996-01-02,2020-05-12,True,,,no display_name recorded; ticker not in anchors nor current map
AHM,,1996-01-02,1998-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
AIT,,1996-01-02,1999-10-11,True,,,no display_name recorded; ticker not in anchors nor current map
AKS,,2008-07-01,2011-12-19,True,,,no display_name recorded; ticker not in anchors nor current map
AL,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
AM,,1996-01-02,2004-05-03,True,,,no display_name recorded; ticker not in anchors nor current map
AMCC,,2001-01-02,2006-05-18,True,,,no display_name recorded; ticker not in anchors nor current map
AMH,,1996-01-02,1997-09-15,True,,,no display_name recorded; ticker not in anchors nor current map
ANDW,,1996-01-02,2006-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
ANRZQ,,2011-06-02,2012-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
ANV,,1996-01-02,1999-04-12,True,,,no display_name recorded; ticker not in anchors nor current map
APCC,,2000-06-01,2007-02-15,True,,,no display_name recorded; ticker not in anchors nor current map
AR,,1996-01-02,1999-10-27,True,,,no display_name recorded; ticker not in anchors nor current map
ARC,,1996-01-02,2000-04-18,True,,,no display_name recorded; ticker not in anchors nor current map
ARG,,2009-09-09,2016-05-23,True,,,no display_name recorded; ticker not in anchors nor current map
ARNC,,1996-01-02,2020-04-06,True,,,no display_name recorded; ticker not in anchors nor current map
AS,,1996-01-02,1998-11-24,True,,,no display_name recorded; ticker not in anchors nor current map
ASC,,1996-01-02,1999-06-24,True,,,no display_name recorded; ticker not in anchors nor current map
ASH,,1996-01-02,2008-11-14,True,,,no display_name recorded; ticker not in anchors nor current map
ASN,,2004-12-20,2007-10-08,True,,,no display_name recorded; ticker not in anchors nor current map
ASND,,1998-06-12,1999-06-25,True,,,no display_name recorded; ticker not in anchors nor current map
ASO,,1999-03-10,2006-11-06,True,,,no display_name recorded; ticker not in anchors nor current map
AT,,1996-01-02,2007-11-19,True,,,no display_name recorded; ticker not in anchors nor current map
ATGE,,2009-06-09,2012-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
AV,,2000-10-02,2007-10-26,True,,,no display_name recorded; ticker not in anchors nor current map
AVP,,1996-01-02,2015-03-23,True,,,no display_name recorded; ticker not in anchors nor current map
AW,,1999-08-02,2008-12-05,True,,,no display_name recorded; ticker not in anchors nor current map
AWE,,2001-07-09,2004-10-27,True,,,no display_name recorded; ticker not in anchors nor current map
AYE,,2000-12-11,2011-02-28,True,,,no display_name recorded; ticker not in anchors nor current map
AZA.A,,1996-01-02,2001-06-25,True,,,no display_name recorded; ticker not in anchors nor current map
BAY,,1996-02-12,1998-08-31,True,,,no display_name recorded; ticker not in anchors nor current map
BBI,,1996-01-02,1998-01-12,True,,,no display_name recorded; ticker not in anchors nor current map
BC,,1996-01-02,2008-06-23,True,,,no display_name recorded; ticker not in anchors nor current map
BCO,,1996-01-02,1996-01-22,True,,,no display_name recorded; ticker not in anchors nor current map
BCR,,1996-01-02,2017-12-29,True,,,no display_name recorded; ticker not in anchors nor current map
BDK,,1996-01-02,2010-03-15,True,,,no display_name recorded; ticker not in anchors nor current map
BEAM,,1996-01-02,2014-05-01,True,,,no display_name recorded; ticker not in anchors nor current map
BEV,,1996-01-02,1997-12-04,True,,,no display_name recorded; ticker not in anchors nor current map
BFI,,1996-01-02,1999-08-02,True,,,no display_name recorded; ticker not in anchors nor current map
BFO,,1996-01-02,2000-10-03,True,,,no display_name recorded; ticker not in anchors nor current map
BGEN,,2000-01-31,2003-11-13,True,,,no display_name recorded; ticker not in anchors nor current map
BGG,,1996-01-02,2001-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
BHGE,,1996-01-02,2019-10-18,True,,,no display_name recorded; ticker not in anchors nor current map
BHMSQ,,1996-01-02,2000-12-11,True,,,no display_name recorded; ticker not in anchors nor current map
BIG,,1998-01-20,2013-02-14,True,,,no display_name recorded; ticker not in anchors nor current map
BJS,,2002-05-15,2010-04-29,True,,,no display_name recorded; ticker not in anchors nor current map
BK,,1996-01-02,2026-05-21,True,,,no display_name recorded; ticker not in anchors nor current map
BKB,,1996-01-02,1999-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
BLS,,1996-01-02,2007-01-03,True,,,no display_name recorded; ticker not in anchors nor current map
BLY,,1996-01-02,1996-12-19,True,,,no display_name recorded; ticker not in anchors nor current map
BMC,,1998-10-01,2013-09-11,True,,,no display_name recorded; ticker not in anchors nor current map
BMET,,1996-01-02,2007-07-12,True,,,no display_name recorded; ticker not in anchors nor current map
BMGCA,,1996-07-22,1999-08-09,True,,,no display_name recorded; ticker not in anchors nor current map
BMS,,1996-01-02,2014-12-05,True,,,no display_name recorded; ticker not in anchors nor current map
BNI,,1996-01-02,2010-02-16,True,,,no display_name recorded; ticker not in anchors nor current map
BNL,,1996-01-02,1998-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
BOAT,,1996-01-02,1997-01-07,True,,,no display_name recorded; ticker not in anchors nor current map
BOL,,1996-01-02,2007-10-29,True,,,no display_name recorded; ticker not in anchors nor current map
BRL,,2006-02-27,2008-12-23,True,,,no display_name recorded; ticker not in anchors nor current map
BSC,,1998-07-01,2008-06-02,True,,,no display_name recorded; ticker not in anchors nor current map
BT,,1996-01-02,1999-06-04,True,,,no display_name recorded; ticker not in anchors nor current map
BTUUQ,,2006-11-20,2014-09-22,True,,,no display_name recorded; ticker not in anchors nor current map
BUD,,1996-01-02,2008-11-18,True,,,no display_name recorded; ticker not in anchors nor current map
BVSN,,2000-11-06,2001-09-04,True,,,no display_name recorded; ticker not in anchors nor current map
BXLT,,2015-07-01,2016-06-03,True,,,no display_name recorded; ticker not in anchors nor current map
CA,,1996-01-02,2018-11-06,True,,,no display_name recorded; ticker not in anchors nor current map
CAL,,1996-01-02,1996-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
CAR,,1996-01-02,2006-08-01,True,,,no display_name recorded; ticker not in anchors nor current map
CBB,,1996-01-02,1998-01-28,True,,,no display_name recorded; ticker not in anchors nor current map
CBE,,1996-01-02,2012-12-03,True,,,no display_name recorded; ticker not in anchors nor current map
CBH,,2006-06-06,2008-03-31,True,,,no display_name recorded; ticker not in anchors nor current map
CBSS,,2004-12-20,2007-09-07,True,,,no display_name recorded; ticker not in anchors nor current map
CCB,,1996-01-02,1996-02-12,True,,,no display_name recorded; ticker not in anchors nor current map
CCE,,1998-10-08,2016-05-31,True,,,no display_name recorded; ticker not in anchors nor current map
CCK,,1996-01-02,2000-12-11,True,,,no display_name recorded; ticker not in anchors nor current map
CCTYQ,,1996-01-02,2008-03-31,True,,,no display_name recorded; ticker not in anchors nor current map
CCU,,1997-09-02,2008-07-31,True,,,no display_name recorded; ticker not in anchors nor current map
CEN,,1996-01-02,2001-04-02,True,,,no display_name recorded; ticker not in anchors nor current map
CEPH,,2008-11-17,2011-10-14,True,,,no display_name recorded; ticker not in anchors nor current map
CERN,,2010-04-30,2022-06-08,True,,,no display_name recorded; ticker not in anchors nor current map
CFC,,1997-06-18,2008-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
CFL,,1996-01-02,1998-04-28,True,,,no display_name recorded; ticker not in anchors nor current map
CFN,,2009-09-01,2015-03-17,True,,,no display_name recorded; ticker not in anchors nor current map
CG,,1996-01-02,2000-11-02,True,,,no display_name recorded; ticker not in anchors nor current map
CGP,,1996-01-02,2001-01-30,True,,,no display_name recorded; ticker not in anchors nor current map
CHA,,1996-01-02,2000-06-19,True,,,no display_name recorded; ticker not in anchors nor current map
CHIR,,2000-11-24,2006-04-20,True,,,no display_name recorded; ticker not in anchors nor current map
CHRS,,1996-01-02,1998-04-08,True,,,no display_name recorded; ticker not in anchors nor current map
CIN,,1996-01-02,2006-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
CIT.A,,2000-07-17,2001-06-04,True,,,no display_name recorded; ticker not in anchors nor current map
CITGQ,,2004-10-27,2009-07-27,True,,,no display_name recorded; ticker not in anchors nor current map
CMA,,1996-01-02,2024-06-24,True,,,no display_name recorded; ticker not in anchors nor current map
CMB,,1996-01-02,1996-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
CMCSK,,2015-09-21,2015-12-14,True,,,no display_name recorded; ticker not in anchors nor current map
CMVT,,1999-10-27,2007-02-01,True,,,no display_name recorded; ticker not in anchors nor current map
CMX,,2004-03-25,2007-03-23,True,,,no display_name recorded; ticker not in anchors nor current map
CNG,,1996-01-02,2000-01-31,True,,,no display_name recorded; ticker not in anchors nor current map
CNW,,1996-01-02,1996-12-03,True,,,no display_name recorded; ticker not in anchors nor current map
CNXT,,2000-01-31,2002-06-26,True,,,no display_name recorded; ticker not in anchors nor current map
COC.B,,1999-08-09,2002-09-03,True,,,no display_name recorded; ticker not in anchors nor current map
COG,,2008-06-23,2021-10-04,True,,,no display_name recorded; ticker not in anchors nor current map
COMS,,1996-01-02,2000-07-28,True,,,no display_name recorded; ticker not in anchors nor current map
CPNLQ,,2000-12-01,2005-12-02,True,,,no display_name recorded; ticker not in anchors nor current map
