cik,status,bytes,detail
0000001800,ok,3386107.0,
0000002488,ok,3672449.0,
0000002969,ok,5215395.0,
0000004127,ok,3243173.0,
0000004281,ok,4967150.0,
0000004904,ok,5279111.0,
0000004962,ok,4775600.0,
0000004977,ok,5286453.0,
0000005272,ok,6910671.0,
0000005513,ok,5137701.0,
0000006201,ok,3409249.0,
0000006281,ok,4434650.0,
0000006951,ok,4552943.0,
0000007084,ok,4631900.0,
0000007332,ok,3721154.0,
0000008670,ok,4892915.0,
0000008818,ok,3315703.0,
0000009389,ok,3930147.0,
0000010456,ok,4713125.0,
0000010795,ok,3478858.0,
0000011544,ok,4505894.0,
0000012208,ok,4022621.0,
0000012659,ok,4617052.0,
0000012927,ok,5180611.0,
0000014272,ok,5690382.0,
0000014693,ok,3084654.0,
0000016732,ok,4634811.0,
0000016918,ok,3810307.0,
0000018230,ok,5868239.0,
0000018926,ok,3782932.0,
0000019617,ok,7919997.0,
0000020286,ok,4245190.0,
0000020520,ok,3082442.0,
0000021076,ok,3712366.0,
0000021344,ok,5028478.0,
0000021665,ok,3582380.0,
0000023082,ok,2231385.0,
0000023217,ok,4847091.0,
0000024545,ok,4466489.0,
0000024741,ok,4155357.0,
0000026172,ok,4883285.0,
0000027419,ok,3761536.0,
0000027904,ok,3369064.0,
0000029534,ok,2509741.0,
0000029905,ok,4932713.0,
0000029915,ok,3080175.0,
0000029989,ok,3705814.0,
0000030554,ok,2115009.0,
0000030625,ok,4065820.0,
0000031462,ok,4430632.0,
0000031791,ok,4243204.0,
0000032604,ok,3674500.0,
0000033185,ok,3636051.0,
0000033213,ok,4013294.0,
0000034408,ok,899482.0,
0000034903,ok,3167945.0,
0000035527,ok,7321381.0,
0000036104,ok,6693603.0,
0000036270,ok,6091436.0,
0000036966,ok,6355495.0,
0000037785,ok,5567486.0,
0000037996,ok,3672318.0,
0000038777,ok,4377457.0,
0000039899,ok,3670833.0,
0000040533,ok,3597489.0,
0000040545,ok,6101059.0,
0000040704,ok,4463389.0,
0000040987,ok,3415215.0,
0000042582,ok,4487075.0,
0000045012,ok,3211355.0,
0000046080,ok,3982697.0,
0000046640,ok,1032510.0,
0000046765,ok,4353829.0,
0000047111,ok,4529555.0,
0000047217,ok,4957401.0,
0000048465,ok,3433849.0,
0000048898,ok,3758038.0,
0000049071,ok,4360644.0,
0000049196,ok,6280899.0,
0000049826,ok,3532522.0,
0000050104,ok,2216717.0,
0000050863,ok,4311809.0,
0000051143,ok,5650571.0,
0000051253,ok,3897926.0,
0000051434,ok,4844984.0,
0000052988,ok,4350229.0,
0000054480,ok,2617984.0,
0000055785,ok,3570577.0,
0000056873,ok,3852796.0,
0000058492,ok,4705260.0,
0000059478,ok,3523596.0,
0000059558,ok,4804821.0,
0000060086,ok,4676787.0,
0000060667,ok,3714927.0,
0000062709,ok,5081482.0,
0000062996,ok,4320793.0,
