ticker,display_name,joined_on,left_on,delisted_or_removed,cik,cik_source,cik_note
A,Agilent Technologies,2000-06-05,,False,0001090872,anchors,今日對照
AABA,,1999-12-08,2017-06-19,True,,,no display_name recorded; ticker not in anchors nor current map
AAL,,1996-01-02,2024-09-23,True,0000006201,anchors,今日對照·已核實
AAMRQ,,1996-01-02,2003-03-14,True,,,no display_name recorded; ticker not in anchors nor current map
AAP,,2015-07-09,2023-08-25,True,0001158449,anchors,今日對照·已核實
AAPL,Apple Inc.,1996-01-02,,False,0000320193,anchors,今日對照
ABBV,AbbVie,2013-01-02,,False,0001551152,anchors,今日對照
ABC,,2001-08-30,2023-08-30,True,,,no display_name recorded; ticker not in anchors nor current map
ABI,,1996-01-02,2008-11-24,True,,,no display_name recorded; ticker not in anchors nor current map
ABKFQ,,2000-12-11,2008-06-11,True,,,no display_name recorded; ticker not in anchors nor current map
ABMD,,2018-05-31,2022-12-22,True,0000815094,edgar_full_text_search,"全文檢索:成分期 2018-05-31~2022-12-22 內 100/100 份 10-K/10-Q 印有代號 ABMD,全屬 0000815094(ABIOMED INC);該 CIK 申報期 1995-03-30~2023-01-06 覆蓋成分期"
ABNB,Airbnb,2023-09-18,,False,0001559720,anchors,今日對照
ABS,,1996-01-02,2006-06-02,True,,,no display_name recorded; ticker not in anchors nor current map
ABT,Abbott Laboratories,1996-01-02,,False,0000001800,anchors,今日對照
ABX,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
ACAS,,2007-07-09,2009-03-04,True,,,no display_name recorded; ticker not in anchors nor current map
ACGL,Arch Capital Group,2022-11-01,,False,0000947484,anchors,今日對照
ACKH,,1996-01-02,2000-11-17,True,,,no display_name recorded; ticker not in anchors nor current map
ACN,Accenture,2011-07-06,,False,0001467373,anchors,今日對照
ACS,,2004-04-02,2010-02-08,True,,,no display_name recorded; ticker not in anchors nor current map
ACV,,1996-01-02,2006-11-17,True,,,no display_name recorded; ticker not in anchors nor current map
ADBE,Adobe Inc.,1997-05-06,,False,0000796343,anchors,今日對照
ADCT,,1999-08-02,2007-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
ADI,Analog Devices,1999-10-12,,False,0000006281,anchors,今日對照
ADM,Archer Daniels Midland,1996-01-02,,False,0000007084,anchors,今日對照
ADP,Automatic Data Processing,1996-01-02,,False,0000008670,anchors,今日對照
ADS,,2013-12-23,2020-06-22,True,,,no display_name recorded; ticker not in anchors nor current map
ADSK,Autodesk,1996-01-02,,False,0000769397,anchors,今日對照
ADT,,2012-10-02,2016-05-02,True,0001546640,anchors,人手辨明
AEE,Ameren,1996-01-02,,False,0001002910,anchors,今日對照
AEP,American Electric Power,1996-01-02,,False,0000004904,anchors,今日對照
AES,AES Corporation,1998-10-02,,False,0000874761,anchors,今日對照
AET,,1996-01-02,2018-11-29,True,0001013761,anchors,人手辨明
AFL,Aflac,1999-05-28,,False,0000004977,anchors,今日對照
AFS.A,,1998-04-08,2000-12-01,True,,,no display_name recorded; ticker not in anchors nor current map
AGC,,1996-01-02,2001-08-29,True,,,no display_name recorded; ticker not in anchors nor current map
AGN,,1996-01-02,2020-05-12,True,,,no display_name recorded; ticker not in anchors nor current map
AHM,,1996-01-02,1998-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
AIG,American International Group,1996-01-02,,False,0000005272,anchors,今日對照
AIT,,1996-01-02,1999-10-11,True,,,no display_name recorded; ticker not in anchors nor current map
AIV,,2003-03-14,2020-12-21,True,0000922864,anchors,今日對照·已核實
AIZ,Assurant,2007-04-10,,False,0001267238,anchors,今日對照
AJG,Arthur J. Gallagher & Co.,2016-05-31,,False,0000354190,anchors,今日對照
AKAM,Akamai Technologies,2007-07-12,,False,0001086222,anchors,今日對照
AKS,,2008-07-01,2011-12-19,True,,,no display_name recorded; ticker not in anchors nor current map
AL,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
ALB,Albemarle Corporation,2016-07-01,,False,0000915913,anchors,今日對照
ALGN,Align Technology,2017-06-19,,False,0001097149,anchors,今日對照
ALK,,2016-05-13,2023-12-18,True,0000766421,anchors,今日對照·已核實
ALL,Allstate,1996-01-02,,False,0000899051,anchors,今日對照
ALLE,Allegion,2013-12-02,,False,0001579241,anchors,今日對照
ALTR,,2000-04-18,2015-12-28,True,0000768251,edgar_full_text_search,"全文檢索:成分期 2000-04-18~2015-12-28 內 60/61 份 10-K/10-Q 印有代號 ALTR,全屬 0000768251(ALTERA CORP);該 CIK 申報期 1994-05-06~2016-01-11 覆蓋成分期"
ALXN,,2012-05-25,2021-07-21,True,0000899866,edgar_full_text_search,"全文檢索:成分期 2012-05-25~2021-07-21 內 86/100 份 10-K/10-Q 印有代號 ALXN,全屬 0000899866(ALEXION PHARMACEUTICALS, INC.);該 CIK 申報期 1996-06-13~2022-11-16 覆蓋成分期"
AM,,1996-01-02,2004-05-03,True,,,no display_name recorded; ticker not in anchors nor current map
AMAT,Applied Materials,1996-01-02,,False,0000006951,anchors,今日對照
AMCC,,2001-01-02,2006-05-18,True,,,no display_name recorded; ticker not in anchors nor current map
AMCR,Amcor,2019-06-07,,False,0001748790,anchors,今日對照
AMD,Advanced Micro Devices,1996-01-02,,False,0000002488,anchors,今日對照
AME,Ametek,2013-09-23,,False,0001037868,anchors,今日對照
AMG,,2014-07-01,2019-12-23,True,0001004434,anchors,今日對照·已核實
AMGN,Amgen,1996-01-02,,False,0000318154,anchors,今日對照
AMH,,1996-01-02,1997-09-15,True,,,no display_name recorded; ticker not in anchors nor current map
AMP,Ameriprise Financial,1996-01-02,,False,0000820027,anchors,今日對照
AMT,American Tower,2007-11-19,,False,0001053507,anchors,今日對照
AMTM,,2024-09-30,2024-12-23,True,0002011286,anchors,今日對照·已核實
AMZN,Amazon,2005-11-21,,False,0001018724,anchors,今日對照
AN,,1996-01-02,2017-08-08,True,0000350698,anchors,今日對照·已核實
ANDV,,2007-09-27,2018-10-01,True,0000050104,anchors,人手辨明
ANDW,,1996-01-02,2006-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
ANET,Arista Networks,2018-08-28,,False,0001596532,anchors,今日對照
ANF,,2007-03-29,2013-12-23,True,0001018840,submissions_window_overlap,候選 CIK 0001018840(ABERCROMBIE & FITCH CO /DE/);申報期 1996-07-17~2026-08-28;成分期 2007-03-29~2013-12-23;曾用名:ABERCROMBIE & FITCH CO /DE/
ANRZQ,,2011-06-02,2012-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
ANSS,,2017-06-19,2025-07-18,True,0001013462,edgar_full_text_search,"全文檢索:成分期 2017-06-19~2025-07-18 內 28/30 份 10-K/10-Q 印有代號 ANSS,全屬 0001013462(ANSYS INC);該 CIK 申報期 1996-05-23~2025-07-30 覆蓋成分期"
ANTM,,2002-07-25,2022-06-28,True,0001156039,edgar_full_text_search,"全文檢索:成分期 2002-07-25~2022-06-28 內 33/48 份 10-K/10-Q 印有代號 ANTM,全屬 0001156039(Elevance Health, Inc.);該 CIK 申報期 2001-08-16~2026-07-17 覆蓋成分期"
ANV,,1996-01-02,1999-04-12,True,,,no display_name recorded; ticker not in anchors nor current map
AON,Aon plc,1996-04-23,,False,0000315293,anchors,今日對照
AOS,A. O. Smith,2017-07-26,,False,0000091142,anchors,今日對照
APA,APA Corporation,1997-07-28,,False,0001841666,anchors,今日對照
APC,,1997-07-28,2019-08-09,True,0000773910,anchors,人手辨明
APCC,,2000-06-01,2007-02-15,True,,,no display_name recorded; ticker not in anchors nor current map
APD,Air Products,1996-01-02,,False,0000002969,anchors,今日對照
APH,Amphenol,2008-09-30,,False,0000820313,anchors,今日對照
APO,Apollo Global Management,2024-12-23,,False,0001858681,anchors,今日對照
