date,bh,rule01,ruleA,excess01_pp,excessA_pp
1990,-0.031,0.0706,0.0706,10.1672,10.1672
1991,0.3047,0.1298,0.1952,-17.4826,-10.9476
1992,0.0762,0.0762,0.0664,0.0,-0.9804
1993,0.0958,0.0958,0.0735,0.0,-2.2357
1994,0.004,0.004,-0.1007,0.0,-10.471
1995,0.3805,0.3805,0.6442,0.0,26.3737
1996,0.225,0.225,0.225,0.0,0.0
1997,0.3348,0.3348,0.521,0.0,18.6207
1998,0.2869,0.2869,0.3813,0.0,9.4347
1999,0.2039,0.2039,0.2035,0.0,-0.043
2000,-0.0974,-0.0974,-0.1935,0.0,-9.6116
2001,-0.1176,-0.0264,-0.1283,9.1165,-1.0714
2002,-0.2158,-0.104,-0.1898,11.1835,2.6069
2003,0.2818,0.2818,0.567,0.0,28.5202
2004,0.107,0.107,0.1818,0.0,7.4856
2005,0.0483,0.0483,0.0104,0.0,-3.7854
2006,0.1585,0.1585,0.1739,0.0,1.543
2007,0.0515,0.0424,-0.0286,-0.9059,-8.0048
2008,-0.3679,0.0138,0.0138,38.1723,38.1723
2009,0.2635,0.1243,0.248,-13.9191,-1.5548
2010,0.1506,0.1506,0.1967,0.0,4.6113
2011,0.019,0.019,-0.073,0.0,-9.1912
2012,0.1599,0.1599,0.1445,0.0,-1.5434
2013,0.3231,0.3231,0.7106,0.0,38.7527
2014,0.1346,0.1346,0.1912,0.0,5.6587
2015,0.0123,0.0123,0.0123,0.0,0.0
2016,0.12,0.12,0.2059,0.0,8.5925
2017,0.2171,0.2171,0.4462,0.0,22.9176
2018,-0.0457,-0.0457,-0.095,0.0,-4.9313
2019,0.3122,0.2648,0.2791,-4.7469,-3.3097
2020,0.1833,-0.0556,-0.2809,-23.8963,-46.4171
2021,0.2873,0.2873,0.6122,0.0,32.4863
2022,-0.1818,-0.1818,-0.266,0.0,-8.4253
2023,0.2618,0.2108,0.2914,-5.0937,2.9604
2024,0.2489,0.1625,0.2739,-8.6388,2.5074
2025,0.1772,0.1727,0.1867,-0.4529,0.9506
2026,0.123,0.1398,0.2473,1.6723,12.4252
