family,param,base,direction,label,n_periods,cagr_pct,excess_spy_pp,excess_ew9_pp,paired_t_spy,paired_t_ew9,hit_rate_pct,avg_turnover,vbt_cagr_pct,vbt_minus_hand_pp
E,水平,abs,低,E-水平-abs-低,211,13.148,-1.667,-0.578,-0.643,-0.183,34.6,0.0806,13.072,-0.075
A,z12,abs,低,A-z12-abs-低,211,13.263,-1.551,-0.463,-0.903,-0.262,34.76,0.2528,13.186,-0.077
A,p12,abs,低,A-p12-abs-低,211,12.446,-2.368,-1.28,-1.253,-0.613,34.44,0.2796,12.374,-0.072
A,z24,abs,低,A-z24-abs-低,211,12.185,-2.629,-1.541,-1.544,-0.938,31.28,0.1596,12.114,-0.07
A,p24,abs,低,A-p24-abs-低,211,13.397,-1.417,-0.329,-0.855,-0.229,32.54,0.2117,13.319,-0.078
A,z36,abs,低,A-z36-abs-低,211,13.695,-1.12,-0.031,-0.739,-0.106,31.91,0.1627,13.617,-0.077
A,p36,abs,低,A-p36-abs-低,211,13.559,-1.255,-0.167,-0.791,-0.163,31.44,0.169,13.482,-0.077
A,z48,abs,低,A-z48-abs-低,211,13.522,-1.293,-0.204,-0.84,-0.24,32.07,0.1548,13.444,-0.077
A,p48,abs,低,A-p48-abs-低,211,13.968,-0.846,0.242,-0.603,0.036,32.86,0.1611,13.889,-0.079
A,z60,abs,低,A-z60-abs-低,211,13.464,-1.35,-0.262,-0.885,-0.268,32.7,0.1295,13.389,-0.076
A,p60,abs,低,A-p60-abs-低,211,13.522,-1.292,-0.204,-0.876,-0.253,32.7,0.1295,13.446,-0.076
A,z84,abs,低,A-z84-abs-低,211,12.923,-1.891,-0.803,-1.187,-0.667,31.91,0.0995,12.849,-0.074
A,p84,abs,低,A-p84-abs-低,211,13.147,-1.667,-0.579,-1.064,-0.5,32.23,0.1201,13.073,-0.074
A,z120,abs,低,A-z120-abs-低,211,13.346,-1.468,-0.38,-0.938,-0.415,34.91,0.0837,13.271,-0.075
A,p120,abs,低,A-p120-abs-低,211,13.453,-1.361,-0.273,-0.862,-0.342,34.6,0.0948,13.377,-0.076
B,rsi3,abs,低,B-rsi3-abs-低,211,13.009,-1.805,-0.717,-1.001,-0.343,34.3,0.3681,12.932,-0.077
B,rsi6,abs,低,B-rsi6-abs-低,211,13.259,-1.555,-0.467,-0.763,-0.168,33.97,0.2322,13.182,-0.077
B,rsi9,abs,低,B-rsi9-abs-低,211,14.251,-0.563,0.525,-0.354,0.335,33.18,0.2054,14.169,-0.082
B,rsi12,abs,低,B-rsi12-abs-低,211,11.117,-3.697,-2.609,-2.074,-1.452,31.91,0.1927,11.054,-0.063
B,rsi14,abs,低,B-rsi14-abs-低,211,12.477,-2.337,-1.249,-1.242,-0.669,33.02,0.1896,12.404,-0.073
B,rsi18,abs,低,B-rsi18-abs-低,211,13.991,-0.824,0.265,-0.476,0.13,33.97,0.1517,13.909,-0.081
B,rsi24,abs,低,B-rsi24-abs-低,211,14.92,0.106,1.194,-0.031,0.638,33.81,0.1596,14.835,-0.085
C,trd1,abs,低,C-trd1-abs-低,211,11.967,-2.847,-1.759,-1.406,-0.891,34.12,0.643,11.898,-0.069
