bar,arm,direction,style,params,hand_cagr,vbt_cagr,abs_diff
1M,ey_lag,買便宜,甲,"N=1,H=1",9.0755,9.0796,0.0041
1M,ey_lag,買便宜,甲,"N=2,H=1",10.5353,10.5344,0.0009
1M,ey_lag,買便宜,甲,"N=3,H=1",10.1264,10.127,0.0006
1M,ey_lag,買便宜,甲,"N=1,H=2",12.762,12.7626,0.0006
1M,ey_lag,買便宜,甲,"N=2,H=2",14.0404,14.0392,0.0012
1M,ey_lag,買便宜,甲,"N=3,H=2",12.0392,12.0381,0.0011
1M,ey_lag,買便宜,甲,"N=1,H=3",12.0992,12.0992,0.0
1M,ey_lag,買便宜,甲,"N=2,H=3",14.7231,14.7201,0.003
1M,ey_lag,買便宜,甲,"N=3,H=3",13.7046,13.703,0.0016
1M,ey_lag,買貴,甲,"N=1,H=1",3.6647,3.6691,0.0044
1M,ey_lag,買貴,甲,"N=2,H=1",4.9363,4.9389,0.0026
1M,ey_lag,買貴,甲,"N=3,H=1",8.7851,8.7862,0.0011
1M,ey_lag,買貴,甲,"N=1,H=2",7.7078,7.7103,0.0025
1M,ey_lag,買貴,甲,"N=2,H=2",8.0527,8.0517,0.0011
1M,ey_lag,買貴,甲,"N=3,H=2",8.9756,8.9753,0.0003
1M,ey_lag,買貴,甲,"N=1,H=3",8.4387,8.441,0.0023
1M,ey_lag,買貴,甲,"N=2,H=3",8.07,8.0686,0.0014
1M,ey_lag,買貴,甲,"N=3,H=3",9.7388,9.7391,0.0003
1M,ey_fwd,買便宜,甲,"N=1,H=1",15.8345,15.8342,0.0003
1M,ey_fwd,買便宜,甲,"N=2,H=1",15.6784,15.6752,0.0032
1M,ey_fwd,買便宜,甲,"N=3,H=1",14.6918,14.6905,0.0013
1M,ey_fwd,買便宜,甲,"N=1,H=2",20.5354,20.5343,0.0012
1M,ey_fwd,買便宜,甲,"N=2,H=2",17.2856,17.2839,0.0017
1M,ey_fwd,買便宜,甲,"N=3,H=2",16.4579,16.4571,0.0007
1M,ey_fwd,買便宜,甲,"N=1,H=3",15.4519,15.4514,0.0006
1M,ey_fwd,買便宜,甲,"N=2,H=3",13.0612,13.0606,0.0006
1M,ey_fwd,買便宜,甲,"N=3,H=3",13.7666,13.7639,0.0027
1M,ey_fwd,買貴,甲,"N=1,H=1",0.2694,0.2694,0.0001
1M,ey_fwd,買貴,甲,"N=2,H=1",1.875,1.8749,0.0001
1M,ey_fwd,買貴,甲,"N=3,H=1",4.0833,4.0833,0.0
1M,ey_fwd,買貴,甲,"N=1,H=2",-0.4521,-0.4489,0.0032
1M,ey_fwd,買貴,甲,"N=2,H=2",1.5925,1.5911,0.0014
1M,ey_fwd,買貴,甲,"N=3,H=2",4.4148,4.4146,0.0002
1M,ey_fwd,買貴,甲,"N=1,H=3",3.0694,3.0697,0.0003
1M,ey_fwd,買貴,甲,"N=2,H=3",4.1899,4.192,0.0021
1M,ey_fwd,買貴,甲,"N=3,H=3",7.184,7.1842,0.0002
1M,ey_fwd1,買便宜,甲,"N=1,H=1",16.941,16.9355,0.0055
1M,ey_fwd1,買便宜,甲,"N=2,H=1",13.3046,13.3012,0.0034
1M,ey_fwd1,買便宜,甲,"N=3,H=1",13.3263,13.3231,0.0032
1M,ey_fwd1,買便宜,甲,"N=1,H=2",18.2963,18.2905,0.0058
1M,ey_fwd1,買便宜,甲,"N=2,H=2",13.3788,13.3757,0.0031
1M,ey_fwd1,買便宜,甲,"N=3,H=2",12.8833,12.8807,0.0026
1M,ey_fwd1,買便宜,甲,"N=1,H=3",15.8862,15.881,0.0052
1M,ey_fwd1,買便宜,甲,"N=2,H=3",11.9714,11.9672,0.0043
1M,ey_fwd1,買便宜,甲,"N=3,H=3",11.9928,11.9912,0.0016
1M,ey_fwd1,買貴,甲,"N=1,H=1",3.5723,3.5751,0.0028
1M,ey_fwd1,買貴,甲,"N=2,H=1",6.4668,6.4666,0.0001
1M,ey_fwd1,買貴,甲,"N=3,H=1",9.4119,9.4093,0.0025
1M,ey_fwd1,買貴,甲,"N=1,H=2",5.163,5.1644,0.0014
1M,ey_fwd1,買貴,甲,"N=2,H=2",6.5488,6.5507,0.0018
1M,ey_fwd1,買貴,甲,"N=3,H=2",9.4105,9.4111,0.0006
1M,ey_fwd1,買貴,甲,"N=1,H=3",7.1773,7.1748,0.0025
1M,ey_fwd1,買貴,甲,"N=2,H=3",9.1967,9.1935,0.0032
1M,ey_fwd1,買貴,甲,"N=3,H=3",9.8373,9.8358,0.0015
1M,ey_fwd_hp,買便宜,甲,"N=1,H=1",14.0498,14.0489,0.0009
1M,ey_fwd_hp,買便宜,甲,"N=2,H=1",14.9597,14.9586,0.0011
1M,ey_fwd_hp,買便宜,甲,"N=3,H=1",14.2625,14.2604,0.0022
1M,ey_fwd_hp,買便宜,甲,"N=1,H=2",18.0009,17.9997,0.0012
1M,ey_fwd_hp,買便宜,甲,"N=2,H=2",16.2974,16.2972,0.0002
1M,ey_fwd_hp,買便宜,甲,"N=3,H=2",14.5118,14.5121,0.0003
1M,ey_fwd_hp,買便宜,甲,"N=1,H=3",16.1604,16.1585,0.0019
1M,ey_fwd_hp,買便宜,甲,"N=2,H=3",13.1139,13.1148,0.0009
1M,ey_fwd_hp,買便宜,甲,"N=3,H=3",12.5994,12.599,0.0004
1M,ey_fwd_hp,買貴,甲,"N=1,H=1",-0.0225,-0.0208,0.0017
1M,ey_fwd_hp,買貴,甲,"N=2,H=1",3.0687,3.0678,0.0009
1M,ey_fwd_hp,買貴,甲,"N=3,H=1",4.2379,4.2358,0.0021
1M,ey_fwd_hp,買貴,甲,"N=1,H=2",2.1131,2.1156,0.0025
1M,ey_fwd_hp,買貴,甲,"N=2,H=2",3.9277,3.9251,0.0026
1M,ey_fwd_hp,買貴,甲,"N=3,H=2",4.3029,4.3018,0.0011
1M,ey_fwd_hp,買貴,甲,"N=1,H=3",4.2827,4.2837,0.0011
1M,ey_fwd_hp,買貴,甲,"N=2,H=3",7.1124,7.1105,0.002
1M,ey_fwd_hp,買貴,甲,"N=3,H=3",6.4952,6.4931,0.0021
3M,ey_lag,買便宜,甲,"N=1,H=1",17.0848,17.0794,0.0054
3M,ey_lag,買便宜,甲,"N=2,H=1",14.6927,14.6883,0.0044
3M,ey_lag,買便宜,甲,"N=3,H=1",13.5724,13.5686,0.0037
3M,ey_lag,買便宜,甲,"N=1,H=2",16.3725,16.3704,0.002
3M,ey_lag,買便宜,甲,"N=2,H=2",13.6456,13.6449,0.0007
3M,ey_lag,買便宜,甲,"N=3,H=2",12.8103,12.809,0.0013
3M,ey_lag,買貴,甲,"N=1,H=1",8.2443,8.2379,0.0064
3M,ey_lag,買貴,甲,"N=2,H=1",8.8167,8.8154,0.0014
3M,ey_lag,買貴,甲,"N=3,H=1",8.7433,8.7444,0.0011
3M,ey_lag,買貴,甲,"N=1,H=2",10.0819,10.0803,0.0016
3M,ey_lag,買貴,甲,"N=2,H=2",8.7695,8.7689,0.0006
3M,ey_lag,買貴,甲,"N=3,H=2",8.808,8.8088,0.0008
3M,ey_fwd,買便宜,甲,"N=1,H=1",18.4077,18.4021,0.0056
3M,ey_fwd,買便宜,甲,"N=2,H=1",18.2578,18.2514,0.0064
3M,ey_fwd,買便宜,甲,"N=3,H=1",16.7457,16.7412,0.0045
3M,ey_fwd,買便宜,甲,"N=1,H=2",20.251,20.2484,0.0026
3M,ey_fwd,買便宜,甲,"N=2,H=2",19.2683,19.263,0.0053
3M,ey_fwd,買便宜,甲,"N=3,H=2",16.147,16.1486,0.0016
3M,ey_fwd,買貴,甲,"N=1,H=1",-1.1009,-1.0959,0.005
3M,ey_fwd,買貴,甲,"N=2,H=1",3.7637,3.7655,0.0018
3M,ey_fwd,買貴,甲,"N=3,H=1",5.9734,5.9739,0.0005
3M,ey_fwd,買貴,甲,"N=1,H=2",-0.0699,-0.0642,0.0057
3M,ey_fwd,買貴,甲,"N=2,H=2",4.5922,4.5966,0.0045
3M,ey_fwd,買貴,甲,"N=3,H=2",6.2819,6.2833,0.0014
3M,ey_fwd1,買便宜,甲,"N=1,H=1",14.5992,14.5925,0.0067
