arm,bar,style,params,cagr_pct,exc_spy,t_spy,exc_ew9,t_ew9,exc_spy_h1,exc_spy_h2,ann_turnover,pct_in_mkt,n_rebal
mult,1D,乙,"E=5,X=95,H=10",10.5583,1.9796,1.185,1.1024,0.934,4.1482,-0.3772,15.42,97.21,1349.0
price,1D,乙,"E=15,X=80,H=10",10.6177,2.039,1.139,1.1618,0.872,5.4936,-1.668,30.94,96.3,2561.0
mult,1D,甲,"N=1,H=5",11.4899,2.9112,1.189,2.034,0.995,9.6053,-4.059,42.95,100.0,1113.0
price,1D,甲,"N=1,H=5",9.4465,0.8678,0.669,-0.0094,0.469,9.2612,-7.7388,43.03,100.0,1115.0
mult,3D,乙,"E=30,X=85,H=3",10.3655,1.7869,1.175,1.0059,0.863,4.2634,-0.8956,14.04,98.94,1170.0
price,3D,乙,"E=40,X=55,H=1",9.109,0.5303,0.287,-0.2507,-0.028,4.5042,-3.7117,31.12,85.31,1708.0
mult,3D,甲,"N=3,H=1",9.9659,1.3873,0.85,0.6063,0.526,2.5744,0.0839,31.23,100.0,2171.0
price,3D,甲,"N=2,H=1",9.4909,0.9122,0.604,0.1312,0.344,5.7666,-4.2274,40.47,100.0,2171.0
mult,1W,乙,"E=10,X=85,H=4",11.6867,3.1256,1.831,2.3262,1.542,3.5022,2.701,7.63,93.56,543.0
price,1W,乙,"E=15,X=85,H=4",9.8008,1.2397,0.695,0.4403,0.376,1.5971,0.8408,8.72,88.82,610.0
mult,1W,甲,"N=3,H=4",9.0249,0.4638,0.462,-0.3356,0.065,2.7364,-2.0073,8.06,100.0,338.0
price,1W,甲,"N=2,H=4",9.0666,0.5055,0.534,-0.2939,0.264,2.9777,-2.1775,9.74,100.0,338.0
mult,1M,乙,"E=15,X=60,H=3",12.2651,3.7693,2.174,3.1307,1.977,7.8015,-0.5422,2.84,94.84,182.0
mult_raw,1M,乙,"E=20,X=80,H=1",10.6814,2.1855,1.593,1.547,1.279,3.239,1.023,2.26,99.03,174.0
price,1M,乙,"E=30,X=95,H=1",10.419,1.9232,1.487,1.2846,1.486,3.1143,0.6117,1.56,96.13,129.0
mult,1M,甲,"N=1,H=2",13.6884,5.1925,2.159,4.554,1.942,6.178,4.0986,4.08,100.0,106.0
mult_raw,1M,甲,"N=3,H=3",10.3191,1.8233,1.289,1.1848,1.003,3.4412,0.0512,2.2,100.0,104.0
price,1M,甲,"N=1,H=3",12.3363,3.8404,1.57,3.2019,1.394,3.3196,4.409,3.23,100.0,84.0
mult,3M,乙,"E=25,X=50,H=1",11.5268,3.0253,1.464,2.3118,1.073,4.247,1.6735,1.4,93.2,81.0
mult_raw,3M,乙,"E=25,X=50,H=1",10.8997,2.3981,1.252,1.6846,0.876,2.6337,2.1294,1.37,94.17,82.0
price,3M,乙,"E=30,X=95,H=1",10.1229,1.6214,0.869,0.9079,0.734,1.8874,1.321,0.68,93.2,48.0
mult,3M,甲,"N=1,H=1",12.5285,4.027,1.625,3.3135,1.341,6.8683,0.9412,2.31,100.0,60.0
mult_raw,3M,甲,"N=2,H=1",11.7876,3.2861,1.776,2.5726,1.484,5.2293,1.1554,1.89,100.0,103.0
price,3M,甲,"N=3,H=1",9.7096,1.2081,0.951,0.4946,0.801,2.0211,0.3059,1.6,100.0,103.0
