bar,arm,style,params,hand_cagr,vbt_cagr,abs_diff
1D,mult,甲,"N=1,H=1",-3.2062,-3.1957,0.0105
1D,mult,甲,"N=2,H=1",1.0281,1.0329,0.0048
1D,mult,甲,"N=3,H=1",1.4734,1.4779,0.0045
1D,price,甲,"N=1,H=1",-4.7329,-4.7229,0.01
1D,price,甲,"N=2,H=1",0.8321,0.8365,0.0044
1D,price,甲,"N=3,H=1",1.0606,1.065,0.0044
1D,mult,甲,"N=1,H=2",5.2019,5.2059,0.004
1D,mult,甲,"N=2,H=2",4.5336,4.5365,0.0029
1D,mult,甲,"N=3,H=2",5.0018,5.0036,0.0019
1D,price,甲,"N=1,H=2",2.4764,2.4817,0.0053
1D,price,甲,"N=2,H=2",4.788,4.7901,0.0021
1D,price,甲,"N=3,H=2",4.7652,4.7663,0.0011
1D,mult,甲,"N=1,H=3",9.7977,9.8003,0.0026
1D,mult,甲,"N=2,H=3",7.2197,7.2232,0.0035
1D,mult,甲,"N=3,H=3",7.8253,7.831,0.0058
1D,price,甲,"N=1,H=3",8.5891,8.5918,0.0027
1D,price,甲,"N=2,H=3",8.0069,8.0102,0.0033
1D,price,甲,"N=3,H=3",6.6853,6.691,0.0057
1D,mult,甲,"N=1,H=5",11.4899,11.4893,0.0006
1D,mult,甲,"N=2,H=5",8.0786,8.0825,0.0039
1D,mult,甲,"N=3,H=5",9.1531,9.1572,0.0041
1D,price,甲,"N=1,H=5",9.4465,9.4473,0.0008
1D,price,甲,"N=2,H=5",7.7292,7.7324,0.0032
1D,price,甲,"N=3,H=5",8.2167,8.22,0.0033
1D,mult,甲,"N=1,H=10",8.4129,8.4154,0.0025
1D,mult,甲,"N=2,H=10",8.536,8.539,0.003
1D,mult,甲,"N=3,H=10",8.3722,8.3747,0.0025
1D,price,甲,"N=1,H=10",6.2808,6.2831,0.0023
1D,price,甲,"N=2,H=10",6.9042,6.9079,0.0037
1D,price,甲,"N=3,H=10",7.2722,7.2738,0.0016
3D,mult,甲,"N=1,H=1",8.6362,8.6321,0.0041
3D,mult,甲,"N=2,H=1",9.5162,9.5136,0.0025
3D,mult,甲,"N=3,H=1",9.9659,9.964,0.0019
3D,price,甲,"N=1,H=1",8.1572,8.1507,0.0066
3D,price,甲,"N=2,H=1",9.4909,9.4879,0.003
3D,price,甲,"N=3,H=1",8.1103,8.1088,0.0016
3D,mult,甲,"N=1,H=2",8.4212,8.4169,0.0043
3D,mult,甲,"N=2,H=2",9.8894,9.8861,0.0033
3D,mult,甲,"N=3,H=2",9.7595,9.7601,0.0007
3D,price,甲,"N=1,H=2",7.6606,7.6557,0.0048
3D,price,甲,"N=2,H=2",9.4251,9.4241,0.001
3D,price,甲,"N=3,H=2",8.9995,9.0008,0.0013
3D,mult,甲,"N=1,H=3",6.5074,6.5065,0.001
3D,mult,甲,"N=2,H=3",6.4808,6.4816,0.0008
3D,mult,甲,"N=3,H=3",8.7378,8.7393,0.0015
