tier,silent,direction,field,horizon,bench,period,n,clusters,mean_diff,t,mean_resid,mean_ctrl
0.02,True,down,ALL,3,sector,all,4253,858,-0.00269,-0.609,0.00529,0.00798
0.02,True,down,ALL,3,sector,2009-2016,2028,407,0.00107,0.227,0.01209,0.01102
0.02,True,down,ALL,3,sector,2017-2026,2225,451,-0.00611,-0.846,-0.0009,0.00521
0.02,True,down,ALL,3,spy,all,4253,858,-0.00269,-0.609,0.00196,0.00465
0.02,True,down,ALL,3,spy,2009-2016,2028,407,0.00107,0.227,0.0134,0.01233
0.02,True,down,ALL,3,spy,2017-2026,2225,451,-0.00611,-0.846,-0.00847,-0.00235
0.02,True,down,ALL,6,sector,all,4234,850,-0.00477,-0.661,0.01292,0.01769
0.02,True,down,ALL,6,sector,2009-2016,2028,407,-0.00143,-0.165,0.02112,0.02254
0.02,True,down,ALL,6,sector,2017-2026,2206,443,-0.00784,-0.695,0.00538,0.01322
0.02,True,down,ALL,6,spy,all,4234,850,-0.00477,-0.661,0.00671,0.01148
0.02,True,down,ALL,6,spy,2009-2016,2028,407,-0.00143,-0.165,0.02193,0.02336
0.02,True,down,ALL,6,spy,2017-2026,2206,443,-0.00784,-0.695,-0.00728,0.00056
0.02,True,down,ALL,12,sector,all,4139,828,-0.00515,-0.39,0.03434,0.0395
0.02,True,down,ALL,12,sector,2009-2016,2028,407,0.00263,0.161,0.04821,0.04559
0.02,True,down,ALL,12,sector,2017-2026,2111,421,-0.01262,-0.615,0.02102,0.03364
0.02,True,down,ALL,12,spy,all,4139,828,-0.00515,-0.39,0.02607,0.03122
0.02,True,down,ALL,12,spy,2009-2016,2028,407,0.00263,0.161,0.04895,0.04633
0.02,True,down,ALL,12,spy,2017-2026,2111,421,-0.01262,-0.615,0.00408,0.0167
0.02,True,down,revenue,3,sector,all,2601,696,-0.00048,-0.084,0.00943,0.00991
0.02,True,down,revenue,3,sector,2009-2016,1300,335,0.00163,0.275,0.0134,0.01177
0.02,True,down,revenue,3,sector,2017-2026,1301,361,-0.0026,-0.265,0.00547,0.00806
0.02,True,down,revenue,3,spy,all,2601,696,-0.00048,-0.084,0.00395,0.00444
0.02,True,down,revenue,3,spy,2009-2016,1300,335,0.00163,0.275,0.01169,0.01006
0.02,True,down,revenue,3,spy,2017-2026,1301,361,-0.0026,-0.265,-0.00378,-0.00118
0.02,True,down,revenue,6,sector,all,2591,690,0.00054,0.057,0.02,0.01945
0.02,True,down,revenue,6,sector,2009-2016,1300,335,0.00462,0.424,0.02724,0.02262
0.02,True,down,revenue,6,sector,2017-2026,1291,355,-0.00356,-0.228,0.01271,0.01627
0.02,True,down,revenue,6,spy,all,2591,690,0.00054,0.057,0.01021,0.00966
0.02,True,down,revenue,6,spy,2009-2016,1300,335,0.00462,0.424,0.0241,0.01948
0.02,True,down,revenue,6,spy,2017-2026,1291,355,-0.00356,-0.228,-0.00378,-0.00022
0.02,True,down,revenue,12,sector,all,2526,673,0.01032,0.616,0.05298,0.04266
0.02,True,down,revenue,12,sector,2009-2016,1300,335,0.01529,0.728,0.06098,0.0457
