symbol,date,ratio
ACLS,2016-07-01,0.25
AMD,1980-10-24,2.0
AMD,1982-10-28,1.5
AMD,1983-08-23,2.0
AMD,2000-08-22,2.0
ANF,1999-06-16,2.0
ASYS,1988-04-27,0.05
ASYS,1993-06-07,0.5
ASYS,1996-04-16,2.0
ASYS,1999-03-16,0.5
BHE,1997-08-15,2.0
BHE,2003-11-14,1.5
BHE,2006-04-04,1.5
BZH,2005-03-23,3.0
BZH,2012-10-12,0.2
CHKP,2000-01-31,2.0
CHKP,2000-07-26,2.0
CHKP,2001-02-13,1.5
CLS,1999-12-22,2.0
CRK,1990-03-15,0.25
CRK,2016-08-01,0.2
DXCM,2022-06-13,4.0
FTNT,2011-06-02,2.0
FTNT,2022-06-23,5.0
GAP,1983-01-31,1.5
GAP,1986-01-03,2.0
GAP,1986-08-04,2.0
GAP,1990-10-23,2.0
GAP,1991-07-23,2.0
GAP,1996-04-11,2.0
GAP,1997-12-23,1.5
GAP,1998-12-01,1.5
GAP,1999-06-22,1.5
INTC,1980-10-09,2.0
INTC,1983-07-01,2.0
INTC,1987-10-29,1.5
INTC,1993-06-07,2.0
INTC,1995-06-19,2.0
INTC,1997-07-14,2.0
INTC,1999-04-12,2.0
INTC,2000-07-31,2.0
NBR,2006-04-18,2.0
NBR,2020-04-23,0.02
PLUG,2011-05-20,0.1
SENS,2025-10-20,0.05
