pid,cause,cause_zh,industry,base_year,winner,loser,winner_basis,loser_basis,W_mult_hold_from_base_year_end_to_peak,L_mult_hold_from_base_year_end_to_peak,W_revenue_growth_yoy,L_revenue_growth_yoy,W_revenue_accel,L_revenue_accel,W_gross_margin,L_gross_margin,W_gross_margin_direction,L_gross_margin_direction,W_net_income_positive,L_net_income_positive,W_cfo_positive,L_cfo_positive,W_dilution_yoy,L_dilution_yoy,W_net_debt_over_equity,L_net_debt_over_equity,W_liabilities_over_assets,L_liabilities_over_assets,W_ps_ratio,L_ps_ratio,W_market_cap_at_base_year_end,L_market_cap_at_base_year_end,W_revenue_latest,L_revenue_latest,W_rs12_vs_spy_at_base_year_end,L_rs12_vs_spy_at_base_year_end,W_maxdd_24m_to_base_year_end,L_maxdd_24m_to_base_year_end
P01,new_product_cycle,新產品週期,Fuel cell / distributed power,2023,BE,PLUG,strict_filed,strict_filed,20.45,0.99,0.2334,0.3963,0.009399999999999992,6.7841000000000005,0.1237,-0.2771,-0.0795,0.0639,False,False,False,False,0.0719,0.0386,-0.3897,-0.1679,0.8054,0.2956,2.2945,3.7191,2751423635.0,2608725186.0,1199125000,701440000,-0.4877,-0.898,-0.5907,-0.8588
P02,turnaround,轉身,x86 / general-purpose processors,2015,AMD,INTC,strict_filed,strict_filed,55.18,2.14,0.0391,0.06,0.06180000000000001,0.07189999999999999,0.334,0.6374,-0.0393,0.0394,False,True,False,True,0.0186,-0.008,6.5241,0.1709,,,0.4003,3.1176,2204159912.0,174179203857.0,5506000000,55870000000,0.0626,-0.0345,-0.5895,-0.2163
P03,turnaround,轉身,US mall apparel retail,2020,ANF,GAP,strict_filed,strict_filed,8.73,1.68,0.0092,-0.0119,-0.0187,-0.0576,0.5937,0.3744,-0.0079,-0.0069,True,True,True,True,-0.0486,-0.0258,-0.4149,-0.0347,,,0.3696,0.4658,1339240120.0,7631820202.0,3623073000,16383000000,0.0115,-0.026,-0.6795,-0.7187
P04,cycle_reversal,週期反轉,Appalachia / Haynesville natural gas E&P,2020,AR,CRK,strict_filed,strict_filed,7.87,6.68,0.065,2.0106,-0.06739999999999999,,,,,,False,True,True,True,-0.0305,11.7955,0.5352,2.1711,0.5413,0.6731,0.3788,1.0652,1669879942.0,818841839.0,4408690000,768689000,0.729,-0.6523,-0.9294,-0.469
P05,cycle_reversal,週期反轉,US residential construction chain,2011,BLDR,BZH,period_public,strict_filed,42.01,1.97,0.0331,-0.251,,-0.2814,0.1881,0.0648,-0.022,-0.0196,False,False,False,False,,,0.3797,,0.6136,0.8997,0.267,,187019037.0,,700343000,742405000,0.0166,-0.5588,-0.6693,-0.7702
P06,operating_leverage,經營槓桿,Enterprise cyber security,2016,FTNT,CHKP,strict_filed,strict_filed,11.93,1.72,0.3101,0.0896,0.058099999999999985,0.016600000000000004,0.7159,,0.0158,,True,True,True,True,0.0405,-0.0451,,,0.5781,0.3034,5.2566,9.5153,5305367068.0,15508460572.0,1009268000,1629838000,-0.1537,-0.0821,-0.4106,-0.1227
P07,unit_economics,單位經濟複製,US fast-casual restaurant franchising,2015,WING,LOCO,period_public,strict_filed,25.85,1.61,0.1432,0.0957,,0.023799999999999988,,,,,True,True,True,True,0.0217,0.1962,-8.798,0.7334,1.0757,0.5379,8.8617,1.2579,597713226.0,433793028.0,67449000,344861000,,-0.3799,-0.3714,-0.7218
P08,new_product_cycle,新產品週期,Continuous glucose monitoring devices,2016,DXCM,SENS,strict_filed,period_public,10.44,1.79,0.5585,,-0.07799999999999996,,0.6948,1.0,0.0091,,False,False,True,False,0.0612,2.6688,-0.3684,,0.2425,2.7881,11.8893,9840.0984,4764060061.0,373923738.0,400700000,38000,-0.391,-0.2984,-0.3658,-0.415
P09,bottleneck,樽頸(供給受限),Electronics manufacturing services / data-centre hardware,2022,CLS,BHE,strict_filed,strict_filed,36.34,3.95,-0.0197,0.0985,0.004100000000000003,0.1933,0.0864,0.0913,0.0103,0.006,True,True,True,False,-0.0186,-0.0194,,-0.146,0.6865,0.4045,0.2534,0.4272,1427909058.0,963535709.0,5634700000,2255319000,0.1943,0.1931,-0.3245,-0.2478
P10,bottleneck,樽頸(供給受限),Semiconductor capital equipment,2019,ACLS,ASYS,strict_filed,strict_filed,8.32,2.1,0.078,-0.1501,-0.45979999999999993,-0.35450000000000004,0.4059,0.3923,0.0399,0.0233,True,False,True,True,0.0169,-0.0524,-0.4003,-0.5466,0.2555,0.3086,1.8515,1.202,819448213.0,102208998.0,442575000,85035000,0.0417,0.2683,-0.4274,-0.5484
P11,cycle_reversal,週期反轉,Oilfield services,2021,WFRD,NBR,strict_filed,strict_filed,4.46,2.19,-0.2562,-0.2988,-0.11869999999999997,-0.29410000000000003,0.2988,,0.0505,,False,False,True,True,-0.9303,0.0038,,1.9863,0.8276,0.6912,0.5266,0.2682,1940399952.0,572414284.0,3685000000,2134043000,,0.1053,-0.168,-0.8544
