pid,role,symbol,status,first_month,last_month,trough_month,trough,peak_month,peak,multiple_trough_to_peak,window_end_price,multiple_trough_to_windowend,base_year,price_at_base_year_end,mult_hold_from_base_year_end_to_peak,peak_month_after_base_year,mult_hold_from_base_year_end_to_windowend,spy_mult_same_span_to_peak,rs12_vs_spy_at_base_year_end,maxdd_24m_to_base_year_end
P01,winner,BE,OK,2018-07-01,2026-09-01,2024-02-01,8.77,2026-06-01,302.7,34.52,205.67,23.45,2023,14.8,20.45,2026-06-01,13.9,1.67,-0.4877,-0.5907
P01,loser,PLUG,OK,2005-01-01,2026-09-01,2025-04-01,0.87,2026-05-01,3.95,4.54,2.1115,2.43,2023,4.5,0.99,2024-01-01,0.47,1.67,-0.898,-0.8588
P02,winner,AMD,OK,2005-01-01,2026-09-01,2015-09-01,1.72,2021-11-01,158.37,92.08,114.25,66.42,2015,2.87,55.18,2021-11-01,39.81,2.6,0.0626,-0.5895
P02,loser,INTC,OK,2005-01-01,2026-09-01,2015-08-01,22.3978,2021-03-01,58.2088,2.6,45.2789,2.02,2015,27.2263,2.14,2021-03-01,1.66,2.6,-0.0345,-0.2163
P03,winner,ANF,OK,2005-01-01,2026-09-01,2022-08-01,14.39,2024-06-01,177.84,12.36,139.385,9.69,2020,20.36,8.73,2024-06-01,6.85,2.22,0.0115,-0.6795
P03,loser,GAP,OK,2005-01-01,2026-09-01,2022-06-01,6.9156,2026-02-01,27.5861,3.99,21.855,3.16,2020,16.3809,1.68,2026-02-01,1.33,2.22,-0.026,-0.7187
P04,winner,AR,OK,2013-10-01,2026-09-01,2020-12-01,5.45,2022-05-01,42.88,7.87,39.74,7.29,2020,5.45,7.87,2022-05-01,7.29,2.22,0.729,-0.9294
P04,loser,CRK,OK,2005-01-01,2026-09-01,2020-12-01,4.1426,2025-06-01,27.67,6.68,15.705,3.79,2020,4.1426,6.68,2025-06-01,3.79,2.22,-0.6523,-0.469
P05,winner,BLDR,OK,2005-06-01,2026-09-01,2011-09-01,1.27,2021-12-01,85.71,67.49,67.99,53.54,2011,2.04,42.01,2021-12-01,33.33,4.58,0.0166,-0.6693
P05,loser,BZH,OK,2005-01-01,2026-09-01,2020-03-01,6.44,2021-05-01,23.81,3.7,18.24,2.83,2011,12.4,1.97,2013-12-01,1.47,4.58,-0.5588,-0.7702
P06,winner,FTNT,OK,2009-11-01,2026-09-01,2016-12-01,6.024,2021-12-01,71.88,11.93,56.58,9.39,2016,6.024,11.93,2021-12-01,9.39,2.32,-0.1537,-0.4106
P06,loser,CHKP,OK,2005-01-01,2026-09-01,2016-12-01,84.46,2022-02-01,144.88,1.72,121.78,1.44,2016,84.46,1.72,2022-02-01,1.44,2.32,-0.0821,-0.1227
P07,winner,WING,OK,2015-06-01,2026-09-01,2016-03-01,16.0529,2024-06-01,417.3858,26.0,333.7455,20.79,2015,16.1449,25.85,2024-06-01,20.67,3.56,,-0.3714
P07,loser,LOCO,OK,2014-07-01,2026-09-01,2020-03-01,7.3183,2021-01-01,17.6246,2.41,11.01,1.5,2015,10.9385,1.61,2021-01-01,1.01,3.56,-0.3799,-0.7218
P08,winner,DXCM,OK,2005-04-01,2026-09-01,2017-10-01,11.2425,2021-10-01,155.8025,13.86,107.62,9.57,2016,14.925,10.44,2021-10-01,7.21,2.32,-0.391,-0.3658
P08,loser,SENS,OK,2015-12-01,2026-09-01,2020-11-01,7.4,2021-08-01,80.2,10.84,53.6,7.24,2016,53.4,1.79,2018-09-01,1.0,2.32,-0.2984,-0.415
P09,winner,CLS,OK,2005-01-01,2026-09-01,2022-09-01,8.41,2026-04-01,409.59,48.7,291.81,34.7,2022,11.27,36.34,2026-04-01,25.89,2.1,0.1943,-0.3245
P09,loser,BHE,OK,2005-01-01,2026-09-01,2023-04-01,20.1322,2026-06-01,98.67,4.9,69.95,3.47,2022,24.9887,3.95,2026-06-01,2.8,2.1,0.1931,-0.2478
P10,winner,ACLS,OK,2005-01-01,2026-09-01,2019-06-01,15.05,2023-07-01,200.48,13.32,142.19,9.45,2019,24.1,8.32,2023-07-01,5.9,1.81,0.0417,-0.4274
P10,loser,ASYS,OK,2005-01-01,2026-09-01,2024-01-01,4.08,2024-05-01,6.42,1.57,5.86,1.44,2019,7.16,2.1,2021-10-01,0.82,1.81,0.2683,-0.5484
P11,winner,WFRD,OK,2021-01-01,2026-09-01,2021-01-01,6.593,2024-04-01,119.8572,18.18,96.46,14.63,2021,26.8762,4.46,2024-04-01,3.59,1.72,,-0.168
P11,loser,NBR,OK,2005-01-01,2026-09-01,2025-05-01,25.81,2026-04-01,102.61,3.98,93.09,3.61,2021,81.09,2.19,2023-01-01,1.15,1.72,0.1053,-0.8544
