ticker,industry,sector,longName,shortName,status,fetchedAt
ACI,Grocery Stores,Consumer Defensive,"Albertsons Companies, Inc.","Albertsons Companies, Inc.",ok,2026-09-03T03:29:38+00:00
ACLS,Semiconductor Equipment & Materials,Technology,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc.",ok,2026-09-03T03:29:38+00:00
AGI,Gold,Basic Materials,Alamos Gold Inc.,Alamos Gold Inc.,ok,2026-09-03T03:29:38+00:00
AM,Oil & Gas Midstream,Energy,Antero Midstream Corporation,Antero Midstream Corporation,ok,2026-09-03T03:29:38+00:00
APLD,Information Technology Services,Technology,Applied Digital Corporation,Applied Digital Corporation,ok,2026-09-03T03:29:38+00:00
AR,Oil & Gas E&P,Energy,Antero Resources Corporation,Antero Resources Corporation,ok,2026-09-03T03:29:38+00:00
ARRY,Solar,Technology,"Array Technologies, Inc.","Array Technologies, Inc.",ok,2026-09-03T03:29:38+00:00
ASPI,Specialty Chemicals,Basic Materials,ASP Isotopes Inc.,ASP Isotopes Inc.,ok,2026-09-03T03:29:38+00:00
AWI,Building Products & Equipment,Industrials,"Armstrong World Industries, Inc.",Armstrong World Industries Inc,ok,2026-09-03T03:29:38+00:00
BILI,Internet Content & Information,Communication Services,Bilibili Inc.,Bilibili Inc.,ok,2026-09-03T03:29:38+00:00
BJ,Discount Stores,Consumer Defensive,"BJ's Wholesale Club Holdings, Inc.","BJ's Wholesale Club Holdings, I",ok,2026-09-03T03:29:38+00:00
BP,Oil & Gas Integrated,Energy,BP p.l.c.,BP p.l.c.,ok,2026-09-03T03:29:38+00:00
BURL,Apparel Retail,Consumer Cyclical,"Burlington Stores, Inc.","Burlington Stores, Inc.",ok,2026-09-03T03:29:38+00:00
BYD,Resorts & Casinos,Consumer Cyclical,Boyd Gaming Corporation,Boyd Gaming Corporation,ok,2026-09-03T03:29:38+00:00
CART,Internet Retail,Consumer Cyclical,Maplebear Inc.,Maplebear Inc.,ok,2026-09-03T03:29:38+00:00
CHDN,Gambling,Consumer Cyclical,Churchill Downs Incorporated,"Churchill Downs, Incorporated",ok,2026-09-03T03:29:38+00:00
CHRD,Oil & Gas E&P,Energy,Chord Energy Corporation,Chord Energy Corporation,ok,2026-09-03T03:29:38+00:00
CMC,Metal Fabrication,Industrials,Commercial Metals Company,Commercial Metals Company,ok,2026-09-03T03:29:38+00:00
CNI,Railroads,Industrials,Canadian National Railway Company,Canadian National Railway Compa,ok,2026-09-03T03:29:38+00:00
CORZ,Software - Infrastructure,Technology,"Core Scientific, Inc.","Core Scientific, Inc.",ok,2026-09-03T03:29:38+00:00
CP,Railroads,Industrials,Canadian Pacific Kansas City Limited,Canadian Pacific Kansas City Li,ok,2026-09-03T03:29:38+00:00
CRDO,Semiconductors,Technology,Credo Technology Group Holding Ltd,Credo Technology Group Holding ,ok,2026-09-03T03:29:38+00:00
CSIQ,Solar,Technology,Canadian Solar Inc.,Canadian Solar Inc.,ok,2026-09-03T03:29:38+00:00
DAO,Education & Training Services,Consumer Defensive,"Youdao, Inc.","Youdao, Inc.",ok,2026-09-03T03:29:38+00:00
DFDV,Asset Management,Financial Services,DeFi Development Corp.,DeFi Development Corp.,ok,2026-09-03T03:29:38+00:00
DNN,Uranium,Energy,Denison Mines Corp.,Denison Mines Corp,ok,2026-09-03T03:29:38+00:00
DORM,Auto Parts,Consumer Cyclical,"Dorman Products, Inc.","Dorman Products, Inc.",ok,2026-09-03T03:29:38+00:00
