feature,year,AUC,n_cells,n_10x
n2_ratio,2011,0.6998,2435,39
n2_ratio,2012,0.7011,4930,79
n2_ratio,2013,0.5908,5653,43
n2_ratio,2014,0.6715,6267,58
n2_ratio,2015,0.6716,6862,120
n2_ratio,2016,0.6809,7254,291
n2_ratio,2017,0.6371,7767,378
n2_ratio,2018,0.6454,8524,351
n2_ratio,2019,0.5985,9528,414
n2_ratio,2020,0.4788,10328,619
n2_ratio,2021,0.5713,7402,115
n1_ratio,2011,0.593,3738,102
n1_ratio,2012,0.629,8361,207
n1_ratio,2013,0.6581,9396,157
n1_ratio,2014,0.7311,10315,159
n1_ratio,2015,0.6703,11374,293
n1_ratio,2016,0.6246,12116,654
n1_ratio,2017,0.6103,12806,740
n1_ratio,2018,0.6054,14143,669
n1_ratio,2019,0.6113,16104,841
n1_ratio,2020,0.5285,17437,982
n1_ratio,2021,0.491,12741,180
