step,year,AUC,n_cells,n_10x
④補前,2011,0.6934,2152,31
④補前,2012,0.7107,4299,70
④補前,2013,0.6069,5047,41
④補前,2014,0.6846,5595,47
④補前,2015,0.7052,6047,90
④補前,2016,0.6896,6386,245
④補前,2017,0.6431,6959,335
④補前,2018,0.6669,7499,301
④補前,2019,0.5755,8409,325
④補前,2020,0.4544,9083,522
④補前,2021,0.6198,6556,98
④補後,2011,0.6998,2435,39
④補後,2012,0.7011,4930,79
④補後,2013,0.5908,5653,43
④補後,2014,0.6715,6267,58
④補後,2015,0.6716,6862,120
④補後,2016,0.6809,7254,291
④補後,2017,0.6371,7767,378
④補後,2018,0.6454,8524,351
④補後,2019,0.5985,9528,414
④補後,2020,0.4788,10328,619
④補後,2021,0.5713,7402,115
