step,year,AUC,n_cells,n_10x
①補前,2011,0.0761,2410,5
①補前,2012,0.9761,2871,8
①補前,2013,0.8312,2698,6
①補前,2014,0.511,3196,14
①補前,2015,0.6116,3042,33
①補前,2016,0.6862,3139,69
①補前,2017,0.7533,3612,67
①補前,2018,0.6699,3710,50
①補前,2019,0.7717,3397,53
①補前,2020,0.5546,3994,92
①補前,2021,0.5794,1852,38
①補後,2011,0.0708,2589,5
①補後,2012,0.9718,3013,8
①補後,2013,0.823,2849,6
①補後,2014,0.4887,3383,14
①補後,2015,0.5949,3201,33
①補後,2016,0.6699,3278,69
①補後,2017,0.735,3771,67
①補後,2018,0.6494,3895,50
①補後,2019,0.7528,3571,53
①補後,2020,0.5695,4178,101
①補後,2021,0.5794,1922,42
②補前,2014,0.5094,2510,14
②補前,2015,0.4727,2366,22
②補前,2016,0.5788,2363,35
②補前,2017,0.7775,2741,51
②補前,2018,0.7632,2780,42
②補前,2019,0.8161,2554,46
②補前,2020,0.4775,3008,76
②補前,2021,0.5462,1388,33
②補後,2014,0.4671,2789,14
②補後,2015,0.4405,2583,22
②補後,2016,0.5767,2607,40
②補後,2017,0.7278,3036,52
②補後,2018,0.7113,3131,43
②補後,2019,0.7733,2919,47
②補後,2020,0.5205,3479,93
②補後,2021,0.5167,1588,36
③補前,2015,0.9823,270,8
③補前,2016,0.7971,281,19
③補前,2017,0.8355,324,18
③補前,2018,0.8522,324,11
③補前,2019,0.8446,288,8
③補前,2020,0.4269,326,9
③補後,2015,0.9667,278,8
③補後,2016,0.7883,289,19
③補後,2017,0.822,333,18
③補後,2018,0.8357,333,11
③補後,2019,0.8268,296,8
③補後,2020,0.4151,335,9
