ticker,cik,reason,name
AEP,0000004904,交易所欄空白(E3),AMERICAN ELECTRIC POWER CO INC
EA,,不在證監會 2026-09-02 代號快照,
FMCC,0001026214,只有 OTC(E3),FEDERAL HOME LOAN MORTGAGE CORP
FNMA,0000310522,只有 OTC(E3),FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE
GTBIF,0001795139,只有 OTC(E3),Green Thumb Industries Inc.
HONA,0002089271,無年報(I3),Honeywell Aerospace Inc.
IEF,,不在證監會 2026-09-02 代號快照,
NXG,0001506488,無年報(I3),NXG NextGen Infrastructure Income Fund
SPCX,0001181412,無年報(I3),SPACE EXPLORATION TECHNOLOGIES CORP
SPY,0000884394,無年報(I3),SPDR S&P 500 ETF TRUST
XLB,,不在證監會 2026-09-02 代號快照,
XLE,,不在證監會 2026-09-02 代號快照,
XLF,,不在證監會 2026-09-02 代號快照,
XLI,,不在證監會 2026-09-02 代號快照,
XLK,,不在證監會 2026-09-02 代號快照,
XLP,,不在證監會 2026-09-02 代號快照,
XLU,,不在證監會 2026-09-02 代號快照,
XLV,,不在證監會 2026-09-02 代號快照,
XLY,,不在證監會 2026-09-02 代號快照,
XOM,0002115436,無年報(I3),ExxonMobil Holdings Corp
close,,不在證監會 2026-09-02 代號快照,
close_unadjusted,,不在證監會 2026-09-02 代號快照,
volume,,不在證監會 2026-09-02 代號快照,
