entity_id,name,entity_type,sic,sic_description,first_filing_date,last_filing_date
0000002230,"ADAMS DIVERSIFIED EQUITY FUND, INC.",other,,,1996-01-26,2026-07-30
0000005094,Invesco Bond Fund,other,,,1995-02-14,2026-08-21
0000009521,BANCROFT FUND LTD,other,,,1995-12-05,2026-08-31
0000018748,CENTRAL SECURITIES CORP,other,,,1996-02-08,2026-08-28
0000033934,CORNERSTONE TOTAL RETURN FUND INC,other,,,1997-01-15,2026-09-01
0000040417,GENERAL AMERICAN INVESTORS CO INC,other,,,1996-02-05,2026-08-13
0000065433,MEXICO FUND INC,other,,,1995-12-20,2026-08-25
0000075398,Western Asset Investment Grade Income Fund Inc.,other,,,1994-02-28,2026-08-26
0000091847,SOURCE CAPITAL /DE/,other,,,1995-11-16,2026-08-26
0000099614,TRI-CONTINENTAL Corp,other,,,1994-03-02,2026-08-28
0000102426,"SRH Total Return Fund, Inc.",other,,,1996-02-22,2026-08-07
0000216851,"ADAMS NATURAL RESOURCES FUND, INC.",other,,,1996-02-08,2026-07-30
0000275694,BARINGS CORPORATE INVESTORS,other,,,1994-02-24,2026-08-31
0000748691,KOREA FUND INC,other,,,1994-02-25,2026-08-28
0000759828,JOHN HANCOCK INVESTORS TRUST,other,,,1994-02-25,2026-08-14
0000759866,JOHN HANCOCK INCOME SECURITIES TRUST,other,,,1994-02-25,2026-08-14
0000779336,"ABRDN AUSTRALIA EQUITY FUND, INC.",other,,,1995-07-11,2026-08-21
0000786035,LIBERTY ALL STAR GROWTH FUND INC.,other,,,1995-02-28,2026-08-26
0000790500,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",other,,,1995-06-19,2026-08-21
0000791718,"EUROPEAN EQUITY FUND, INC / MD",other,,,1994-09-15,2026-08-28
0000793040,ELLSWORTH GROWTH & INCOME FUND LTD,other,0000,,1995-11-13,2026-09-01
0000794685,GABELLI EQUITY TRUST INC,other,,,1995-04-03,2026-08-31
0000799195,LIBERTY ALL STAR EQUITY FUND,other,,,1994-02-25,2026-08-26
0000801961,ABERDEEN MUNICIPAL INCOME FUND,other,,,1995-02-28,2026-08-21
0000804116,"ROYCE SMALL-CAP TRUST, INC.",other,,,1995-05-11,2026-08-26
0000804123,TAIWAN FUND INC,other,,,1994-03-23,2026-08-20
0000805267,abrdn Healthcare Investors,other,,,1995-12-13,2026-08-28
0000806628,DNP SELECT INCOME FUND INC,other,,,1995-08-15,2026-08-07
0000809173,ABERDEEN MULTI-MARKET INCOME FUND,other,,,1995-02-28,2026-08-21
0000809559,TCW STRATEGIC INCOME FUND INC,other,,,1995-03-01,2026-08-27
0000809708,TEMPLETON EMERGING MARKETS FUND,other,,,1994-04-26,2026-08-21
0000810766,"CREDIT SUISSE ASSET MANAGEMENT INCOME FUND, INC.",other,,,1995-02-28,2026-08-28
0000810943,HIGH INCOME SECURITIES FUND,other,0000,,1994-04-27,2026-08-21
0000811922,ABERDEEN GOVERNMENT MARKETS INCOME FUND,other,,,1994-01-31,2026-08-21
0000813623,Total Return Securities Fund,other,,,1995-02-27,2026-09-01
0000814083,"Cornerstone Strategic Investment Fund, Inc.",other,0000,,1995-02-24,2026-09-01
0000818850,NUVEEN NEW YORK MUNICIPAL VALUE FUND,other,,,1995-05-31,2026-09-01
0000818851,NUVEEN CALIFORNIA MUNICIPAL VALUE FUND,other,,,1995-04-28,2026-08-31
0000818972,"BNY MELLON STRATEGIC MUNICIPALS, INC.",other,,,1994-05-23,2026-08-21
0000825202,SPROTT FOCUS TRUST INC.,other,,,1995-08-29,2026-08-26
0000826020,Saba Capital Income & Opportunities Fund,other,,,1996-02-02,2026-08-31
0000826735,ABERDEEN INTERMEDIATE INCOME FUND,other,,,1994-06-29,2026-08-21
0000827773,FRANKLIN PREMIER INCOME TRUST,other,,,1994-03-28,2026-08-21
0000828803,Saba Capital Income & Opportunities Fund II,other,,,1994-04-26,2026-08-31
0000830271,NUVEEN MUNICIPAL INCOME FUND INC,other,,,1995-06-14,2026-09-01
0000830487,WESTERN ASSET MUNICIPAL HIGH INCOME FUND INC.,other,,,1994-01-04,2026-08-14
0000830622,FRANKLIN MASTER INTERMEDIATE INCOME TRUST,other,,,1994-05-25,2026-08-27
0000831655,BARINGS PARTICIPATION INVESTORS,other,,,1994-02-24,2026-08-28
0000832327,"BLACKROCK INCOME TRUST, INC.",other,,,1994-12-30,2026-08-26
0000833040,FRANKLIN UNIVERSAL TRUST,other,,,1994-10-28,2026-08-21
0000835333,Invesco Municipal Income Opportunities Trust,other,,,1994-01-25,2026-08-21
0000836412,Virtus Total Return Fund Inc.,other,,,1995-06-08,2026-08-27
0000838131,Nuveen Multi-Market Income Fund,other,0000,,1994-12-28,2026-09-01
0000844790,FRANKLIN MANAGED MUNICIPAL INCOME TRUST,other,,,1994-01-07,2026-08-21
0000845611,GABELLI CONVERTIBLE & INCOME SECURITIES FUND INC,operating,,,1994-02-28,2026-08-31
0000846671,Invesco High Income Trust II,other,,,1994-08-29,2026-08-25
0000846676,"abrdn Emerging Markets ex-China Fund, Inc.",other,,,1994-02-01,2026-08-28
0000850027,"EAGLE CAPITAL GROWTH FUND, INC.",other,,,1996-03-01,2026-08-20
0000855886,JOHN HANCOCK PREMIUM DIVIDEND FUND,other,,,1994-06-29,2026-08-05
0000855887,"BNY MELLON STRATEGIC MUNICIPAL BOND FUND, INC.",other,,,1994-01-27,2026-07-31
0000858706,NEW GERMANY FUND INC,other,,,1994-08-30,2026-08-28
0000859796,JAPAN SMALLER CAPITALIZATION FUND INC,other,,,1996-04-23,2026-08-31
0000860489,"CENTRAL & EASTERN EUROPE FUND, INC.",other,,,1994-12-23,2026-08-31
0000863900,MEXICO EQUITY & INCOME FUND INC,other,,,1994-03-29,2026-08-21
0000868578,FLAHERTY & CRUMRINE PREFERRED & INCOME FUND INC,other,,,1996-01-26,2026-08-06
0000877463,Invesco Municipal Trust,other,,,1994-04-29,2026-08-21
0000879535,DTF TAX-FREE INCOME 2028 TERM FUND INC,other,,,1995-12-29,2026-08-11
0000880406,"Herzfeld Credit Income Fund, Inc",other,,,1995-08-28,2026-08-31
0000880892,Invesco Trust for Investment Grade Municipals,other,,,1994-06-29,2026-08-25
0000882071,Flaherty & Crumrine PREFERRED & INCOME OPPORTUNITY FUND INC,other,,,1996-01-26,2026-08-06
0000882150,"BLACKROCK MUNIYIELD NEW YORK QUALITY FUND, INC.",other,,,1994-05-09,2026-08-26
0000882300,WESTERN ASSET INTERMEDIATE MUNI FUND INC.,other,,,1994-02-23,2026-08-14
0000883265,Invesco Trust for Investment Grade New York Municipals,other,,,1994-06-29,2026-09-01
0000883412,"BLACKROCK MUNIYIELD QUALITY FUND III, INC.",other,,,1994-06-22,2026-08-26
0000883618,NUVEEN SELECT TAX FREE INCOME PORTFOLIO,other,,,1995-05-31,2026-09-01
0000884121,abrdn Life Sciences Investors,other,,,1995-12-13,2026-08-28
0000884152,Invesco Municipal Opportunity Trust,other,,,1994-06-29,2026-08-21
0000884394,SPDR S&P 500 ETF TRUST,other,,,1996-01-19,2026-08-28
0000885125,Invesco Quality Municipal Income Trust,other,,,1994-06-22,2026-08-21
0000885601,Invesco Value Municipal Income Trust,other,,,1994-06-23,2026-08-21
0000886043,WESTERN ASSET MANAGED MUNICIPALS FUND INC.,other,,,1994-01-21,2026-08-14
0000890119,NUVEEN SELECT MATURITIES MUNICIPAL FUND,other,,,1995-02-06,2026-09-01
0000890196,"BLACKROCK MUNIYIELD QUALITY FUND, INC.",other,,,1994-05-09,2026-08-26
0000890393,"BLACKROCK MUNIYIELD MICHIGAN QUALITY FUND, INC.",other,,,1994-04-07,2026-08-26
0000891038,BLACKROCK MUNIYIELD PENNSYLVANIA QUALITY FUND,other,,,1994-04-06,2026-08-26
0000891290,COHEN & STEERS TOTAL RETURN REALTY FUND INC,other,,,1995-02-28,2026-08-31
0000892992,NUVEEN ARIZONA QUALITY MUNICIPAL INCOME FUND,other,,,1995-03-31,2026-08-31
0000895528,Invesco Pennsylvania Value Municipal Income Trust,other,,,1994-06-29,2026-08-21
0000895531,Invesco California Value Municipal Income Trust,other,,,1994-06-29,2026-08-21
0000897419,NUVEEN MASSACHUSETTS QUALITY MUNICIPAL INCOME FUND,other,0000,,1995-02-02,2026-09-01
0000897421,NUVEEN VIRGINIA QUALITY MUNICIPAL INCOME FUND,other,0000,,1995-02-02,2026-09-01
0000897802,"SPECIAL OPPORTUNITIES FUND, INC.",other,,,1994-05-26,2026-08-31
0000900422,FRANKLIN MUNICIPAL OPPORTUNITIES TRUST,other,,,1994-06-29,2026-08-21
0000901243,"BLACKROCK MUNIASSETS FUND, INC.",other,,,1994-01-25,2026-08-26
0000904112,MORGAN STANLEY EMERGING MARKETS DEBT FUND INC,other,,,1994-03-10,2026-09-02
0000906013,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC,other,,,1994-05-26,2026-08-28
0000908187,"PCM FUND, INC.",other,,,1994-02-28,2026-08-31
0000908993,Invesco Advantage Municipal Income Trust II,other,,,1994-06-29,2026-09-01
0000909112,TEMPLETON EMERGING MARKETS INCOME FUND,other,,,1994-04-27,2026-08-28
0000910068,WESTERN ASSET HIGH INCOME OPPORTUNITY FUND INC.,other,,,1994-05-23,2026-08-27
0000912147,"ROYCE MICRO-CAP TRUST, INC.",other,,,1995-05-10,2026-08-26
0000916183,"PIMCO STRATEGIC INCOME FUND, INC.",other,,,1994-06-29,2026-08-31
0000916618,"MORGAN STANLEY INDIA INVESTMENT FUND, INC.",other,,,1994-09-13,2026-09-02
0000917100,"ABERDEEN INDIA FUND, INC.",other,,,1994-08-29,2026-08-28
0000919567,"RENN Fund, Inc.",operating,,,1996-04-01,2026-09-02
0000919893,TEMPLETON DRAGON FUND INC,other,,,1994-11-29,2026-08-28
0000921671,GABELLI MULTIMEDIA TRUST INC.,other,,,1995-03-01,2026-08-31
0000925683,JOHN HANCOCK FINANCIAL OPPORTUNITIES FUND,other,,,1994-12-30,2026-08-27
0000936958,SPDR S&P MIDCAP 400 ETF TRUST,other,,,1996-01-19,2026-08-27
0001034665,"BLACKROCK MUNIHOLDINGS FUND, INC.",other,,,1997-03-03,2026-08-26
0001041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,other,,,1997-07-14,2026-06-30
0001051003,"BLACKROCK DEBT STRATEGIES FUND, INC.",other,,,1998-01-12,2026-08-28
0001051004,"BLACKROCK MUNIHOLDINGS CALIFORNIA QUALITY FUND, INC.",other,,,1997-12-23,2026-08-26
0001053988,"BLACKROCK MUNIHOLDINGS NEW JERSEY QUALITY FUND, INC.",other,,,1998-01-30,2026-08-26
0001057861,BNY MELLON HIGH YIELD STRATEGIES FUND,other,,,1998-03-17,2026-08-21
0001058239,WESTERN ASSET HIGH INCOME FUND II INC.,other,,,1998-03-20,2026-08-14
0001059386,Invesco Senior Income Trust,other,,,1998-04-09,2026-08-21
0001061353,CREDIT SUISSE HIGH YIELD CREDIT FUND,other,,,1998-05-11,2026-08-21
0001070732,Eaton Vance Senior Income Trust,other,,,1998-09-23,2026-08-31
0001074540,Eaton Vance Municipal Income Trust,other,,,1998-12-11,2026-08-03
0001074692,Eaton Vance California Municipal Income Trust,other,,,1998-12-11,2026-08-03
0001074769,NUVEEN NEW YORK QUALITY MUNICIPAL INCOME FUND,other,,,1998-12-07,2026-09-02
0001074952,Nuveen California Quality Municipal Income Fund,other,,,1998-12-16,2026-08-31
0001080720,GABELLI UTILITY TRUST,other,,,1999-02-26,2026-08-31
0001083839,Nuveen Quality Municipal Income Fund,other,,,1999-04-16,2026-09-01
0001090116,Nuveen AMT-Free Municipal Credit Income Fund,other,0000,,1999-07-16,2026-08-28
0001137887,Nuveen Municipal Credit Income Fund,other,,,2001-04-11,2026-09-01
0001140411,PIMCO CALIFORNIA MUNICIPAL INCOME FUND,other,,,2001-05-21,2026-08-31
0001157842,COHEN & STEERS QUALITY INCOME REALTY FUND INC,other,,,2001-08-22,2026-08-31
0001158289,NUVEEN REAL ESTATE INCOME FUND,other,,,2001-09-05,2026-09-01
0001160864,BLACKROCK CORE BOND TRUST,other,,,2001-10-18,2026-08-26
