tercile,feature,n_cells,n_10x,AUC_full,AUC_year_weighted
細,s1_net_cash_to_mcap,11854,310,0.6406,0.6332
細,s2_runway_yrs,12776,359,0.4254,0.4041
細,s3_tangible_nav_to_mcap,15057,382,0.4975,0.5242
細,s2b_runway_cfo_yrs,13644,363,0.4057,0.4012
細,s3b_book_nav_to_mcap,15057,382,0.4427,0.4757
細,log_mcap,15092,382,0.2031,0.1063
細,in_index,15092,382,0.3256,0.4208
細,shares_chg_12m,13104,332,0.6116,0.6895
細,T1 誤殺/剔走,11854,310,0.5065,0.7863
細,T2 誤殺/剔走,12776,359,0.1532,0.0804
細,T3 誤殺/剔走,15057,382,0.6728,0.6449
細,T_prac 誤殺/剔走,15087,382,0.7775,0.8519
中,s1_net_cash_to_mcap,11717,39,0.7201,0.6871
中,s2_runway_yrs,12771,56,0.5187,0.5305
中,s3_tangible_nav_to_mcap,14994,57,0.5715,0.629
中,s2b_runway_cfo_yrs,13772,56,0.5036,0.4908
中,s3b_book_nav_to_mcap,14994,57,0.4149,0.4605
中,log_mcap,15085,57,0.4617,0.4223
中,in_index,15085,57,0.5317,0.5419
中,shares_chg_12m,13902,56,0.6033,0.5924
中,T1 誤殺/剔走,11717,39,0.8718,0.8559
中,T2 誤殺/剔走,12771,56,0.0179,0.0717
中,T3 誤殺/剔走,14994,57,0.5263,0.6751
中,T_prac 誤殺/剔走,15033,57,0.7193,0.8774
大,s1_net_cash_to_mcap,11920,87,0.6775,0.6988
大,s2_runway_yrs,12265,87,0.3507,0.3392
大,s3_tangible_nav_to_mcap,15059,89,0.4101,0.5106
大,s2b_runway_cfo_yrs,13571,89,0.3622,0.3557
大,s3b_book_nav_to_mcap,15059,89,0.1876,0.2432
大,log_mcap,15089,89,0.6816,0.6289
大,in_index,15089,89,0.3042,0.2837
大,shares_chg_12m,14026,88,0.8466,0.8581
大,T1 誤殺/剔走,11920,87,0.7931,0.8361
大,T2 誤殺/剔走,12265,87,0.2644,0.0347
大,T3 誤殺/剔走,15059,89,0.9775,0.7009
大,T_prac 誤殺/剔走,15087,89,0.9888,0.8761
