ticker,split_date,ratio,ratio_log10,index_left,event_after_index_exit,resolved_cik,correct_owner,ticker_verdict,panel_cells_of_ticker,action,note
PARA,2024-09-19,0.02,-1.699,2025-08-08,False,0001826011,代號的另一使用者(不是 Paramount Global),確證代號重用,66,由拆股事件表剔走(對成分期那家而言),Paramount Global 由 2022 至 2025 從未做過反向拆股;這三次 1:50、1:10、1:20 屬代號現時解析到的 Banzai International 一系
PARA,2025-07-08,0.1,-1.0,2025-08-08,False,0001826011,代號的另一使用者(不是 Paramount Global),確證代號重用,66,由拆股事件表剔走(對成分期那家而言),Paramount Global 由 2022 至 2025 從未做過反向拆股;這三次 1:50、1:10、1:20 屬代號現時解析到的 Banzai International 一系
PARA,2026-05-08,0.05,-1.301,2025-08-08,True,0001826011,代號的另一使用者(不是 Paramount Global),確證代號重用,66,由拆股事件表剔走(對成分期那家而言),Paramount Global 由 2022 至 2025 從未做過反向拆股;這三次 1:50、1:10、1:20 屬代號現時解析到的 Banzai International 一系
CPWR,2017-03-28,0.004,-2.398,2012-01-03,True,0000827099,代號後來的使用者(不是成分期那家),確證代號重用,180,由拆股事件表剔走(對成分期那家而言),
CPWR,2017-05-25,2.16759,0.336,2012-01-03,True,0000827099,代號後來的使用者(不是成分期那家),確證代號重用,180,由拆股事件表剔走(對成分期那家而言),
EP,2013-08-12,0.08333333333333333,-1.079,2012-05-25,True,0000887396,代號後來的使用者(不是成分期那家),確證代號重用,181,由拆股事件表剔走(對成分期那家而言),
EP,2022-03-08,0.25,-0.602,2012-05-25,True,0000887396,代號後來的使用者(不是成分期那家),確證代號重用,181,由拆股事件表剔走(對成分期那家而言),
NKTR,2000-08-23,2.0,0.301,2019-10-03,False,0000906709,成分期那家(事件在成分期內),"訊號假陽性,同一家公司",185,保留:同一家公司自己的拆股,
NKTR,2025-06-09,0.06666666666666667,-1.176,2019-10-03,True,0000906709,代號後來的使用者(不是成分期那家),"訊號假陽性,同一家公司",185,保留:同一家公司自己的拆股,
ERIE,1996-05-13,3.0,0.477,,False,0000922621,成分期那家(事件在成分期內),"訊號假陽性,同一家公司",193,保留:同一家公司自己的拆股,
NBR,2006-04-18,2.0,0.301,2015-03-23,False,0001163739,成分期那家(事件在成分期內),"訊號假陽性,同一家公司",206,保留:同一家公司自己的拆股,
NBR,2020-04-23,0.02,-1.699,2015-03-23,True,0001163739,代號後來的使用者(不是成分期那家),"訊號假陽性,同一家公司",206,保留:同一家公司自己的拆股,
