ticker,t0,mcap_old,src_old,mcap_new,mcap_missing_reason,shares_filed_date,用了事後股數,rel
MARA,2020-03-31,23219905.784882545,sec_frames(2020),3806451.3491634727,none,2020-03-24,False,0.8360694748536971
CLSK,2020-03-31,28349521.26481998,sec_frames(2020),5754006.559926629,none,2020-02-10,False,0.7970333782296706
CZR,2015-01-30,103387459.99196292,panel_ffill,184164063.89338493,none,2014-11-14,False,0.43861219281186514
RIOT,2020-03-31,42422333.66155571,sec_frames(2020),25851578.6971848,none,2020-03-25,False,0.39061394162263596
CDNA,2017-04-28,24877994.656353477,sec_frames(2017),18511550.381459717,none,2016-11-14,False,0.2559066501474573
DVN,2020-03-31,2010086231.2316892,panel,2645838941.5740967,none,2020-02-19,False,0.2402839796303615
PLUG,2017-01-31,242178498.5668249,sec_frames(2017),191281449.09432745,none,2016-11-08,False,0.21016337029793467
MTG,2012-08-31,201799035.03297043,sec_frames(2012),238397636.1230049,none,2012-08-09,False,0.1535191442550667
MPC,2020-03-31,12987914367.67578,panel,15341284245.625422,none,2020-02-28,False,0.1534010999516359
WULF,2020-03-31,5526328.719080925,sec_frames(2020),6482441.0634560585,none,2020-03-03,False,0.14749263973491342
OVV,2020-03-31,599056307.3618474,sec_frames(2020),701517093.0892375,none,2020-02-21,False,0.14605600738278288
GME,2020-03-31,306250000.0,panel,357941290.0,none,2020-03-27,False,0.14441276109833542
TRGP,2020-03-31,1404920500.5168917,panel,1610348114.659996,none,2020-02-20,False,0.1275672087749037
NBR,2020-04-30,5179318249.042511,panel,4675658526.914726,none,2019-02-28,False,0.09724440513399522
WSM,2020-03-31,2970349078.845978,panel,3282445431.458294,none,2020-03-27,False,0.09508043899869523
REGN,2010-08-31,1911302125.533966,sec_frames(2010),1756890047.3103523,none,2010-07-28,False,0.08078894286819002
VST,2021-05-28,7179580071.852028,panel_ffill,7794829677.837879,none,2021-05-04,False,0.07893047461128214
UEC,2020-10-30,171048094.64518905,sec_frames(2020),158401613.83482933,none,2020-06-09,False,0.07393523345929545
AVGO,2020-10-30,131127118072.50977,panel_ffill,141425805418.7344,none,2020-09-11,False,0.07282042563400803
ENPH,2017-05-31,58254759.2689991,panel,62719227.9729774,none,2017-03-16,False,0.07118181853102239
