ticker,t0,multiple_old,t0_price_old,entity_id,match_note,宇宙分段,price_date,t0_close,t0_adj_close,multiple_new,drawdown_new,window_rows,has_panel_at_t0,split_factor,split_table_absent,shares_filed,shares_filed_date,shares_period_end,currency,mcap,mcap_missing_reason,n1,n1_reason,n2,n2_reason,panel_filed_date,in_index,in_v1,U1,U2,U3,U0,U5
ENPH,2017-05-31,352.29,0.76,0001463101,唯一,既有574,2017-05-31,0.7599999904632568,0.7599999904632568,352.2894652553541,0.0,1259.0,True,1.0,True,82525301.0,2017-03-16,2016-12-31,USD,62719227.9729774,none,False,sti_missing_as_zero,False,none,2017-03-16,False,True,False,True,False,False,True
MARA,2020-03-31,169.09,0.45,0001507605,唯一,新增154,2020-03-31,0.44999998807907104,0.44999998807907104,169.0888852301938,-0.11111107431811951,1256.0,True,1.0,True,8458781.0,2020-03-24,2019-12-31,USD,3806451.3491634727,none,False,sti_missing_as_zero,False,st_debt_missing_as_zero,2020-03-24,False,True,False,True,False,False,True
EP,2017-08-31,124.0,0.2,0000887396,唯一,既有574,2017-08-31,0.20000000298023224,0.20000000298023224,123.99999433755883,0.0,1258.0,True,0.25,False,,,,,,split_table_contaminated,,liabilities_missing,,lt_debt_missing,2017-08-10,False,True,False,False,False,False,True
QUBT,2014-12-31,120.0,0.2,,時段不覆蓋 t0,新增154,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
CAR,2009-02-27,119.72,0.38,0000723612,唯一,既有574,2009-02-27,0.4000000059604645,0.3800429105758667,119.7249989099855,-0.09999996863267646,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,True,False,False,False,False,True
CDNA,2017-04-28,109.89,0.87,0001217234,唯一,新增154,2017-04-28,0.8700000047683716,0.8700000047683716,109.885055115113,0.0,1259.0,True,1.0,True,21277644.0,2016-11-14,2016-09-30,USD,18511550.381459713,none,False,sti_missing_as_zero,False,none,2016-11-14,False,True,False,True,False,False,True
GME,2020-03-31,99.29,0.875,0001326380,唯一,既有574,2020-03-31,0.875,0.875,99.28857421875,-0.20000001362391884,1256.0,True,4.0,False,102268940.0,2020-03-27,2018-05-05,USD,357941290.0,none,False,sti_missing_as_zero,False,none,2020-03-27,False,False,True,True,True,False,False
CPWR,2012-06-29,96.56,0.1269,0000859014,唯一,既有574,2012-06-29,0.12686899304389954,0.12686899304389954,72.72728297772831,0.0,711.0,False,0.00867036,False,,,,,,split_table_contaminated,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
RIOT,2020-03-31,93.52,0.833,0001167419,唯一,新增154,2020-03-31,0.8330000042915344,0.8330000042915344,93.51740831277999,-0.07202881401569228,1256.0,True,1.0,True,31034308.0,2020-03-25,2019-12-31,USD,25851578.6971848,none,True,sti_missing_as_zero,,lt_debt_missing,2020-03-25,False,False,False,True,False,False,False
PR,2020-03-31,72.0,0.228,0001658566,唯一,新增154,2020-03-31,0.2630000114440918,0.2279835194349289,71.99791943836863,-0.06083668878799375,1256.0,True,1.0,True,,,,,,shares_absent_at_t0,False,sti_missing_as_zero,False,st_debt_missing_as_zero,2019-11-04,False,False,False,False,False,False,False
