arm,slice,layer,size,n_subindustries,members,top_terms
machine_v2,2015-06-30,0,7,2,CZR HLT LVS MAR MGM PENN WYNN,casino hotel gaming resort rooms casinos table games amenities suites slot machines
machine_v2,2015-06-30,1,6,1,CMG DPZ DRI MCD WEN YUM,restaurant menu franchisees restaurants chicken franchisee franchise restaurant industry quality food dining
machine_v2,2015-06-30,2,3,1,AMAT KLAC LRCX,wafer deposition etch film semiconductor defect silicon films semiconductor manufacturers patterning
machine_v2,2015-06-30,3,5,1,DHI KBH LEN NVR TOL,homebuilding homes land development homebuyers mortgage land lots subcontractors mortgage financing homebuilders
machine_v2,2015-06-30,4,3,3,COF GME PKG,graph dividends gaap measures high low diluted millions share index non gaap expense income purchases equity
machine_v2,2015-06-30,5,3,2,ALB EMN FMC,intermediates lithium chemistries chemicals olefins energy storage catalysts polymer nutrition polymers
machine_v2,2015-06-30,6,4,4,AMGN MCK MDT TAP,diluted partially tax rate offset income tax row non gaap product sales driven primarily foreign currency
machine_v2,2015-06-30,7,3,1,BALL CCK OI,container containers aerosol beverage cans packaging beverage containers aluminum beer recycled
machine_v2,2015-06-30,8,19,16,AAL CE DHR FAST FFIV HL ISRG MA MPWR PAYX PBI PEG RIG ROK SKYW TRGP UPS URI V,looking statements forward looking looking forward stockholder matters related stockholder stockholder disclosures factors unresolved matters relationships
machine_v2,2015-06-30,9,4,1,CMS EXC LNT PCG,megawatt kilowatt hour utility asset retirement vie looking statements transmission abbreviations nuclear
machine_v2,2015-06-30,10,4,1,KDP KO MNST PEP,bottling bottlers juice beverages diet ready drink drink beverage drinks pepper
machine_v2,2015-06-30,11,3,2,HAS MAT TTWO,games entertainment game characters titles disney toys girls video games gaming
machine_v2,2015-06-30,12,3,1,CAT DE PCAR,loaders sales revenues trucks dealer dealers leases engines pfs independent dealers credit losses
machine_v2,2015-06-30,13,8,5,APTV BWA CMI FIX GM GNRC LII TT,vice president president vice hvac diesel fuel economy air engine officer chief
machine_v2,2015-06-30,14,4,2,ATI NUE RS STLD,alloys ferrous scrap metals rolled bar steel stainless mills alloy
machine_v2,2015-06-30,15,3,3,MAS MHK POOL,remodeling home construction home centers laminate insulation ceramic plumbing carpet wood consumer spending
machine_v2,2015-06-30,16,3,2,BBY HD LOW,stores merchandise store picked star energy star online shop appliances garden
machine_v2,2015-06-30,17,7,2,CAG CPB GIS HRL HSY MDLZ SJM,foods foodservice snacks food baking frozen ingredients stores vice president meals
machine_v2,2015-06-30,18,4,2,HP NBR NOV SLB,rig drilling rigs drilling rig oilfield oil gas offshore oil wells drilling rigs
machine_v2,2015-06-30,19,3,3,CPRT KMX LKQ,salvage auctions vehicles sold vehicle auction vehicles sales process sell vehicles car vehicle repair
machine_v2,2015-06-30,20,11,4,ALGT CHRW DAL EXPD FDX JBHT JBLU LUV ODFL R UAL,carriers dot carrier flights airline freight transportation aircraft airport fuel
machine_v2,2015-06-30,21,4,1,CSX NSC UNP WAB,railroads intermodal rail railroad freight locomotives railway coal transit cars
machine_v2,2015-06-30,22,3,1,AAP AZO ORLY,diy stores store auto parts merchandise team members aftermarket hub batteries marks trademarks
machine_v2,2015-06-30,23,10,4,CPRI DECK FOSL NKE PVH RL TPR UAA URBN VFC,footwear apparel stores retail stores accessories women department stores men wholesale lifestyle
machine_v2,2015-06-30,24,3,3,DLTR SIG TJX,merchandise stores selling square store square feet store growth square merchandise stores shopping assortment
machine_v2,2015-06-30,25,4,2,CDE NEM RGLD SCCO,ounces silver mines ounce royalty mineral exploration gold ore mining
machine_v2,2015-06-30,26,4,4,CLX HAL ICE NTAP,harm adversely affect adversely realize anticipated harmed negatively impact adversely affected materially adversely harm reputation indebtedness
machine_v2,2015-06-30,27,3,1,BKNG EXPE TRIP,offline hotel online advertising travel apps reservation mobile apps bookings search results search
machine_v2,2015-06-30,28,10,2,BA GD HII KTOS LDOS LMT NOC RTX TDG TXT,aircraft missile defense military government contracts dod navy aviation unmanned intelligence
machine_v2,2015-06-30,29,3,1,CAH COR HSIC,pharmaceutical specialty pharmaceutical generic pharmaceuticals dea controlled substances pharmaceuticals generic pharmacies pharmacy pharmaceutical manufacturers
machine_v2,2015-06-30,30,7,2,AME EMR IEX PH PNR TDY XYL,valves pumps instrumentation fluid industrial motors filtration water wastewater fittings engineered
machine_v2,2015-06-30,31,12,3,ABBV ABT BIIB BMY GILD INCY LLY MRK NKTR ORKA REGN VRTX,fda patients clinical trials pharmaceutical nda drug exclusivity efficacy drugs
