capture_id,captured_at_utc,symbol,source_url,nav_as_of,shares_outstanding_m,nav_usd,aum_musd,raw_sha256,raw_file
20260831T143807Z,2026-08-31T14:38:07Z,SPY,https://www.ssga.com/us/en/intermediary/etfs/spdr-sp-500-etf-trust-spy,2026-08-28,1058.53,769.38,814409.65,707a768c771fc3731bb3f564bed46c71fef8c29b65ce82378da07ac7a5a9b8ff,../sector-multiples/raw/20260831T143807Z/SPY.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLB,https://www.ssga.com/us/en/intermediary/etfs/the-materials-select-sector-spdr-fund-xlb,2026-08-28,164.40,53.17,8740.93,999b1ddcb5a5b126b3dc3db858ad467d630b8b390d58b52884ecbbe3a86e9a1d,../sector-multiples/raw/20260831T143807Z/XLB.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLC,https://www.ssga.com/us/en/intermediary/etfs/the-communication-services-select-sector-spdr-fund-xlc,2026-08-28,200.80,112.99,22687.53,3710b2b9470898b032da067542c85962dc99721be2574a8eb14469e6388039d4,../sector-multiples/raw/20260831T143807Z/XLC.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLE,https://www.ssga.com/us/en/intermediary/etfs/the-energy-select-sector-spdr-fund-xle,2026-08-28,648.50,62.66,40637.78,6c8be605e574a9506da2e71172f66caef68f5b97edb3eed35c90be5a3970e0d0,../sector-multiples/raw/20260831T143807Z/XLE.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLF,https://www.ssga.com/us/en/intermediary/etfs/the-financial-select-sector-spdr-fund-xlf,2026-08-28,944.45,58.10,54870.92,41f7da10055e0e363296e9a76c18f2d14f70ad5248ebec098f877008f76bda01,../sector-multiples/raw/20260831T143807Z/XLF.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLI,https://www.ssga.com/us/en/intermediary/etfs/the-industrial-select-sector-spdr-fund-xli,2026-08-28,183.18,177.12,32445.00,ce085d50ba4044a1d5ee2be3449c0ede8e0a863b9e991d93bed7f170c0977dde,../sector-multiples/raw/20260831T143807Z/XLI.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLK,https://www.ssga.com/us/en/intermediary/etfs/the-technology-select-sector-spdr-fund-xlk,2026-08-28,651.66,185.69,121007.28,33a5ad6c882b6fe2a82a3cf400c59d2018a56b66ed3afc742a1e8869936d5457,../sector-multiples/raw/20260831T143807Z/XLK.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLP,https://www.ssga.com/us/en/intermediary/etfs/the-consumer-staples-select-sector-spdr-fund-xlp,2026-08-28,171.02,85.44,14611.26,bd71047b0df64b02d7f241395c3ac2e135966e7b43c8cb61ea790b1447e273db,../sector-multiples/raw/20260831T143807Z/XLP.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLRE,https://www.ssga.com/us/en/intermediary/etfs/the-real-estate-select-sector-spdr-fund-xlre,2026-08-28,187.95,44.47,8357.48,2fb4d7b405f3f5a980d544612dbb466cf5150f820e4aab486b56747a8d0bb29c,../sector-multiples/raw/20260831T143807Z/XLRE.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLU,https://www.ssga.com/us/en/intermediary/etfs/the-utilities-select-sector-spdr-fund-xlu,2026-08-28,515.30,42.72,22012.03,bdce4102d161132a7f5e12cb87640cda18dbe2860162908fb43a39a208e218cd,../sector-multiples/raw/20260831T143807Z/XLU.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLV,https://www.ssga.com/us/en/intermediary/etfs/the-health-care-select-sector-spdr-fund-xlv,2026-08-28,258.17,171.20,44197.48,aa436747d2275d698e1afe3f30db1748180ca624b072d1afadea7817d06252e5,../sector-multiples/raw/20260831T143807Z/XLV.html.gz
20260831T143807Z,2026-08-31T14:38:07Z,XLY,https://www.ssga.com/us/en/intermediary/etfs/the-consumer-discretionary-select-sector-spdr-fund-xly,2026-08-28,195.56,117.21,22920.80,c8022607718c59dd5b120c5d604d90af0b12fa634bd2a8db0706292973c9c722,../sector-multiples/raw/20260831T143807Z/XLY.html.gz
